,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent
883,"4/21 DEHNERT STREET, DONCASTER EAST",-37.7854805,145.14837646,2.0,1.0,1,$220,Unit/apmt,November 2006,3109,2006,11,EAST,220
1194,"1/63 FRANKLIN ROAD, DONCASTER EAST",-37.78981018,145.16004944,2.0,1.0,1,$180,Unit/apmt,November 2006,3109,2006,11,EAST,180
1275,"1/232-234 BLACKBURN ROAD, DONCASTER EAST",-37.800255,145.159765,3.0,1.0,1,$255_Week,Unit/apmt,November 2006,3109,2006,11,EAST,255
3234,"5/10-16 WETHERBY ROAD, DONCASTER",-37.78806686,145.14378357,1.0,1.0,1,$160,Unit/apmt,November 2006,3108,2006,11,DONCASTER,160
3254,"9/10-16 WETHERBY ROAD, DONCASTER",-37.787964,145.143575,1.0,1.0,1,$165_Week,Unit/apmt,November 2006,3108,2006,11,DONCASTER,165
3418,"2/60 WHITTENS LANE, DONCASTER",-37.79232407,145.13069153,3.0,1.0,1,$260,Unit/apmt,November 2006,3108,2006,11,DONCASTER,260
3552,"6/55 WETHERBY ROAD, DONCASTER",-37.791657,145.1428,3.0,1.0,1,$280,Townhouse,November 2006,3108,2006,11,DONCASTER,280
1341,"4/4 HERBERT STREET, PASCOE VALE",-37.7253418,144.92185974,2.0,1.0,1,$300,Townhouse,October 2006,3044,2006,10,VALE,300
1384,"5/4 HERBERT STREET, PASCOE VALE",-37.7253418,144.92185974,2.0,1.0,1,$280,Townhouse,October 2006,3044,2006,10,VALE,280
1471,"4/16 ESSEX STREET, PASCOE VALE",-37.72719193,144.94721985,2.0,1.0,1,$245_Week,Rental_residential,November 2006,3044,2006,11,VALE,245
1472,"4/16 ESSEX STREET, PASCOE VALE",-37.72719193,144.94721985,2.0,1.0,1,$245,Rental_residential,November 2006,3044,2006,11,VALE,245
1977,"1/4 HERBERT STREET, PASCOE VALE",-37.725434,144.921734,2.0,2.0,1,$360,Townhouse,October 2006,3044,2006,10,VALE,360
2569,"13 KIAH COURT, PATTERSON LAKES",-38.062067,145.147337,2.0,1.0,1,$175,Unit/apmt,November 2006,3197,2006,11,LAKES,175
3610,"11 RIBBON COURT, PINES FOREST",-38.123512,145.155713,3.0,1.0,1,$175,House,November 2006,3200,2006,11,FOREST,175
4826,"8/2A PARKSIDE STREET, ELSTERNWICK",-37.88569,145.011453,2.0,1.0,1,$250,Rental_residential,December 2006,3185,2006,12,ELSTERNWICK,250
4836,"3/2-4 KING STREET, ELSTERNWICK",-37.883388,145.006216,2.0,1.0,1,$275,Unit/apmt,December 2006,3185,2006,12,ELSTERNWICK,275
