,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates
0,"702/594 ST KILDA ROAD, MELBOURNE",-37.8496800,144.9798990,1,1,1,$400 pw,none,January 2011
0,"1102 / 181 A’BECKETT STREET, MELBOURNE",-33.89394001,151.17696001,none,1,none,$360 per week,none,August 2022
0,"1102 / 181 A’BECKETT STREET, MELBOURNE",-33.89394001,151.17696001,none,1,none,$360 per week,none,September 2022
0,"1102 / 181 A’BECKETT STREET, MELBOURNE",-33.89394001,151.17696001,none,1,none,$350 per week,none,March 2022
0,"603/547 FLINDERS LANE, MELBOURNE",-37.8199440,144.9557910,1,1,none,$380 per week,none,August 2022
0,"603/547 FLINDERS LANE, MELBOURNE",-37.8199440,144.9557910,1,1,none,$380 per week,none,September 2022
0,"603/547 FLINDERS LANE, MELBOURNE",-37.8199440,144.9557910,1,1,none,$380,none,August 2022
0,"603/547 FLINDERS LANE, MELBOURNE",-37.8199440,144.9557910,1,1,none,$330,none,January 2011
0,"603/547 FLINDERS LANE, MELBOURNE",-37.8199440,144.9557910,1,1,none,$330 pw,none,January 2011
0,"603/547 FLINDERS LANE, MELBOURNE",-37.8199440,144.9557910,1,1,none,$320 pw,none,October 2009
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$440 per week,Unit/apmt,August 2022
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$440 per week,Unit/apmt,September 2022
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$250 per week,Unit/apmt,June 2021
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$510 per week,Unit/apmt,March 2019
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$530 per week,Unit/apmt,March 2019
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$470 per week,Unit/apmt,January 2017
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$460 per week,Unit/apmt,January 2016
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$450 per week,Unit/apmt,April 2015
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$450 per week,Unit/apmt,March 2015
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$450 per week,Unit/apmt,February 2015
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$450 per week,Unit/apmt,November 2014
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$450 per week,Unit/apmt,October 2014
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$460 per week,Unit/apmt,October 2014
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$480 per week,Unit/apmt,September 2014
0,"2308/39 LONSDALE STREET, MELBOURNE",-37.8097503,144.9711289,2,1,none,$480 per week,Unit/apmt,August 2014
