,SA2,SA2 NAME,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
158,207021160,Templestowe Lower,7694,7712,7798,7979,7916,8015,8163,8144
159,207021424,Doncaster East (North),9009,8932,8933,9147,9119,9355,9650,9886
160,207021425,Doncaster East (South),7192,7334,7342,7537,7853,8008,8309,8612
161,207031161,Blackburn,11949,12182,12399,12690,12890,13297,13726,14088
162,207031162,Blackburn South,5748,5695,5745,5944,5836,6011,6167,6283
163,207031163,Box Hill,9640,9676,9845,10273,10405,11812,12330,12915
164,207031164,Box Hill North,9534,9689,9839,9975,9990,10383,10768,11124
165,207031165,Burwood,5414,5559,5656,5890,5971,6364,6815,7160
166,207031166,Burwood East,5703,5670,5804,5904,5852,6049,6293,6275
167,207031167,Surrey Hills (East) - Mont Albert,6192,6270,6323,6440,6444,6709,6842,6925
168,208011168,Beaumaris,8354,8477,8615,8783,8965,9083,9252,9258
169,208011169,Brighton (Vicnp),14390,14458,15006,15426,15761,16039,16312,16253
170,208011170,Brighton East,9290,9452,9585,9820,9874,10044,10278,10293
171,208011171,Cheltenham - Highett (West),5901,5944,6167,6401,6647,7021,7219,7438
172,208011172,Hampton,9817,10098,10230,10669,10845,11134,11338,11547
173,208011173,Sandringham - Black Rock,9588,9779,9991,10464,10711,10925,11206,11359
174,208021174,Bentleigh - McKinnon,12454,12625,12767,13181,13323,13879,14517,15047
175,208021176,Carnegie,9882,9989,10042,10378,10625,10976,11438,11945
176,208021177,Caulfield - North,12486,12730,13037,13383,13659,14098,14633,14662
177,208021178,Caulfield - South,10425,10617,10815,11184,11378,11673,11818,11675
178,208021179,Elsternwick,6775,6899,7014,7263,7553,7717,7932,8120
179,208021180,Hughesdale,3798,3919,4069,4171,4243,4410,4528,4600
180,208021181,Murrumbeena,5415,5420,5571,5679,5828,5966,6136,6259
181,208021182,Ormond - Glen Huntly,7547,7689,7842,7968,8270,8419,8869,9185
182,208021426,Bentleigh East (North),7852,7977,8212,8409,8585,8799,9067,9401
183,208021427,Bentleigh East (South),7052,7114,7299,7393,7676,7796,8086,8190
184,208031183,Aspendale Gardens - Waterways,5064,5097,5187,5323,5311,5435,5541,5618
185,208031184,Braeside,151,154,147,156,146,160,156,138
186,208031185,Carrum - Patterson Lakes,6653,6735,6875,7003,7089,7247,7302,7424
187,208031186,Chelsea - Bonbeach,7713,7658,7769,7917,8143,8431,8610,8707
188,208031187,Chelsea Heights,2926,2933,2824,2974,3004,3094,3158,3165
189,208031188,Cheltenham - Highett (East),11751,11874,12178,12481,12965,13505,13946,14549
190,208031189,Edithvale - Aspendale,7017,7096,7271,7489,7655,7770,7988,8202
191,208031190,Mentone,7369,7567,7809,8021,8035,8337,8524,8596
192,208031191,Moorabbin - Heatherton,4802,4769,4927,4996,5159,5288,5521,5592
193,208031192,Moorabbin Airport,np,np,np,np,np,7,8,8
194,208031193,Mordialloc - Parkdale,11027,11274,11581,11896,12059,12368,12671,13021
195,208041194,Malvern - Glen Iris,12800,13016,13120,13436,13330,13978,14381,14437
196,208041195,Malvern East,12254,12405,12373,12787,12785,13497,13831,14094
197,209011196,Bundoora - East,5188,5196,5243,5376,5435,5474,5660,5821
198,209011197,Greensborough,12197,12282,12250,12458,12637,12751,12960,13043
199,209011198,Heidelberg - Rosanna,8209,8331,8407,8657,8921,9126,9515,9755
200,209011199,Heidelberg West,6283,6338,6482,6651,7077,7362,7847,8179
201,209011200,Ivanhoe,6768,6849,7095,7161,7458,7720,8123,8255
202,209011201,Ivanhoe East - Eaglemont,5130,5121,5127,5298,5395,5450,5529,5519
203,209011202,Montmorency - Briar Hill,9684,9607,9655,9773,9895,10034,10176,10215
204,209011203,Viewbank - Yallambie,10404,10340,10433,10561,10730,10819,11003,11035
205,209011204,Watsonia,5012,4986,5056,5160,5264,5290,5384,5516
206,209021205,Kingsbury,4848,4867,4992,5173,5340,5665,6110,6278
207,209021207,Reservoir - East,12039,12270,12429,13010,13550,14112,14937,15566
208,209021208,Reservoir - West,11514,11690,11940,12189,12529,13053,13471,13801
209,209021428,Preston - East,9838,9926,10220,10665,10976,11780,12110,12549
210,209021429,Preston - West,6364,6469,6598,6763,7069,7332,7586,7839
211,209031209,Eltham,14547,14493,14497,14689,14758,14815,15097,15220
212,209031210,Hurstbridge,2109,2104,2095,2130,2153,2219,2210,2195
213,209031211,Kinglake,2045,2017,2073,2103,2179,2261,2273,2329
214,209031212,Panton Hill - St Andrews,3014,3072,3071,3146,3187,3291,3334,3317
215,209031213,Plenty - Yarrambat,5798,5746,5952,6030,6076,6210,6316,6326
216,209031214,Research - North Warrandyte,4040,4113,4181,4227,4256,4332,4456,4402
217,209031215,Wattle Glen - Diamond Creek,8306,8294,8306,8608,8663,8903,9051,9167
218,209041216,Bundoora - North,3215,3361,3534,3790,3949,4182,4373,4471
219,209041217,Bundoora - West,3201,3175,3198,3238,3248,3388,3454,3521
220,209041219,Lalor,8858,9019,9266,9732,10104,10618,11055,11440
221,209041220,Mill Park - North,10330,10210,10233,10310,10320,10634,10733,10984
222,209041221,Mill Park - South,6838,6757,6664,6729,6752,6851,6909,6918
223,209041223,Thomastown,9103,8843,8974,9248,9241,9715,10049,10402
224,209041224,Wallan,6959,7371,7975,8398,8838,9623,10316,11176
225,209041225,Whittlesea,4115,4072,4189,4348,4375,4511,4724,4855
226,209041430,Doreen,7537,8641,9437,10182,11056,12150,12892,13777
227,209041431,Epping - East,6458,6485,6490,6722,6839,7110,7227,7269
228,209041432,Epping - South,4220,4100,4132,4229,4321,4467,4538,4575
229,209041433,Epping - West,3894,4395,4767,5258,5590,5988,6154,6376
230,209041434,Mernda,4716,5773,6553,7418,8574,9985,10820,11828
231,209041435,South Morang (North),5500,5800,6173,6484,6635,6953,7174,7361
232,209041436,South Morang (South),6138,6181,6260,6465,6534,6787,6970,7125
233,209041437,Wollert,915,1809,2657,3573,4483,5750,6636,7985
234,210011226,Airport West,3923,3947,4082,4251,4298,4480,4639,4842
235,210011227,Essendon Airport,np,np,np,np,np,18,19,18
236,210011228,Keilor,5185,5203,5245,5346,5346,5350,5470,5366
237,210011229,Keilor East,13265,13271,13551,13972,14126,14568,14783,15130
238,210011230,Niddrie - Essendon West,3740,3818,3957,4158,4191,4312,4434,4482
239,210011231,Strathmore,5578,5610,5706,5902,5934,6132,6309,6429
240,210021232,Gisborne,6669,6801,7080,7371,7619,7918,8095,8257
241,210021233,Macedon,2018,2012,2028,2029,1998,2079,2125,2102
242,210021234,Riddells Creek,2416,2466,2457,2488,2514,2567,2629,2656
243,210021235,Romsey,4842,4928,5024,5111,5233,5457,5683,5883
244,210031236,Coburg North,3354,3451,3742,3983,4160,4649,4831,5067
245,210031237,Fawkner,5206,5333,5495,5821,6029,6358,6731,7001
246,210031239,Pascoe Vale,11381,11799,12296,12795,13087,14023,14539,15325
247,210031438,Glenroy,9395,9623,9986,10466,11042,11963,12653,13495
248,210031439,Gowanbrae,1644,1664,1681,1727,1733,1797,1843,1851
249,210031440,Hadfield,2500,2515,2546,2610,2629,2786,2971,3124
250,210041240,Sunbury,7232,7250,7282,7449,7556,7829,8035,8242
251,210041241,Sunbury - South,14078,14060,14324,14893,15271,15982,16703,17563
252,210051242,Broadmeadows,4214,4229,4372,4637,4885,5159,5524,6021
253,210051243,Campbellfield - Coolaroo,5453,5407,5485,5640,5804,6009,6333,6474
254,210051245,Gladstone Park - Westmeadows,9692,9646,9642,9708,9861,9906,10143,10202
255,210051246,Greenvale - Bulla,7753,8005,8538,9157,9742,10544,11131,11549
256,210051247,Meadow Heights,5206,5171,5244,5484,5462,5532,5735,5920
257,210051248,Melbourne Airport,52,49,56,59,50,64,62,63
258,210051249,Roxburgh Park - Somerton,8116,8280,8598,8763,8968,9247,9804,10352
259,210051250,Tullamarine,3504,3496,3523,3564,3542,3502,3616,3683
260,210051441,Craigieburn - Central,4153,4172,4209,4277,4315,4363,4457,4492
261,210051442,Craigieburn - North,4755,5036,5265,5536,5773,6082,6469,6687
262,210051443,Craigieburn - South,6199,6378,6909,7508,8214,8962,9643,10195
263,210051444,Craigieburn - West,2801,3859,4847,5675,6609,7497,8260,9333
264,210051445,Mickleham - Yuroke,897,904,1054,1356,1989,3118,4542,6743
265,211011251,Bayswater,6470,6550,6595,6764,6995,7021,7295,7461
266,211011254,Knoxfield - Scoresby,7870,8014,8134,8401,8693,9104,9492,9898
267,211011255,Lysterfield,4111,4197,4239,4310,4419,4480,4544,4541
268,211011256,Rowville - Central,9236,9124,9197,9281,9484,9528,9685,9853
269,211011257,Rowville - North,4638,4644,4634,4802,4848,5000,5054,5082
270,211011258,Rowville - South,6480,6479,6605,6731,6783,6875,6947,7010
271,211011259,Wantirna,8582,8467,8431,8508,8591,8487,8726,8843
272,211011260,Wantirna South,10655,10563,10611,10741,10853,11019,11196,11320
273,211011446,Boronia,11963,11994,12252,12408,12573,12903,13284,13440
274,211011447,Ferntree Gully (North),7681,7603,7698,7872,7927,8122,8209,8275
275,211011448,Ferntree Gully (South) - Upper Ferntree Gully,8566,8440,8513,8681,8671,8886,9125,9344
276,211011449,The Basin,2623,2549,2567,2574,2556,2628,2657,2644
277,211021261,Donvale - Park Orchards,9729,9696,9752,10007,10086,10206,10458,10473
278,211021262,Warrandyte - Wonga Park,6423,6518,6600,6755,6755,6791,6856,6810
279,211031263,Bayswater North,6623,6578,6723,6757,6860,7009,7120,7251
280,211031265,Croydon Hills - Warranwood,10832,10839,11011,11215,11486,11572,11698,11754
281,211031266,Ringwood,8987,9008,9203,9551,9790,9980,10495,10844
282,211031267,Ringwood East,11192,11134,11345,11512,11719,12115,12335,12498
283,211031268,Ringwood North,5739,5779,5788,5916,6051,6098,6113,6168
284,211031450,Croydon - East,7647,7625,7805,8103,8382,8678,8833,9067
285,211031451,Croydon - West,6769,6956,7085,7382,7516,7780,8013,8092
286,211031452,Croydon South,2568,2605,2643,2690,2712,2715,2772,2861
287,211041269,Forest Hill,5624,5735,5805,5932,5930,6100,6331,6407
288,211041270,Mitcham (Vicnp),8987,9254,9382,9668,9757,10137,10311,10599
289,211041271,Nunawading,6230,6277,6332,6608,6616,6983,7174,7287
290,211041272,Vermont,5932,5899,6007,6126,6116,6306,6416,6497
291,211041273,Vermont South,7240,7225,7204,7310,7251,7373,7510,7617
292,211051274,Belgrave - Selby,5837,5814,5860,5986,5963,6171,6191,6372
293,211051275,Chirnside Park,5700,5712,5773,5911,6082,6479,6762,7024
294,211051276,Healesville - Yarra Glen,7273,7250,7329,7573,7588,7908,8088,8182
295,211051277,Kilsyth,4926,4860,4969,5058,5063,5304,5389,5430
296,211051278,Lilydale - Coldstream,10594,10631,10754,11215,11198,11457,11549,11566
297,211051279,Monbulk - Silvan,3396,3373,3370,3433,3435,3497,3581,3592
298,211051280,Montrose,3931,3869,3977,4025,4052,4091,4146,4102
299,211051281,Mooroolbark,12123,12197,12283,12665,12808,13191,13446,13601
300,211051282,Mount Dandenong - Olinda,5902,5891,5889,6004,6032,6087,6098,6085
301,211051283,Mount Evelyn,5379,5377,5506,5664,5646,5834,5871,5976
302,211051284,Upwey - Tecoma,5904,5892,5940,6001,5991,6163,6205,6287
303,211051285,Wandin - Seville,4335,4385,4463,4596,4730,4856,4920,5021
304,211051286,Yarra Valley,8369,8316,8380,8664,8777,8968,9165,9341
305,212011287,Beaconsfield - Officer,5140,5469,5967,6835,7844,9147,10481,11922
306,212011288,Bunyip - Garfield,4732,4743,4810,4937,5022,5195,5411,5567
307,212011289,Emerald - Cockatoo,10252,10147,10318,10586,10600,10803,10939,11140
308,212011290,Koo Wee Rup,3703,3662,3728,3912,4109,4311,4514,4848
309,212011291,Pakenham - North,7207,7878,8462,9037,9876,10443,11074,11529
310,212011292,Pakenham - South,11926,12501,13126,13936,14497,15355,16176,16821
311,212021293,Berwick - North,13110,13119,13195,13520,13653,13852,14035,14015
312,212021294,Berwick - South,12391,12427,12810,13547,14172,14686,15269,15969
313,212021295,Doveton,4172,4165,4271,4460,4786,5048,5280,5485
314,212021297,Hallam,5277,5258,5320,5339,5459,5515,5680,5791
315,212021299,Narre Warren North,4362,4489,4573,4804,4915,5079,5084,5159
316,212021453,Endeavour Hills - North,6332,6356,6255,6387,6501,6486,6716,6753
317,212021454,Endeavour Hills - South,7591,7448,7493,7565,7683,7687,7823,7785
318,212021455,Narre Warren - North East,7129,7122,7226,7382,7593,7736,7890,7998
319,212021456,Narre Warren - South West,6868,6803,7037,7191,7319,7522,7806,8031
320,212031300,Cranbourne,9707,9612,9769,10044,10489,10563,10852,11063
321,212031301,Cranbourne East,5066,6420,8211,10417,13256,17511,21261,25862
322,212031302,Cranbourne North,8119,8647,9158,9868,10583,11463,12273,12900
323,212031303,Cranbourne South,4233,4495,4746,5024,5234,5620,6225,7413
324,212031304,Cranbourne West,4735,5277,5999,6931,8054,9049,9712,10528
325,212031305,Hampton Park - Lynbrook,11776,11879,13125,12363,12638,12832,13309,13531
326,212031306,Lynbrook - Lyndhurst,6682,7159,7493,7927,8309,8733,9145,9537
327,212031308,Pearcedale - Tooradin,4355,4331,4390,4492,4574,4680,4719,4796
328,212031457,Narre Warren South (East),7037,7056,7052,7320,7487,7631,7765,7910
329,212031458,Narre Warren South (West),8207,8134,8173,8535,8668,8871,9029,9115
330,212041309,Clarinda - Oakleigh South,6324,6317,6410,6478,6540,6638,6748,6664
331,212041310,Clayton South,6182,6236,6408,6665,6734,7015,7438,7807
332,212041311,Dandenong,11674,11862,12353,13115,14013,14768,15550,15915
333,212041312,Dandenong North,10692,10581,10820,11017,11237,11533,11739,12036
334,212041313,Dingley Village,6326,6238,6266,6314,6353,6421,6440,6475
335,212041314,Keysborough,11060,11606,12181,13170,14172,15103,15902,16704
336,212041316,Noble Park North,3680,3616,3683,3723,3761,3821,3896,4012
337,212041317,Springvale,9333,9318,9323,9720,10284,10891,11595,12210
338,212041318,Springvale South,5937,5773,5943,6093,6346,6405,6708,6900
339,212041459,Noble Park - East,5548,5625,5732,6085,6402,6691,7065,7417
340,212041460,Noble Park - West,8148,8048,8268,8660,8959,9388,9992,10508
341,212051319,Ashwood - Chadstone,9276,9567,9753,9944,10195,10858,11290,11715
342,212051320,Clayton,8456,8542,8639,8976,8989,9572,10357,11056
343,212051321,Glen Waverley - East,12552,12529,12525,12677,12609,12978,13332,13505
344,212051322,Glen Waverley - West,10681,10718,10761,10991,11123,11497,12016,12548
345,212051323,Mount Waverley - North,9142,9084,9140,9247,9355,9666,9961,10220
346,212051324,Mount Waverley - South,10419,10465,10631,10821,11107,11519,12013,12055
347,212051325,Mulgrave,10399,10448,10629,10845,10859,11083,11246,11496
348,212051326,Oakleigh - Huntingdale,11225,11432,11550,11800,12092,12608,13203,13624
349,212051327,Wheelers Hill,12055,11953,12102,12253,12192,12383,12708,12805
350,213011328,Ardeer - Albion,3486,3392,3493,3763,3976,4057,4223,4479
351,213011329,Cairnlea,4632,4640,4785,5022,5211,5349,5453,5567
352,213011330,Deer Park - Derrimut,11532,11844,12212,12680,12991,13437,13717,14083
353,213011331,Delahey,4090,4115,4104,4273,4372,4418,4440,4551
354,213011332,Keilor Downs,7362,7247,7205,7313,7362,7347,7368,7466
355,213011333,Kings Park (Vicnp),5955,5852,5799,5979,6174,6253,6498,6608
356,213011334,St Albans - North,7997,8004,8122,8562,9077,9369,9936,10444
357,213011335,St Albans - South,7116,6961,7143,7476,7660,7982,8358,8533
358,213011336,Sunshine,4450,4394,4568,4838,5158,5306,5623,5971
359,213011337,Sunshine North,4815,4837,5065,5275,5505,5690,6024,6314
360,213011338,Sunshine West,7627,7751,8142,8477,8857,9172,9589,9833
361,213011339,Sydenham,6176,6191,6322,6435,6642,6718,6849,6974
362,213011340,Taylors Lakes,10722,10769,10861,10931,11214,11208,11238,11001
363,213021341,Altona,6886,6965,7126,7403,7610,7910,7942,8061
364,213021342,Altona Meadows,10379,10182,10411,10536,10578,10722,10827,10928
