,Year,Postcode,Offence Count
418,2013,3579,340
419,2013,3580,9
420,2013,3581,10
421,2013,3583,15
422,2013,3584,46
423,2013,3585,1203
424,2013,3586,22
425,2013,3588,12
426,2013,3589,12
427,2013,3590,11
428,2013,3591,1
429,2013,3594,4
430,2013,3595,31
431,2013,3596,1
432,2013,3597,7
433,2013,3599,4
434,2013,3607,6
435,2013,3608,147
436,2013,3610,62
437,2013,3612,109
438,2013,3614,22
439,2013,3616,263
440,2013,3617,3
441,2013,3618,16
442,2013,3620,340
443,2013,3621,90
444,2013,3622,22
445,2013,3623,32
446,2013,3624,26
447,2013,3629,809
448,2013,3630,4085
449,2013,3631,412
450,2013,3633,24
451,2013,3634,28
452,2013,3635,15
453,2013,3636,192
454,2013,3637,23
455,2013,3638,63
456,2013,3639,34
457,2013,3640,27
458,2013,3641,43
459,2013,3644,442
460,2013,3646,13
461,2013,3649,20
462,2013,3658,261
463,2013,3659,40
464,2013,3660,975
465,2013,3662,20
466,2013,3663,22
467,2013,3664,40
468,2013,3665,12
469,2013,3666,205
470,2013,3669,69
471,2013,3670,39
472,2013,3672,859
473,2013,3673,40
474,2013,3675,72
475,2013,3677,2029
476,2013,3678,125
477,2013,3682,19
478,2013,3683,62
479,2013,3685,98
480,2013,3687,46
481,2013,3688,26
482,2013,3690,2893
483,2013,3691,197
484,2013,3695,3
485,2013,3697,7
486,2013,3698,6
487,2013,3699,20
488,2013,3700,47
489,2013,3701,29
490,2013,3704,1
491,2013,3705,5
492,2013,3707,103
493,2013,3708,1
494,2013,3709,22
495,2013,3711,4
496,2013,3712,14
497,2013,3713,85
498,2013,3714,142
499,2013,3715,9
500,2013,3717,132
501,2013,3718,14
502,2013,3719,19
503,2013,3720,46
504,2013,3722,166
505,2013,3723,86
506,2013,3725,11
507,2013,3726,8
508,2013,3727,5
509,2013,3728,16
510,2013,3730,388
511,2013,3732,10
512,2013,3733,8
513,2013,3735,3
514,2013,3737,203
515,2013,3738,5
516,2013,3739,5
517,2013,3740,14
518,2013,3741,101
519,2013,3744,8
520,2013,3746,7
521,2013,3747,132
522,2013,3749,34
523,2013,3750,234
524,2013,3751,6
525,2013,3752,1193
526,2013,3753,66
527,2013,3754,1305
528,2013,3755,16
529,2013,3756,581
530,2013,3757,406
531,2013,3758,85
532,2013,3759,22
533,2013,3760,3
534,2013,3761,21
535,2013,3762,9
536,2013,3763,66
537,2013,3764,456
538,2013,3765,230
539,2013,3766,24
540,2013,3767,44
541,2013,3770,109
542,2013,3775,107
543,2013,3777,363
544,2013,3778,44
545,2013,3779,26
546,2013,3781,174
547,2013,3782,282
548,2013,3783,102
549,2013,3785,13
550,2013,3786,24
551,2013,3787,25
552,2013,3788,60
553,2013,3789,2
554,2013,3791,31
555,2013,3792,123
556,2013,3793,136
557,2013,3795,27
558,2013,3796,277
559,2013,3797,181
560,2013,3799,196
561,2013,3802,1049
562,2013,3803,813
563,2013,3804,276
564,2013,3805,3382
565,2013,3806,1985
566,2013,3807,412
567,2013,3808,64
568,2013,3809,337
569,2013,3810,3099
570,2013,3812,65
571,2013,3813,41
572,2013,3814,86
