,SA2,SA2 NAME,2012,2013,2014,2015,2016,2017,2018,2019
100,205051101,Maffra,47039.07029323102,47222.70232686218,49793.31503871756,52159.77985516787,51220.015213114755,51056.24934929724,52197.437362066725,53970.25031605562
101,205051102,Rosedale,47643.86853345989,44057.022128060264,49586.09962928638,52819.27941844616,50816.357630979495,48696.58993435449,50210.5035746202,49545.2424375274
102,205051103,Sale,53076.162560944314,55468.4760300596,57487.09452285381,59059.18474554868,59543.846212217024,58241.35171102662,59497.72602910086,62290.7875
103,205051104,Yarram,43051.5602862254,43207.552593133674,55079.32245047689,54112.12540775643,45827.109886071295,44022.79490909091,45840.08826695372,48524.27801120448
104,206011105,Brunswick,55599.75761359695,57142.33273261247,57814.07229942318,60482.57605057642,62219.859136212624,63199.107603855475,66873.4701856212,68893.15217848874
105,206011106,Brunswick East,56729.08289670659,58965.67882037534,58886.08215848323,61347.61093442375,62428.59185369909,64629.1990437846,67533.5535950066,70496.84629439305
106,206011107,Brunswick West,54723.180661243765,56810.75190199871,58039.52367125363,60110.71121747668,62038.3045703404,62165.994261280524,65111.08580750408,70209.35415558158
107,206011108,Coburg,52155.38738036157,54077.877497407535,55108.506848376936,57617.281378124586,59523.285267886204,61245.659237868036,63488.4102003643,66384.08033964729
108,206011109,Pascoe Vale South,56047.38428030303,58224.359284783015,59553.415087396505,62310.883393501805,64987.98885744606,66373.69120521173,68802.95342902711,72770.17344089357
109,206021110,Alphington - Fairfield,69140.00725990458,68272.14612146723,70622.71759622938,72015.38395904437,75345.43769556415,76515.61324410004,79356.35968379446,84147.74835775644
110,206021111,Northcote,63803.70314362336,65625.32857142857,67211.74307252042,70215.9800895303,72087.41929869795,75051.75377605791,78690.97555933852,82862.89780631354
111,206021112,Thornbury,56188.670183121016,57674.56785256726,60047.59454987835,60950.93939393939,63037.176259637796,65087.75399947548,68015.62142376305,71753.48156701031
112,206031113,Ascot Vale,64140.54203084833,66592.08225388601,70170.56489020478,71349.47266541529,74690.15619266055,76378.1440632103,77927.22379810199,80680.1687647119
113,206031114,Essendon - Aberfeldie,68576.30290135396,71609.05002838938,71885.03492511662,74174.93949401427,75207.8412634946,77348.67345935314,80758.57363104731,82309.9913981858
114,206031115,Flemington,56232.296651738114,57458.87924151697,58531.67764845137,60336.197172186716,60825.736378955255,61353.61712756468,64203.936574697174,67156.22376046362
115,206031116,Moonee Ponds,68691.28289393011,71214.73466909533,72264.12344794652,74951.31481695345,77507.8590185824,78082.73880677528,80195.0761379023,81817.21813847224
116,206041117,Carlton,52771.8504507405,55740.56966765486,58136.811428571425,57510.36159193131,57023.20318111852,56236.914047619044,57175.713953488375,59790.571640840586
117,206041118,Docklands,73182.04513495123,71883.91424851191,72349.1220822838,72972.38649662415,74152.76461769115,68977.58546388299,69259.57881845791,71476.15866110273
118,206041119,East Melbourne,107767.65054378935,104959.95482954546,116888.02946954813,114762.40177827174,122959.5194161388,124057.42220464135,128069.01490975673,132130.27314696077
119,206041120,Flemington Racecourse,62217.73134328358,71078.08928571429,73762.7627118644,79307.20370370371,74293.51111111112,75526.08510638298,61137.016949152545,63637.35384615385
120,206041121,Kensington (Vicnp),65023.541626331076,67156.60028472003,67891.02499238038,69148.73956643563,71706.78907040624,73885.46998163582,77637.64255201875,81060.8316374983
