Suburb_Name,sa2_2021,Growth_Rate
Bendigo,202011018,0.14534717778993927
Yallourn North - Glengarry,205041098,0.14530737619180517
Elwood,206051129,0.14424814674277303
Alfredton,201011001,0.14262100019376114
West Wimmera,215011393,0.1417922102906704
Box Hill,207031163,0.1403746476624888
Camperdown,217031471,0.1390629215684252
Kangaroo Flat - Golden Square,202011022,0.13840708005510785
Springvale South,212041318,0.13797552942764008
Wangaratta,204021066,0.13707044084612946
Creswick - Clunes,201021010,0.13686403779167056
Traralgon - West,205041494,0.13640689315366722
Stawell,215011392,0.13620105198773877
White Hills - Ascot,202011025,0.13557257026225025
Castlemaine Surrounds,202021028,0.13511703079204973
Essendon - East,206031502,0.13430376209895034
Paynesville,205021086,0.13325742612838584
Yea,204011062,0.13259147681288497
Benalla,204021063,0.13131784777698502
Mount Baw Baw Region,205011077,0.1310902568579843
Carnegie,208021176,0.1307571987972774
Essendon (West) - Aberfeldie,206031501,0.13051886174445962
Brunswick West,206011107,0.1297582462585399
Charlemont,203021485,0.1294103095194809
Castlemaine,202021027,0.12921987088111844
Golden Plains - North,201031015,0.12919960021270985
Mildura Surrounds,215021398,0.12656044131636132
Lara,203021043,0.12645905528186124
Blackburn South,207031162,0.1254454785092302
Phillip Island,205031091,0.12463717656842929
Hamilton (Vic.),217011421,0.12388984660370288
Ballarat,201011002,0.12372975892525424
Lockington - Gunbower,216011408,0.12325113219208486
Coburg - East,206011497,0.1221200821336628
Wyndham Vale - North,213051589,0.12205399497312137
Wodonga,204031492,0.12074417179013326
Altona Meadows,213021342,0.12021490994527259
East Bendigo - Kennington,202011020,0.12012007939291161
Fraser Rise - Plumpton,213041574,0.11978476081474972
Shepparton - South East,216031594,0.11877807191601315
Wangaratta Surrounds,204021067,0.11843145464139446
Tarneit - North,213051584,0.11797784165764058
Corangamite - North,217031474,0.11791055481689942
Bairnsdale,205021081,0.11782242459617447
Malvern East,208041195,0.11778932445823383
Yackandandah,204031075,0.11754816562687549
Merbein,215021396,0.11683982426288135
Kyabram,216011407,0.11642501978168127
Geelong West - Hamlyn Heights,203021040,0.11638104881772102
Seymour,204011059,0.11636048223285514
Newtown (Vic.),203021046,0.116307237242225
Bruthen - Omeo,205021082,0.1162627221946712
Thornbury,206021112,0.11625057380315262
St Arnaud,215011391,0.1158989713974122
Traralgon - East,205041493,0.11588970545214987
Bacchus Marsh Surrounds,201021009,0.11577957051228442
Bendigo Surrounds - South,202021026,0.11522920372052636
Point Cook - East,213051464,0.1148070711377153
Cobram,216021411,0.11452108111068766
St Kilda - West,206051514,0.114117702028709
Shepparton Surrounds - West,216031419,0.11397902464035184
Strathfieldsaye,202011024,0.11338694374229996
Wallan,209041224,0.11335083106930188
Hughesdale,208021180,0.1130705341229935
Winchelsea,203011036,0.11236385420754114
Blackburn,207031161,0.1123044912901984
North Geelong - Bell Park,203021047,0.11227534914742081
Glenelg (Vic.),217011420,0.11179295451060625
Clifton Springs,203031048,0.11111940100639336
Laverton,213051363,0.1110875283065506
Northcote - West,206021500,0.11106737815616483
Elsternwick,208021179,0.11094867322340421
Bulleen,207021156,0.11074382220180903
Highton,203021042,0.11009597565129567
Clyde North - South,212031556,0.10925806684757122
Foster,205031087,0.1092523335695315
Warragul,205011079,0.10878380956618883
Ararat,215011386,0.10767550317780109
West Footscray - Tottenham,213031351,0.10742269590502711
Murrumbeena,208021181,0.10628288062600807
Baranduda - Leneva,204031491,0.1058318263079551
Longford - Loch Sport,205051100,0.10516996580601948
Red Cliffs,215021399,0.10486067428771868
Shepparton - North,216031416,0.1045145081371047
Grovedale - Mount Duneed,203021487,0.1043982314550086
Wyndham Vale - South,213051590,0.1040209632469858
Horsham,215011388,0.10375347342458285
Swan Hill,215031404,0.10356874041718553
Gannawarra,215031401,0.10297767530535336
Prahran - Windsor,206061136,0.10272557543285872
Clyde North - North,212031555,0.10269160273080187
Doncaster,207021157,0.10263860848425707
Narre Warren North,212021299,0.10260635362512611
Rockbank - Mount Cottrell,213041359,0.10194501858789155
Geelong,203021039,0.10187440277453053
Doncaster East - South,207021425,0.10147102525542558
