Suburb_Name,sa2_2021,Growth_Rate
Berwick - North,212021293,0.027885271631328933
Nunawading,211041271,0.02763275577722471
Kangaroo Flat - Golden Square,202011022,0.027526984819883676
Skye - Sandhurst,214011376,0.02748625313354187
Lara,203021043,0.027464820790201166
Paynesville,205021086,0.027340195611746554
Swan Hill,215031404,0.027280435341608213
Frankston South,214011373,0.027097114879224123
Diggers Rest,210041539,0.02704432928897781
Croydon - West,211031451,0.027036011658893255
Cranbourne East - South,212031558,0.026932598361741784
Maffra,205051101,0.026927058280466182
Shepparton - North,216031416,0.02674902906911929
Mickleham - Yuroke,210051445,0.0265323078932099
Brighton (Vic.),208011169,0.026526294227005448
Keilor East,210011534,0.026390817594268468
Aspendale Gardens - Waterways,208031183,0.026374506528691395
Point Nepean,214021383,0.026118350854376644
Bright - Mount Beauty,204031069,0.026071876869957766
Werribee - East,213051467,0.026040191032423034
Epping - South,209041432,0.02575699921902287
Cranbourne North - West,212031560,0.02574271786334653
Wonthaggi - Inverloch,205031093,0.025709529078695864
Carrum Downs,214011370,0.02560418666069663
Craigieburn - North,210051442,0.025556432848562155
Werribee - West,213051468,0.02542047206034731
Mooroopna,216031415,0.02537849672075631
Croydon Hills - Warranwood,211031265,0.025239418586217997
Box Hill North,207031164,0.02521614904534846
Beaumaris,208011168,0.025200885602040212
Towong,204031072,0.025191255416373702
Ringwood North,211031268,0.02500323006142623
Cranbourne South,212031303,0.02487585210687464
Truganina - North,213051586,0.024787257188250533
Greensborough,209011197,0.02477781499604591
Hadfield,210031440,0.024769618555025418
South Yarra - North,206061515,0.024523563780282465
South Yarra - South,206061516,0.024514313271448873
Wandin - Seville,211051285,0.02450090088702931
Portland,217011422,0.02443966461010232
Colac,217031472,0.02438965550926216
Ocean Grove,203031490,0.02424562861902641
Golden Plains - South,203011035,0.023852717164564875
Clifton Springs,203031048,0.02378154392738945
Point Cook - North East,213051580,0.023720126180498468
Berwick - South East,212021553,0.023594079279059182
Mildura - North,215021469,0.02358633097385161
Smythes Creek,201011007,0.023577794480147497
Baranduda - Leneva,204031491,0.023467432323150555
Warrnambool - South,217041480,0.023417514061038515
Templestowe Lower,207021160,0.023257573397969397
Port Melbourne Industrial,206051511,0.023060834008457282
Torquay,203031053,0.02302238585109669
White Hills - Ascot,202011025,0.022701820843443653
Hastings - Somers,214021379,0.022689863523047627
Glenelg (Vic.),217011420,0.022496327060728908
Eynesbury - Exford,213041573,0.022477823504507936
Drouin,205011076,0.02191975533012583
Wangaratta Surrounds,204021067,0.021890875322364285
Riddells Creek,210021234,0.02188339048365472
Bentleigh East - North,208021426,0.02149731992174781
Strathmore,210011231,0.02146082473799109
Clyde North - North,212031555,0.02145503411375404
