,Suburb_Name,Growth_Rate
336,Skye - Sandhurst,0.03242722250116961
337,Hallam,0.03212742817174839
338,Clarinda - Oakleigh South,0.03178580217517975
339,Glen Waverley - West,0.031564342672759996
340,Eltham,0.03138754690991456
341,Strathmore,0.031333497264974634
342,North Geelong - Bell Park,0.031249806896697745
343,Delacombe,0.03122300767175784
344,Southbank - East,0.031206418623273075
345,Carrum - Patterson Lakes,0.03100023691339518
346,Ashburton (Vic.),0.03099820223277445
347,Brookfield,0.030997626447667837
348,Airport West,0.030792842147054807
349,Vermont,0.030730225729116545
350,Burwood East,0.030362391312312685
351,Frankston South,0.030246368489999
352,Clyde North - North,0.030150711733333946
353,Greensborough,0.030005270065330426
354,Mentone,0.029872670460783134
355,Winchelsea,0.029682220284001533
356,Newtown (Vic.),0.029380384023022017
357,Flemington,0.029311622702862583
358,Noble Park - West,0.029122969151939404
359,Wheelers Hill,0.0289302367544641
360,Clifton Springs,0.028690414362022576
361,Hampton,0.028507226845562512
362,Rosedale,0.02850113886293567
363,Castlemaine,0.028358971237030507
364,South Morang - North,0.02835283285933534
365,Ringwood North,0.028268878698812998
366,Clayton - Central,0.028051160910846962
367,Craigieburn - West,0.028009920932632472
368,Clayton South,0.027961537199335258
369,Bendigo,0.027893323268067056
370,Bundoora - North,0.027819689353450056
371,Chirnside Park,0.027594887516252675
372,Traralgon - East,0.02749172377965442
373,Mount Dandenong - Olinda,0.027251994478431508
374,Geelong,0.026984129603361197
375,Ashwood - Chadstone,0.026964657084105392
376,Sunshine North,0.026926546124878676
377,Port Melbourne Industrial,0.026908620364260165
378,Wantirna,0.026776038157022924
379,Mornington - West,0.02643462715105991
380,Mordialloc - Parkdale,0.026312979049156048
381,Panton Hill - St Andrews,0.02620293090572945
382,Tarneit - North,0.026015911270353277
383,Kialla,0.025868113998733587
384,Brighton (Vic.),0.025827398449897017
385,Knoxfield - Scoresby,0.025675822615795603
386,Sandringham - Black Rock,0.0256105447035825
387,Narre Warren - North East,0.025539952009293525
388,West Wodonga,0.025537300897491295
389,Albert Park,0.025250851765215278
390,Mount Waverley - North,0.025171159129533167
391,Truganina - North,0.024873534819645455
392,Glen Iris - East,0.024342191889152827
393,Wantirna South,0.023814576898385516
394,Niddrie - Essendon West,0.02363868587101363
395,Bulleen,0.023599154904616514
396,Brunswick East,0.023529404713407014
397,Sale,0.023047339157254917
398,Cranbourne South,0.022642967128360843
399,Springvale South,0.022561802444515798
400,East Melbourne,0.022291678277156952
401,Tarneit - South,0.02222707994607436
402,Kangaroo Flat - Golden Square,0.02201153918425744
403,Belmont,0.021970915319820233
404,South Yarra - North,0.0219046896375926
405,California Gully - Eaglehawk,0.021876533692393896
406,East Bendigo - Kennington,0.021762479273554635
407,Roxburgh Park - North,0.021601787425857742
408,Flemington Racecourse,0.021472522192972902
409,Watsonia,0.0212654973839466
410,Bendigo Surrounds - South,0.021237942966676488
411,Mount Baw Baw Region,0.021168352203448596
412,Kingsbury,0.021065330642045722
413,Alfredton,0.019888989186678675
414,Flora Hill - Spring Gully,0.019809945554956833
415,Bairnsdale,0.019688765490882606
416,Brunswick - South,0.018995187065451613
417,Vermont South,0.01898657444334683
418,South Yarra - South,0.018774743482369606
419,Craigieburn - North West,0.018551333076367842
420,Yackandandah,0.018448956073736755
421,Kyneton,0.018192200492867718
422,Kew East,0.017753355266597482
423,Mooroolbark,0.017675390176915946
424,Doncaster East - South,0.017251130946957925
425,Longford - Loch Sport,0.017119815766967444
426,Traralgon - West,0.016693809156070695
427,Mount Martha,0.01660308212859906
428,Wollert,0.0164318097382617
429,Keilor,0.015892334315618796
430,Edithvale - Aspendale,0.015822946603083223
431,Craigieburn - North,0.01563545265632783
432,Cranbourne North - East,0.015622752613727867
433,Montmorency - Briar Hill,0.01537311016197333
434,Ocean Grove,0.01522235376422337
435,Healesville - Yarra Glen,0.015163182130111641
436,Croydon Hills - Warranwood,0.015064431128434235
437,Bruthen - Omeo,0.01407428769017142
438,Croydon South,0.01348857772229374
439,Belgrave - Selby,0.013438558246012963
440,Derrimut,0.012819335638653123
441,Highett (West) - Cheltenham,0.012100380270140047
442,Moorabbin - Heatherton,0.012040413745581183
443,Mill Park - South,0.01190347968641528
444,Warrandyte - Wonga Park,0.01137943727279284
445,Dingley Village,0.01131164377169298
446,Bentleigh East - South,0.01118816484183905
447,Beaumaris,0.010973639008600444
448,Golden Plains - South,0.0108203234262906
449,Orbost,0.009856815961261702
450,Baranduda - Leneva,0.00875030963073193
451,Point Cook - North West,0.008480997419880535
452,Wonthaggi - Inverloch,0.007935248669906293
453,Kilsyth,0.007610880872155092
454,Point Lonsdale - Queenscliff,0.007419723500757617
455,Upwey - Tecoma,0.006787499782243027
456,Gannawarra,0.006212723556636615
457,Balwyn North,0.006093219991870666
458,Lynbrook - Lyndhurst,0.005977720005099688
459,Mernda - South,0.005763965650051359
460,Cranbourne East - North,0.004923384650299453
461,Beechworth,0.004584871511033313
462,Bright - Mount Beauty,0.003872742427040253
463,Woodend,0.003822918745631649
464,Mernda - North,0.0036265282591787023
465,Tarneit - Central,0.0035058543305072297
466,Croydon - West,0.0032574594642100704
467,Mansfield (Vic.),0.0029801843438969273
468,Maiden Gully,0.0016431276931974173
469,Buninyong,0.0010122976201029736
470,Mount Eliza,-0.0030989116558981997
471,Keysborough - South,-0.0033514815527824738
472,Brighton East,-0.0035846006307226966
473,Eynesbury - Exford,-0.004729389625780944
474,Smythes Creek,-0.0053176914816972605
475,Portarlington,-0.005801244497656616
476,Strathfieldsaye,-0.006071648658510321
477,Bentleigh East - North,-0.006186074848815797
478,South Yarra - West,-0.007094616885737201
479,Rutherglen,-0.007380567655111284
480,Torquay,-0.008741785658549958
481,Daylesford,-0.00945479194257888
482,Grovedale - Mount Duneed,-0.011827706924627973
483,Aspendale Gardens - Waterways,-0.012918569865807583
484,Narre Warren South - East,-0.013207351297686026
485,Wattle Glen - Diamond Creek,-0.013389430125133906
486,Hurstbridge,-0.013607911728560273
487,Hampton Park - East,-0.01598455546291508
488,Bundoora - West,-0.019585476046977617
489,Hampton Park - West,-0.024106608357942753
490,Donvale - Park Orchards,-0.030843241699248448
491,Cobblebank - Strathtulloh,-0.031107020648076782
492,Flinders,-0.033717616453376995
493,Kilmore - Broadford,-0.03580885981874431
494,Box Hill North,-0.0360159609049175
495,Lorne - Anglesea,-0.03795756040443998
496,Moyne - West,-0.05443721612610984
497,Bundoora - East,-0.07064516631993413
498,Echuca,-0.07257928187951479
