Suburb_Name,sa2_2021,Growth_Rate
Essendon (West) - Aberfeldie,206031501,0.046138416709244894
Werribee - South,213051368,0.045062031268135724
Southern Grampians,217011423,0.044839926284927466
Hawthorn - South,207011520,0.0445183340252442
Moonee Ponds,206031116,0.04448930994560372
Glenelg (Vic.),217011420,0.04404589975499189
Fitzroy North,206071143,0.043706929164250743
Richmond - North,206071518,0.04345547601999014
Swan Hill Surrounds,215031405,0.04309755411151048
Hawthorn - North,207011519,0.04306405828345136
Endeavour Hills - South,212021454,0.042678275268678026
Burnside Heights,213041462,0.042379584146861146
Docklands,206041118,0.04061473037682805
West Footscray - Tottenham,213031351,0.04026926737311426
Research - North Warrandyte,209031214,0.04025419356909378
Nhill Region,215011390,0.04011104941343453
Loddon,202031033,0.03957222162121435
Frankston,214011371,0.03954863514041853
Plenty - Yarrambat,209031213,0.03932924328780148
Clyde North - South,212031556,0.03913642284226233
Lysterfield,211011255,0.03862271912182759
Hughesdale,208021180,0.03834268120244847
St Arnaud,215011391,0.038319194228029416
Balwyn,207011147,0.03827806840226369
Clifton Hill - Alphington,206071145,0.037798614181458995
Frankston North,214011372,0.03760831439332992
Truganina - South West,213051588,0.03737160354612276
Richmond (South) - Cremorne,206071517,0.037343082515425424
Kensington (Vic.),206041121,0.03703467456330376
Blackburn,207031161,0.036563124927148596
Port Melbourne,206051130,0.03649853473638553
Brunswick - South,206011496,0.035885621259006004
Gisborne,210021232,0.03580668056785471
Delahey,213011331,0.03569400223615734
Benalla Surrounds,204021064,0.035425106389403965
Rowville - Central,211011256,0.03530559672975062
Wyndham Vale - North,213051589,0.03495258676048726
Rockbank - Mount Cottrell,213041359,0.03487397048739914
Tarneit - North,213051584,0.03478418407919035
Flemington,206031115,0.0346667378874358
Kew - South,207011521,0.03454306081489751
Panton Hill - St Andrews,209031212,0.03425456526638043
Surrey Hills (West) - Canterbury,207011155,0.034039486573834085
Sunbury,210041240,0.03372014720416995
Keysborough - North,212041565,0.03365118601728467
Cranbourne North - West,212031560,0.033645142016724285
Merbein,215021396,0.03344945690110942
Altona,213021341,0.03308311463328033
Berwick - North,212021293,0.03285618400147192
Sunbury - South,210041540,0.03219979396577523
Brunswick - North,206011495,0.03133400807617064
Newport,213021344,0.03130179749605929
Hoppers Crossing - North,213051361,0.031234741895142182
Rowville - North,211011257,0.03113433247578461
Hoppers Crossing - South,213051362,0.031019179104216775
Point Cook - North East,213051580,0.03088061749617114
Collingwood,206071141,0.030780222374418464
Taylors Lakes,213011340,0.030730854449984295
Wheelers Hill,212051327,0.030392691576697228
Alexandra,204011054,0.030371031823103533
Ringwood East,211031267,0.030317551007209613
Keilor Downs,213011332,0.03029898716304174
Diggers Rest,210041539,0.030022305717578947
Churchill,205041094,0.029887077797683126
Skye - Sandhurst,214011376,0.029696809868203018
Werribee - West,213051468,0.029634447639054495
The Basin,211011449,0.02931913595868547
Whittlesea,209041225,0.029237565456265796
Caroline Springs,213041463,0.028951835405933952
Toorak,206061138,0.028891943744668348
Bentleigh - McKinnon,208021174,0.028643049707979585
Ivanhoe East - Eaglemont,209011201,0.02857977282489289
Blackburn South,207031162,0.028462316743691103
Boronia,211011446,0.028377276305235084
Kyabram,216011407,0.0281895562638828
Altona Meadows,213021342,0.028135412405882715
Tarneit - South,213051585,0.028107581127604347
Mentone,208031190,0.027633637796749842
Burwood (Vic.),207031165,0.027461385696186547
Carlton North - Princes Hill,206071140,0.0274072338433602
Kangaroo Flat - Golden Square,202011022,0.02738623338159272
Highton,203021042,0.027376080838903534
Mickleham - Yuroke,210051445,0.026843387193014163
Templestowe,207021159,0.02674067849280957
Montrose,211051280,0.026677517911871784
Preston - West,209021429,0.026603130262390102
Point Cook - North West,213051581,0.026282781729194855
Camperdown,217031471,0.026020229450793568
Taylors Hill,213041360,0.02591688308649597
Box Hill,207031163,0.025894004485120727
Nunawading,211041271,0.025684662423941008
Coburg - East,206011497,0.025328750129640597
Pascoe Vale South,206011109,0.025238102516204664
Brunswick East,206011106,0.025220945323180692
Keilor,210011228,0.02515145798630523
Oakleigh - Huntingdale,212051326,0.02496119050884555
Fawkner,210031237,0.024935383665184864
Portland,217011422,0.024697593363953076
Northcote - East,206021499,0.024107070207445482
Carrum - Patterson Lakes,208031185,0.023928037001112165
Doveton,212021295,0.02375763933143203
Narre Warren South - West,212031458,0.02364820078612733
Avondale Heights,210011533,0.023183905534999362
Pakenham - North West,212011550,0.02300069201947865
Mildura Surrounds,215021398,0.022875285428996677
Stawell,215011392,0.022837225187101455
Moe - Newborough,205041095,0.02277605643263417
Viewbank - Yallambie,209011203,0.02276122848038808
Greenvale - Bulla,210051246,0.02271942816779256
Melbourne CBD - West,206041505,0.022600946530321773
Mount Martha,214021382,0.022222131575083758
Craigieburn - Central,210051441,0.022160839687038615
Leopold,203021044,0.02211293855702834
Heidelberg West,209011199,0.02210901371870604
Melbourne CBD - East,206041503,0.022019453488431137
Yarriambiack,215011394,0.02196537361270246
Ferntree Gully - North,211011447,0.02192499975564109
Wyndham Vale - South,213051590,0.02160658432605938
Kew - West,207011522,0.021575496604677648
Ringwood North,211031268,0.02142218694762065
Yarram,205051104,0.021374929584407794
Ballarat East - Warrenheip,201011481,0.02134339049398436
