,postcode,sa2_2021,sa2_2016,year,gdp(USD Millioins),saving_rate(% of GDP),income_per_person,population_density,crime_cases
348,3277,217041480,217041480,2024,3850385,14.351000000009662,64957.14911632426,554.0,149
349,3032,206031113,206031113,2024,3850385,14.351000000009662,85942.73376356298,4179.0,3167
350,3168,212051567,212051320,2024,3850385,14.351000000009662,56150.85958307749,1954.0,2049
351,3806,212021299,212021299,2024,3850385,14.351000000009662,82249.47548787901,663.0,2404
352,3064,210051247,210051247,2024,3850385,14.351000000009662,53128.64011537936,3912.0,5365
353,3071,206021112,206021112,2024,3850385,14.351000000009662,75904.80059239129,4121.0,1521
354,3227,203031489,203031050,2024,3850385,14.351000000009662,72658.86857037991,541.0,266
355,3081,209011199,209011199,2024,3850385,14.351000000009662,64912.84850174282,2541.0,1943
356,3216,203021042,203021042,2024,3850385,14.351000000009662,75619.03732810728,944.0,2977
357,3337,213041358,213041358,2024,3850385,14.351000000009662,64675.21520867478,1054.0,4319
358,3350,201011001,201011001,2024,3850385,14.351000000009662,70329.15423463518,664.0,6997
359,3335,213041574,213041355,2024,3850385,14.351000000009662,70104.3439216041,482.0,513
360,3027,213051363,213051363,2024,3850385,14.351000000009662,64473.41771565098,778.0,447
361,3977,214011376,214011376,2024,3850385,14.351000000009662,72741.11982867308,955.0,6703
362,3355,201011002,201011002,2024,3850385,14.351000000009662,81910.78093868727,1412.0,1735
363,3551,202011023,202011023,2024,3850385,14.351000000009662,67877.08458199445,530.0,1099
364,3444,202021030,202021030,2024,3850385,14.351000000009662,66712.12738736905,475.0,672
365,3127,207011155,207011155,2024,3850385,14.351000000009662,119837.91876931537,3333.0,686
366,3431,210021234,210021234,2024,3850385,14.351000000009662,73012.95610547438,510.0,196
367,3217,204011061,204011061,2024,3850385,14.351000000009662,52102.94079821231,460.0,444
368,3451,202021027,202021027,2024,3850385,14.351000000009662,59714.45643677888,546.0,224
369,3820,205021084,205021084,2024,3850385,14.351000000009662,56521.23390569119,471.0,1591
370,3030,213051580,213051465,2024,3850385,14.351000000009662,73643.86797582218,2600.0,6507
371,3850,205051102,205051102,2024,3850385,14.351000000009662,60534.93801558856,433.0,2433
372,3717,204011062,204011062,2024,3850385,14.351000000009662,57473.06048051966,468.0,254
373,3922,205031091,205031091,2024,3850385,14.351000000009662,57118.41353333881,516.0,766
374,3037,213011331,213011331,2024,3850385,14.351000000009662,59768.08748158021,2996.0,2226
375,3847,205051102,205051102,2024,3850385,14.351000000009662,60534.93801558856,433.0,268
376,3427,210041539,210041241,2024,3850385,14.351000000009662,69590.72911614133,506.0,361
377,3910,214011374,214011374,2024,3850385,14.351000000009662,68651.72122138133,1062.0,1080
378,3869,205041094,205041094,2024,3850385,14.351000000009662,70343.62688233098,460.0,147
379,3976,212031562,212031305,2024,3850385,14.351000000009662,58820.80651065428,2886.0,1529
380,3823,205011078,205011078,2024,3850385,14.351000000009662,66080.3001339063,467.0,230
381,3939,214021383,214021383,2024,3850385,14.351000000009662,67099.75162866386,703.0,1713
382,3782,212011289,212011289,2024,3850385,14.351000000009662,71365.74820505828,502.0,364
383,3206,206051128,206051128,2024,3850385,14.351000000009662,125651.899868635,3600.0,917
384,3631,216031416,216031416,2024,3850385,14.351000000009662,65467.55552208424,718.0,745
385,3155,211011446,211011446,2024,3850385,14.351000000009662,64200.79187139031,2386.0,2261
386,3793,211051282,211051282,2024,3850385,14.351000000009662,73834.79830425931,591.0,206
387,3146,208041194,208041194,2024,3850385,14.351000000009662,121845.10955660512,3680.0,996
388,3051,206041506,206041123,2024,3850385,14.351000000009662,74351.77907601371,5860.0,1734
389,3084,209011198,209011198,2024,3850385,14.351000000009662,78919.6846907665,2703.0,2361
390,3040,206031502,206031114,2024,3850385,14.351000000009662,87931.29023633385,3578.0,1607
391,3284,217041478,217041478,2024,3850385,14.351000000009662,61575.61427719891,467.0,225
392,3034,210011533,210011229,2024,3850385,14.351000000009662,70755.97237993265,2681.0,522
393,3807,212011546,212011287,2024,3850385,14.351000000009662,74003.58907060837,762.0,405
394,3021,213011332,213011332,2024,3850385,14.351000000009662,63823.17126681283,2341.0,5236
395,3144,208041194,208041194,2024,3850385,14.351000000009662,121845.10955660512,3680.0,811
396,3219,203021039,203021039,2024,3850385,14.351000000009662,74015.67516388558,1431.0,2177
397,3057,206011106,206011106,2024,3850385,14.351000000009662,75197.857961867,4730.0,898
