,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE
2005,"30C OAKES AVENUE, CLAYTON SOUTH",-37.935829,145.131729,3.0,2.0,1,$430,Townhouse,July 2014,3169,2014,7,SOUTH,430,211041270
2006,"30C OAKES AVENUE, CLAYTON SOUTH",-37.935829,145.131729,3.0,2.0,1,$430_Weekly,Townhouse,June 2014,3169,2014,6,SOUTH,430,211041270
2007,"30C OAKES AVENUE, CLAYTON SOUTH",-37.935829,145.131729,3.0,2.0,1,$430_pw,Townhouse,June 2014,3169,2014,6,SOUTH,430,211041270
2008,"30C OAKES AVENUE, CLAYTON SOUTH",-37.935829,145.131729,3.0,2.0,1,$430,Townhouse,June 2014,3169,2014,6,SOUTH,430,211051282
2070,"B109 / 60 AUTUMN TERRACE, CLAYTON SOUTH",-37.9382824,145.1377198,2.0,2.0,1,$365_per_week,Unit/apmt,December 2014,3169,2014,12,SOUTH,365,212051323
2071,"B109 / 60 AUTUMN TERRACE, CLAYTON SOUTH",-37.9382824,145.1377198,2.0,2.0,1,$365_pw,Unit/apmt,December 2014,3169,2014,12,SOUTH,365,211031265
2072,"B109 / 60 AUTUMN TERRACE, CLAYTON SOUTH",-37.9382824,145.1377198,2.0,2.0,1,$365,Unit/apmt,December 2014,3169,2014,12,SOUTH,365,211031265
2076,"3/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$310_p.w.,none,April 2014,3169,2014,4,SOUTH,310,207021425
2077,"3/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$310_per_week,none,April 2014,3169,2014,4,SOUTH,310,207021425
2078,"3/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$310_pw,none,April 2014,3169,2014,4,SOUTH,310,206041121
2113,"4/15 OAKES AVENUE, CLAYTON SOUTH",-37.935135,145.129653,3.0,2.0,1,$370_Weekly,House,December 2014,3169,2014,12,SOUTH,370,213011333
2179,"5/5 BURNS AVENUE, CLAYTON SOUTH",-37.9368135,145.1345036,2.0,1.0,1,$305_pw,Available Now,March 2014,3169,2014,3,SOUTH,305,210031535
2180,"5/5 BURNS AVENUE, CLAYTON SOUTH",-37.9368135,145.1345036,2.0,1.0,1,$305_p.w.,Available Now,March 2014,3169,2014,3,SOUTH,305,207021160
2181,"5/5 BURNS AVENUE, CLAYTON SOUTH",-37.9368135,145.1345036,2.0,1.0,1,$305_Weekly,Available Now,March 2014,3169,2014,3,SOUTH,305,209041217
2182,"5/5 BURNS AVENUE, CLAYTON SOUTH",-37.9368135,145.1345036,2.0,1.0,1,$305,Available Now,March 2014,3169,2014,3,SOUTH,305,212041310
2215,"UNIT 11/38 WORDSWORTH AVENUE, CLAYTON SOUTH",-37.939192,145.132069,2.0,1.0,1,$310_Weekly,Unit,June 2014,3169,2014,6,SOUTH,310,212041310
2216,"UNIT 11/38 WORDSWORTH AVENUE, CLAYTON SOUTH",-37.939192,145.132069,2.0,1.0,1,$300_Weekly,Unit,March 2014,3169,2014,3,SOUTH,300,208021174
2217,"UNIT 11/38 WORDSWORTH AVENUE, CLAYTON SOUTH",-37.939192,145.132069,2.0,1.0,1,$310_Weekly,Unit,March 2014,3169,2014,3,SOUTH,310,206021112
2265,"UNIT 2/32 TENNYSON AVENUE, CLAYTON SOUTH",-37.936636,145.129962,2.0,1.0,1,$320_Weekly,Unit,December 2014,3169,2014,12,SOUTH,320,212021297
2273,"4/31 MILTON AVENUE, CLAYTON SOUTH",-37.93671799,145.13082886,2.0,1.0,1,$280_p.w.,Unit,March 2014,3169,2014,3,SOUTH,280,208031193
2274,"4/31 MILTON AVENUE, CLAYTON SOUTH",-37.93671799,145.13082886,2.0,1.0,1,$280_pw,Unit,March 2014,3169,2014,3,SOUTH,280,208031193
2275,"4/31 MILTON AVENUE, CLAYTON SOUTH",-37.93671799,145.13082886,2.0,1.0,1,$280_Weekly,Unit,March 2014,3169,2014,3,SOUTH,280,208031193
2276,"4/31 MILTON AVENUE, CLAYTON SOUTH",-37.93671799,145.13082886,2.0,1.0,1,$280,Unit,March 2014,3169,2014,3,SOUTH,280,208031193
2283,"1/60 OAKES AVENUE, CLAYTON SOUTH",-37.93713,145.136159,3.0,2.0,2,$290_p.w.,Townhouse,February 2014,3169,2014,2,SOUTH,290,215011391
