,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE
379,"13 BURKE STREET, CHILTERN",-36.152878,146.607758,2.0,1.0,1,$250_Weekly,none,July 2016,3683,2016,7,CHILTERN,250,203031049
421,"12-14 CAMPUS GATE, CHIRNSIDE PARK",-37.755523,145.332948,5.0,2.0,2,$390_pw,House,September 2016,3116,2016,9,PARK,390,201031015
454,"1/31 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.756332,145.325246,3.0,1.0,1,$340_pw,House,December 2016,3116,2016,12,PARK,340,204021067
455,"1/31 COUNTRY CLUB DRIVE, CHIRNSIDE PARK",-37.756332,145.325246,3.0,1.0,1,$350_pw,House,November 2016,3116,2016,11,PARK,350,203031489
526,"66 ROSEMAN ROAD, CHIRNSIDE PARK",-37.746928,145.33598,3.0,1.0,1,$320_pw,House,September 2016,3116,2016,9,PARK,320,205011079
554,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3.0,2.0,1,$370_pw,House,June 2016,3116,2016,6,PARK,370,206031115
555,"25 CLUBPOINT DRIVE, CHIRNSIDE PARK",-37.7526153,145.3270934,3.0,2.0,1,$370_pw,House,May 2016,3116,2016,5,PARK,370,206031115
573,"26 JOANNE AVENUE, CHIRNSIDE PARK",-37.755106,145.306849,3.0,2.0,3,$420_pw,House,October 2016,3116,2016,10,PARK,420,206041503
585,"9 ALLY TERRACE, CHIRNSIDE PARK",-37.756061,145.295076,4.0,2.0,2,$550_per_week,House,December 2016,3116,2016,12,PARK,550,214011370
589,"27A HUNTINGDALE DRIVE, CHIRNSIDE PARK",-37.754248,145.3227,3.0,2.0,2,$460_Weekly,House,June 2016,3116,2016,6,PARK,460,212031560
590,"27A HUNTINGDALE DRIVE, CHIRNSIDE PARK",-37.754248,145.3227,3.0,2.0,2,$460,House,June 2016,3116,2016,6,PARK,460,217041478
591,"27A HUNTINGDALE DRIVE, CHIRNSIDE PARK",-37.754248,145.3227,3.0,2.0,2,$460_per_week,House,June 2016,3116,2016,6,PARK,460,211051275
592,"27A HUNTINGDALE DRIVE, CHIRNSIDE PARK",-37.754248,145.3227,3.0,2.0,2,$460_pw,House,June 2016,3116,2016,6,PARK,460,206051130
684,"190 MUIR ROAD, CHRISTMAS HILLS",-37.65713,145.323706,3.0,1.0,0,$400_per_week,House,June 2016,3775,2016,6,HILLS,400,211011254
692,"30 O'SHEAS ROAD, CHRISTMAS HILLS",-37.643953,145.309304,4.0,2.0,1,$600_per_week,none,November 2016,3775,2016,11,HILLS,600,203021487
693,"30 O'SHEAS ROAD, CHRISTMAS HILLS",-37.643953,145.309304,4.0,2.0,1,$600_per_week,none,December 2016,3775,2016,12,HILLS,600,201031013
694,"30 OU0027SHEAS ROAD, CHRISTMAS HILLS",-37.653666,145.3050781,4.0,2.0,1,$600_per_week,House,November 2016,3775,2016,11,HILLS,600,209031212
695,"90 WESTERING ROAD, CHRISTMAS HILLS",-37.677565,145.269523,3.0,1.0,0,$550_per_week,none,August 2016,3775,2016,8,HILLS,550,210021235
696,"1246 ELTHAM - YARRA GLEN ROAD, CHRISTMAS HILLS",-37.651535,145.288365,2.0,1.0,0,$250_per_week,House,June 2016,3775,2016,6,HILLS,250,206041121
697,"1246 ELTHAM - YARRA GLEN ROAD, CHRISTMAS HILLS",-37.651535,145.288365,2.0,1.0,0,$250_per_week,House,May 2016,3775,2016,5,HILLS,250,209031212
726,"4 KARAMOOKA AVENUE, CHUM CREEK",-37.630489,145.496038,3.0,1.0,0,$380_per_week,House,March 2016,3777,2016,3,CREEK,380,207021156
734,"731 CHUM CREEK ROAD, CHUM CREEK",-37.64491085,145.49757232,3.0,2.0,0,$385_per_week,none,December 2016,3777,2016,12,CREEK,385,211041270
735,"7 CENTRE GROVE, CHUM CREEK",-37.646127,145.494799,4.0,2.0,1,$465_pw,House,August 2016,3777,2016,8,CREEK,465,207011152
736,"7 CENTRE GROVE, CHUM CREEK",-37.646127,145.494799,4.0,2.0,1,$465_per_week,House,August 2016,3777,2016,8,CREEK,465,205031091
737,"CONTACT AGENT, CHUM CREEK",-37.6333426,145.4993536,4.0,2.0,3,$450_pw,House,April 2016,3777,2016,4,CREEK,450,211051276
738,"5 KARAMOOKA AVENUE, CHUM CREEK",-37.630029,145.495225,3.0,2.0,2,$390_per_week,House,January 2016,3777,2016,1,CREEK,390,211051276
786,"5 INALA CLOSE, CHURCHILL",-38.323757,146.424585,4.0,1.0,0,$200_pw,none,June 2016,3842,2016,6,CHURCHILL,200,209041223
802,"15 CURRINGA COURT, CHURCHILL",-38.319109,146.420642,4.0,2.0,2,$300_per_week,none,January 2016,3842,2016,1,CHURCHILL,300,209011198
803,"15 CURRINGA COURT, CHURCHILL",-38.319109,146.420642,4.0,2.0,2,$300_pw,none,January 2016,3842,2016,1,CHURCHILL,300,206041121
907,"38 COOLABAH DRIVE, CHURCHILL",-38.303151,146.416263,3.0,1.0,1,$210_per_week,House,December 2016,3842,2016,12,CHURCHILL,210,211051286
940,"27 CHURINGA DRIVE, CHURCHILL",-38.3210366,146.4247311,3.0,1.0,1,$280_per_week,none,May 2016,3842,2016,5,CHURCHILL,280,209011198
961,"204/LOT 1 MILLER STREET, CLARENDON",-35.10989,138.628093,1.0,1.0,0,$175_p.w.,Unit/apmt,May 2016,3352,2016,5,CLARENDON,175,214021382
973,"3/34 INVERNESS STREET, CLARINDA",-37.931864,145.108164,3.0,2.0,1,$515,Unit/apmt,February 2016,3169,2016,2,CLARINDA,515,213011334
974,"3/34 INVERNESS STREET, CLARINDA",-37.931864,145.108164,3.0,2.0,1,$515_pw,Unit/apmt,February 2016,3169,2016,2,CLARINDA,515,205011078
979,"3/34 INVERNESS ST, CLARINDA",-37.931864,145.108164,3.0,2.0,1,$515_Weekly,Townhouse,February 2016,3169,2016,2,CLARINDA,515,205021081
1069,"1 / 55 VINEY STREET, CLARINDA",-37.93875,145.101891,3.0,1.0,3,$350_per_week,Townhouse,May 2016,3169,2016,5,CLARINDA,350,214011370
1143,"3/7 MACK CRESCENT, CLARINDA",-37.943918,145.11252,2.0,1.0,1,$340_p.w.,Unit/apmt,November 2016,3169,2016,11,CLARINDA,340,213051362
1144,"3/7 MACK CRESCENT, CLARINDA",-37.943918,145.11252,2.0,1.0,1,$340_Weekly,Unit/apmt,November 2016,3169,2016,11,CLARINDA,340,211041272
1145,"3/7 MACK CRESCENT, CLARINDA",-37.943918,145.11252,2.0,1.0,1,$340,Unit/apmt,November 2016,3169,2016,11,CLARINDA,340,210051246
1146,"3/7 MACK CRESCENT, CLARINDA",-37.943918,145.11252,2.0,1.0,1,$340_p.w.,Unit/apmt,October 2016,3169,2016,10,CLARINDA,340,210051246
1206,"59 LEONARD CLOSE, CLARINDA",-37.940496,145.106509,5.0,3.0,2,$410_Weekly,Rental_residential,May 2016,3169,2016,5,CLARINDA,410,210031535
1207,"59 LEONARD CLOSE, CLARINDA",-37.940496,145.106509,5.0,3.0,2,$410,Rental_residential,May 2016,3169,2016,5,CLARINDA,410,213021346
1208,"59 LEONARD CLOSE, CLARINDA",-37.940496,145.106509,5.0,3.0,2,$410_per_week,Rental_residential,May 2016,3169,2016,5,CLARINDA,410,211041272
1209,"59 LEONARD CLOSE, CLARINDA",-37.940496,145.106509,5.0,3.0,2,$410_pw,Rental_residential,May 2016,3169,2016,5,CLARINDA,410,211041272
1270,"600 KONAGADERRA ROAD, CLARKEFIELD",-37.515177,144.783865,3.0,1.0,0,$390,House,December 2016,3430,2016,12,CLARKEFIELD,390,206031115
1281,"160 FENTON HILL ROAD, CLARKEFIELD",-37.4935034,144.8108406,3.0,1.0,3,$450_per_week,House,September 2016,3430,2016,9,CLARKEFIELD,450,210021235
1287,"291 BOGGY GATE ROAD, CLARKEFIELD",-37.478953,144.789645,4.0,1.0,0,$600_Weekly,House,April 2016,3430,2016,4,CLARKEFIELD,600,206061135
1289,"291 BOGGY GATE RD, CLARKEFIELD",-37.478953,144.789645,4.0,1.0,0,$600_Weekly,House,April 2016,3430,2016,4,CLARKEFIELD,600,213021346
1290,"1556 &QUOTGROOMS COTTAGE&QUOT LANCEFIELD ROAD, CLARKEFIELD",-37.4893522,144.7564024,2.0,1.0,2,$270_per_week,House,October 2016,3430,2016,10,CLARKEFIELD,270,202021030
1291,"554 HEATHS LANE, CLARKEFIELD",-37.460714,144.804313,3.0,1.0,2,$300_pw,House,August 2016,3430,2016,8,CLARKEFIELD,300,216011408
1325,"28 EVELYN STREET, CLAYTON NORTH",-37.919915,145.131416,3.0,1.0,0,$360_p.w.,House,September 2016,3168,2016,9,NORTH,360,206041121
1331,"4/126 WELLINGTON ROAD, CLAYTON NORTH",-37.9211962,145.1320653,2.0,1.0,1,$299_p.w.,House,November 2016,3168,2016,11,NORTH,299,209031213
1332,"3/36 DENNIS STREET, CLAYTON NORTH",-37.918364,145.138747,4.0,3.0,0,$680_per_week,none,October 2016,3168,2016,10,NORTH,680,217031473
1333,"1/36 DENNIS STREET, CLAYTON NORTH",-37.918364,145.138747,3.0,3.0,0,$640_per_week,none,October 2016,3168,2016,10,NORTH,640,209031213
1334,"2/36 DENNIS STREET, CLAYTON NORTH",-37.918364,145.138747,3.0,3.0,0,$640_per_week,none,October 2016,3168,2016,10,NORTH,640,209031213
1335,"3/23 ROSE STREET, CLAYTON NORTH",-37.922802,145.124847,2.0,1.0,1,$320_p.w.,Unit/apmt,October 2016,3168,2016,10,NORTH,320,209031213
1336,"7 MURDO ROAD, CLAYTON NORTH",-37.917569,145.14094,3.0,1.0,0,$450_per_week,none,September 2016,3168,2016,9,NORTH,450,209031213
1337,"3/22 WRIGHT STREET, CLAYTON NORTH",-37.92221,145.124686,2.0,1.0,1,$330_Weekly,Unit/apmt,April 2016,3168,2016,4,NORTH,330,209031215
1338,"UNIT 3/22 WRIGHT STREET, CLAYTON NORTH",-37.92221,145.124686,2.0,1.0,1,$330_Weekly,none,April 2016,3168,2016,4,NORTH,330,216031415
1339,"42 KOONAWARRA ROAD, CLAYTON NORTH",-37.910193,145.125105,3.0,1.0,1,$470_Weekly,House,February 2016,3168,2016,2,NORTH,470,209021523
1380,"1/19 BURNS AVENUE, CLAYTON SOUTH",-37.936444,145.134354,2.0,1.0,1,$300_Week,none,September 2016,3169,2016,9,SOUTH,300,206051130
1414,"3 JORDAN ST, CLAYTON SOUTH",-37.930814,145.116963,3.0,2.0,2,$370_Weekly,none,December 2016,3169,2016,12,SOUTH,370,206051130
1428,"1/31 SPRINGS ROAD, CLAYTON SOUTH",-37.930285,145.109556,2.0,1.0,1,$340_per_week,none,August 2016,3169,2016,8,SOUTH,340,207021424
1476,"2/38 OAKES AVENUE, CLAYTON SOUTH",-37.93599,145.132932,2.0,1.0,1,$320_p.w.,Unit/apmt,April 2016,3169,2016,4,SOUTH,320,207021425
1477,"2/38 OAKES AVENUE, CLAYTON SOUTH",-37.93599,145.132932,2.0,1.0,1,$320_pw,Unit/apmt,April 2016,3169,2016,4,SOUTH,320,207021425
1478,"2/38 OAKES AVENUE, CLAYTON SOUTH",-37.93599,145.132932,2.0,1.0,1,$320_Weekly,Unit/apmt,April 2016,3169,2016,4,SOUTH,320,207011152
1479,"2/38 OAKES AVENUE, CLAYTON SOUTH",-37.93599,145.132932,2.0,1.0,1,$320,Unit/apmt,April 2016,3169,2016,4,SOUTH,320,213011340
1578,"3 GLENN COURT, CLAYTON SOUTH",-37.955304,145.136471,3.0,1.0,2,$399,House,November 2016,3169,2016,11,SOUTH,399,205021084
1588,"B218/60 AUTUMN TERRACE, CLAYTON SOUTH",-37.9393196,145.1384859,2.0,2.0,1,$370_per_week,none,February 2016,3169,2016,2,SOUTH,370,214021384
1589,"B218/60 AUTUMN TERRACE, CLAYTON SOUTH",-37.9393196,145.1384859,2.0,2.0,1,$370_pw,none,February 2016,3169,2016,2,SOUTH,370,214021384
1590,"B218/60 AUTUMN TERRACE, CLAYTON SOUTH",-37.9393196,145.1384859,2.0,2.0,1,$370,none,February 2016,3169,2016,2,SOUTH,370,214021384
1597,"2/33 BROWNING AVENUE, CLAYTON SOUTH",-37.9389684,145.1327188,3.0,1.0,1,$340_Weekly,none,November 2016,3169,2016,11,SOUTH,340,201021010
1602,"3 GLENN CT, CLAYTON SOUTH",-37.955304,145.136471,3.0,1.0,0,$399,House,November 2016,3169,2016,11,SOUTH,399,210031536
1610,"4/1430 CENTRE ROAD, CLAYTON SOUTH",-37.930149,145.129475,2.0,1.0,1,$395_per_week,Unit/apmt,April 2016,3169,2016,4,SOUTH,395,206041121
1611,"4/1430 CENTRE ROAD, CLAYTON SOUTH",-37.930149,145.129475,2.0,1.0,1,$395_pw,Unit/apmt,March 2016,3169,2016,3,SOUTH,395,209021205
1648,"8/31-33 FIRST STREET, CLAYTON SOUTH",-37.933051,145.134866,2.0,1.0,1,$290,none,November 2016,3169,2016,11,SOUTH,290,203021043
1702,"37 MONASH CRESCENT, CLAYTON SOUTH",-37.944059,145.133323,3.0,1.0,2,$450_Weekly,House,April 2016,3169,2016,4,SOUTH,450,206061135
1730,"2/19 BURNS AVENUE, CLAYTON SOUTH",-37.938025,145.133904,2.0,1.0,1,$300_Week,Unit/apmt,September 2016,3169,2016,9,SOUTH,300,208011170
1744,"6/31-33 FIRST STREET, CLAYTON SOUTH",-37.932937,145.135112,2.0,1.0,1,$270,Unit/apmt,April 2016,3169,2016,4,SOUTH,270,212041310
1755,"2/1430 CENTRE ROAD, CLAYTON SOUTH",-37.930149,145.129475,1.0,1.0,1,$365,Unit/apmt,March 2016,3169,2016,3,SOUTH,365,206061135
1771,"UNIT 6/21 ROSEBANK AVENUE, CLAYTON SOUTH",-37.938946,145.13002,2.0,1.0,1,$345_Weekly,Unit/apmt,November 2016,3169,2016,11,SOUTH,345,205031093
1772,"UNIT 6/21 ROSEBANK AVENUE, CLAYTON SOUTH",-37.938946,145.13002,2.0,1.0,1,$345_Weekly,Unit/apmt,October 2016,3169,2016,10,SOUTH,345,211011446
1773,"UNIT 6/21 ROSEBANK AVENUE, CLAYTON SOUTH",-37.938946,145.13002,2.0,1.0,1,$340_Weekly,Unit/apmt,July 2016,3169,2016,7,SOUTH,340,211011446
1774,"UNIT 6/21 ROSEBANK AVENUE, CLAYTON SOUTH",-37.938946,145.13002,2.0,1.0,1,$330_Weekly,Unit/apmt,February 2016,3169,2016,2,SOUTH,330,212041310
1787,"UNIT 8/27 LANARK STREET, CLAYTON SOUTH",-37.933628,145.115959,2.0,1.0,2,$350_Weekly,Unit/apmt,December 2016,3169,2016,12,SOUTH,350,211011251
1875,"16 MIRANDA CLOSE, CLAYTON SOUTH",-37.946334,145.135753,3.0,1.0,3,$350_Weekly,House,March 2016,3169,2016,3,SOUTH,350,211031265
1998,"30C OAKES AVENUE, CLAYTON SOUTH",-37.935829,145.131729,3.0,2.0,1,$450_per_week,Townhouse,July 2016,3169,2016,7,SOUTH,450,214011375
1999,"30C OAKES AVENUE, CLAYTON SOUTH",-37.935829,145.131729,3.0,2.0,1,$450_pw,Townhouse,July 2016,3169,2016,7,SOUTH,450,214011375
2000,"30C OAKES AVENUE, CLAYTON SOUTH",-37.935829,145.131729,3.0,2.0,1,$450,Townhouse,July 2016,3169,2016,7,SOUTH,450,206061135
2001,"30C OAKES AVENUE, CLAYTON SOUTH",-37.935829,145.131729,3.0,2.0,1,$450_Weekly,Townhouse,July 2016,3169,2016,7,SOUTH,450,212041310
2024,"2/497 CLAYTON ROAD, CLAYTON SOUTH",-37.936333,145.117213,2.0,1.0,1,$330_pw,Unit/apmt,April 2016,3169,2016,4,SOUTH,330,203021039
2025,"2/497 CLAYTON ROAD, CLAYTON SOUTH",-37.936333,145.117213,2.0,1.0,1,$330_per_week,Unit/apmt,March 2016,3169,2016,3,SOUTH,330,206041121
2026,"2/497 CLAYTON ROAD, CLAYTON SOUTH",-37.936333,145.117213,2.0,1.0,1,$330,Unit/apmt,March 2016,3169,2016,3,SOUTH,330,213021346
2067,"B109 / 60 AUTUMN TERRACE, CLAYTON SOUTH",-37.9382824,145.1377198,2.0,2.0,1,$405,Unit/apmt,October 2016,3169,2016,10,SOUTH,405,207011152
2068,"B109 / 60 AUTUMN TERRACE, CLAYTON SOUTH",-37.9382824,145.1377198,2.0,2.0,1,$405_per_week,Unit/apmt,September 2016,3169,2016,9,SOUTH,405,207011152
2069,"B109 / 60 AUTUMN TERRACE, CLAYTON SOUTH",-37.9382824,145.1377198,2.0,2.0,1,$405_pw,Unit/apmt,July 2016,3169,2016,7,SOUTH,405,207011152
2206,"2/55 MAIN ROAD, CLAYTON SOUTH",-37.937472,145.12717,3.0,2.0,2,$440,Unit,December 2016,3169,2016,12,SOUTH,440,206071141
2238,"UNIT 1/21 ROSEBANK AVENUE, CLAYTON SOUTH",-37.938946,145.13002,2.0,1.0,1,$330_Weekly,Unit,January 2016,3169,2016,1,SOUTH,330,204021065
2251,"UNIT 1/21 MERLYN AVENUE, CLAYTON SOUTH",-37.935608,145.117216,2.0,1.0,1,$290_Weekly,Unit,October 2016,3169,2016,10,SOUTH,290,202011021
2316,"5/30 MADELEINE ROAD, CLAYTON",-37.916743,145.120384,2.0,1.0,1,$330_p.w.,Unit/apmt,July 2016,3168,2016,7,CLAYTON,330,206061135
2317,"5/30 MADELEINE ROAD, CLAYTON",-37.916743,145.120384,2.0,1.0,1,$330_pw,Unit/apmt,July 2016,3168,2016,7,CLAYTON,330,204021065
2318,"5/30 MADELEINE ROAD, CLAYTON",-37.916743,145.120384,2.0,1.0,1,$330_Weekly,Unit/apmt,July 2016,3168,2016,7,CLAYTON,330,212051568
2319,"5/30 MADELEINE ROAD, CLAYTON",-37.916743,145.120384,2.0,1.0,1,$330,Unit/apmt,July 2016,3168,2016,7,CLAYTON,330,208021182
2375,"2/24 MYRIONG STREET, CLAYTON",-37.915892,145.125518,4.0,3.0,2,$560_per_week,Townhouse,February 2016,3168,2016,2,CLAYTON,560,201011001
2406,"5/42 EVELYN STREET, CLAYTON",-37.921181,145.131503,3.0,2.0,2,$430_p.w.,Townhouse,January 2016,3168,2016,1,CLAYTON,430,209021205
2407,"5/42 EVELYN STREET, CLAYTON",-37.921181,145.131503,3.0,2.0,2,$430_pw,Townhouse,January 2016,3168,2016,1,CLAYTON,430,209021205
2408,"5/42 EVELYN STREET, CLAYTON",-37.921181,145.131503,3.0,2.0,2,$430_Weekly,Townhouse,January 2016,3168,2016,1,CLAYTON,430,209021205
2409,"5/42 EVELYN STREET, CLAYTON",-37.921181,145.131503,3.0,2.0,2,$430,Townhouse,January 2016,3168,2016,1,CLAYTON,430,213051363
2471,"8/10-12 SEASCAPE STREET, CLAYTON",-37.9171566,145.1290743,3.0,1.0,2,$485_per_week,Townhouse,July 2016,3168,2016,7,CLAYTON,485,214011375
2490,"109/2-8 MURRAY STREET, CLAYTON",-37.918486,145.121732,1.0,1.0,1,$349,Unit/apmt,March 2016,3168,2016,3,CLAYTON,349,214021384
2493,"207/2-8 MURRAY STREET, CLAYTON",-37.918486,145.121732,2.0,1.0,1,$395,Unit/apmt,January 2016,3168,2016,1,CLAYTON,395,212021297
2506,"4/1452 NORTH ROAD, CLAYTON",-37.914125,145.1205265,2.0,1.0,1,$310_pw,Rental_residential,July 2016,3168,2016,7,CLAYTON,310,208031193
2546,"1/37 MARGARET STREET, CLAYTON",-37.916812,145.115443,4.0,3.0,2,$630,Townhouse,November 2016,3168,2016,11,CLAYTON,630,211031452
2609,"APARTMENT 10/4 MANATUNGA STREET, CLAYTON",-37.916239,145.125979,2.0,1.0,1,$310_Weekly,Unit,June 2016,3168,2016,6,CLAYTON,310,213031352
2633,"UNIT 2/91 MORIAH STREET, CLAYTON",-37.9251699,145.1296013,4.0,2.0,3,$600_Weekly,Unit,November 2016,3168,2016,11,CLAYTON,600,206021112
2681,"33 ALICE STREET, CLAYTON",-37.917622,145.115287,4.0,2.0,1,$420_Weekly,House,July 2016,3168,2016,7,CLAYTON,420,206021112
2695,"UNIT 1/47 JAGUAR DRIVE, CLAYTON",-37.926876,145.131638,3.0,1.0,2,$400_Weekly,Unit,November 2016,3168,2016,11,CLAYTON,400,206061135
2696,"UNIT 1/47 JAGUAR DRIVE, CLAYTON",-37.926876,145.131638,3.0,1.0,2,$410_Weekly,Unit,October 2016,3168,2016,10,CLAYTON,410,211031450
2697,"UNIT 1/47 JAGUAR DRIVE, CLAYTON",-37.926876,145.131638,3.0,1.0,2,$395_Weekly,Unit,January 2016,3168,2016,1,CLAYTON,395,211031450
2746,"UNIT 1/5-7 THOMAS STREET, CLAYTON",-37.926088,145.12026,2.0,1.0,1,$400_Weekly,Unit,October 2016,3168,2016,10,CLAYTON,400,213031348
2747,"UNIT 1/5-7 THOMAS STREET, CLAYTON",-37.926088,145.12026,2.0,1.0,1,$400_Weekly,Unit,September 2016,3168,2016,9,CLAYTON,400,213031348
2780,"UNIT 1/450 HAUGHTON ROAD, CLAYTON",-37.928723,145.125148,2.0,1.0,2,$390_Weekly,Unit,April 2016,3168,2016,4,CLAYTON,390,206021112
2798,"1/31 GLENBROOK AVENUE, CLAYTON",-37.909275,145.123752,3.0,1.0,2,$350_pw,House,July 2016,3168,2016,7,CLAYTON,350,206051130
2818,"UNIT 4/81 EVA STREET, CLAYTON",-37.926655,145.11265,2.0,1.0,1,$360_Weekly,Unit,January 2016,3168,2016,1,CLAYTON,360,201021009
2827,"UNIT 6/1927 DANDENONG ROAD, CLAYTON",-37.911756,145.123934,2.0,1.0,1,$330_Weekly,Unit,June 2016,3168,2016,6,CLAYTON,330,206061135
2960,"10 SHADY MEWS, CLAYTON",-37.922472,145.127818,3.0,1.0,1,$410_per_week,Townhouse,August 2016,3168,2016,8,CLAYTON,410,207021159
2977,"1/83 KIONGA STREET, CLAYTON",-37.929193,145.129986,5.0,2.0,1,$515_p.w.,Townhouse,June 2016,3168,2016,6,CLAYTON,515,207021159
2978,"1/83 KIONGA STREET, CLAYTON",-37.929193,145.129986,5.0,2.0,1,$515_pw,Townhouse,June 2016,3168,2016,6,CLAYTON,515,209031214
2979,"1/83 KIONGA STREET, CLAYTON",-37.929193,145.129986,5.0,2.0,1,$515_Weekly,Townhouse,June 2016,3168,2016,6,CLAYTON,515,209031212
2980,"1/83 KIONGA STREET, CLAYTON",-37.929193,145.129986,5.0,2.0,1,$515,Townhouse,June 2016,3168,2016,6,CLAYTON,515,212051568
2981,"1/83 KIONGA STREET, CLAYTON",-37.929193,145.129986,5.0,2.0,1,$540_p.w.,Townhouse,May 2016,3168,2016,5,CLAYTON,540,212051568
