,year,month,address,latitude,longitude,postcode,sa2_2021,sa2_2016,residence_type,nbed,nbath,ncar,min_distance_to_cbd,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
14870,2020,4,"493 PRINCES HIGHWAY, NARRE WARREN",-38.027162,145.308308,3805,212021456,212021456,House,3.0,1.0,2,44.25444,0.41539,1.47606,4.13155,1.25417,,,2.13973,360.0
14871,2020,8,"493 PRINCES HIGHWAY, NARRE WARREN",-38.027162,145.308308,3805,212021456,212021456,House,3.0,1.0,2,44.25444,0.41539,1.47606,4.13155,1.25417,,,2.13973,360.0
14872,2020,2,"495 CAMERONS ROAD, WOOLSTHORPE",-38.112802,142.386446,3276,217041477,217041477,House,4.0,1.0,0,276.51663,13.99947,10.43488,60.66638,50.39602,60.17877,59.84685,,320.0
14873,2020,2,"496D ARMSTRONG ROAD, WERRIBEE",-37.90814001,144.60567001,3030,213051468,213051468,House,3.0,2.0,2,41.89965,2.9157,3.5586,,18.15943,,,,360.0
14874,2020,3,"496D ARMSTRONG ROAD, WERRIBEE",-37.90814001,144.60567001,3030,213051468,213051468,House,3.0,2.0,2,41.89965,2.9157,3.5586,,18.15943,,,,320.0
14875,2020,3,"4970A MURRAY VALLEY HIGHWAY, CASTLE DONNINGTON",-35.4136848,143.5891844,3583,215031405,215031405,House,3.0,1.0,1,332.42719,7.07026,1.1544100000000002,,6.82874,92.38509,6.50578,,210.0
14876,2020,9,"499 CORINELLA ROAD, CORONET BAY",-38.4238001,145.44106001,3984,205031093,205031093,House,3.0,1.0,1,111.09847,3.64874,1.36639,32.19188,10.29086,34.36337,11.92591,,280.0
14877,2020,1,"49A FEWSTER ROAD, HAMPTON",-37.938123,145.016584,3188,208011172,208011172,House,3.0,2.0,1,17.68919,0.40393,1.2890899999999998,1.61368,2.20966,3.06076,,,600.0
14878,2020,3,"4A ABERDEEN ROAD, BLACKBURN SOUTH",-37.832467,145.139067,3130,207031162,207031162,House,4.0,3.0,2,22.79475,1.28687,0.58645,2.4706900000000003,,,,,780.0
14879,2020,2,"4A EILDON AVENUE, MANOR LAKES",-37.8793484002,144.6146458002,3024,213051590,213051369,House,3.0,2.0,1,37.10628,3.24375,3.03613,,,,,,390.0
14880,2020,4,"4A EILDON AVENUE, MANOR LAKES",-37.8793484002,144.6146458002,3024,213051590,213051369,House,3.0,2.0,1,37.10628,3.24375,3.03613,,,,,,380.0
14881,2020,3,"4A FERGUSON STREET, ASCOT VALE",-37.7749255,144.9121375,3032,206031113,206031113,House,2.0,2.0,1,7.37938,0.5076499999999999,0.25178,,1.05803,,,,590.0
14882,2020,7,"4A FERGUSON STREET, ASCOT VALE",-37.7749255,144.9121375,3032,206031113,206031113,House,2.0,2.0,1,7.37938,0.5076499999999999,0.25178,,1.05803,,,,590.0
14883,2020,9,"4A HILTON STREET, BEAUMARIS",-37.978976,145.025452,3193,208011168,208011168,House,4.0,2.0,2,21.72116,2.8718600000000003,1.56894,0.86618,,,1.38953,1.77174,1200.0
14884,2020,12,"4A PARK CRESCENT, SOUTH GEELONG",-38.1599549002,144.3520894002,3220,203021039,203021039,House,3.0,2.0,1,80.36751,0.0506,1.23746,1.58971,1.12141,2.12195,2.36263,,580.0
14885,2020,5,"4A/954 DANDENONG ROAD, CAULFIELD EAST",-37.880701,145.048793,3145,208021177,208021177,Apartment,1.0,1.0,1,14.22643,2.30547,2.8324000000000003,0.51314,0.96793,,,2.60071,215.0
14886,2020,7,"4B CANBERRA ROAD, TOORAK",-37.8367397,145.0102926,3142,206061138,206061138,House,4.0,2.0,2,7.37389,1.75974,0.64027,1.66357,1.9378,,,,800.0
14887,2020,12,"4B CROSS ROAD, BUNDALAGUAH",-38.0475539002,147.0309801002,3851,205051101,205051101,House,3.0,1.0,2,216.09316,3.89168,3.16413,11.67775,10.06468,11.32284,11.12113,,350.0
