facility,latitude,longitude,year,facility_type
NULLAWARRE AND DISTRICT PRIMARY SCHOOL,-38.4667599902411,142.734429984004,2017,<class 'type'>,primary_school
OUR HOLY REDEEMER SCHOOL,-37.8203199878526,145.100089966163,2017,<class 'type'>,primary_school
OUR LADY HELP OF CHRISTIANS SCHOOL,-36.6226799816457,142.473650021943,2017,<class 'type'>,primary_school
OUR LADY OF LOURDES SCHOOL,-37.8524599948231,145.009459993394,2017,<class 'type'>,primary_school
OUR LADY OF THE PINES SCHOOL,-37.7744399888943,145.177210003827,2017,<class 'type'>,primary_school
OUR LADY OF VICTORIES SCHOOL,-37.8340899889731,145.057009980136,2017,<class 'type'>,primary_school
PENBANK SCHOOL,-38.2475399970142,145.093209977309,2017,<class 'type'>,primary_school
RANGEBANK PRIMARY SCHOOL,-38.0873599947064,145.276220002951,2017,<class 'type'>,primary_school
REDESDALE MIA MIA PRIMARY SCHOOL,-37.019519995293,144.530889994898,2017,<class 'type'>,primary_school
SCHOOL OF THE GOOD SHEPHERD,-37.6930300016388,144.88945996448,2017,<class 'type'>,primary_school
ST FRANCIS DE SALES SCHOOL,-37.7188500029528,144.921079995224,2017,<class 'type'>,primary_school
ST JAMES SCHOOL,-37.8367499955319,145.209689974337,2017,<class 'type'>,primary_school
ST JOSEPH THE WORKER SCHOOL,-37.7022200027576,144.992920010598,2017,<class 'type'>,primary_school
ST LIBORIUS SCHOOL,-36.7234800033709,144.25729001115,2017,<class 'type'>,primary_school
ST MARTIN OF TOURS SCHOOL,-37.7351799987325,145.076979970474,2017,<class 'type'>,primary_school
ST PAUL APOSTLE SOUTH SCHOOL,-37.9805199977734,145.257929967035,2017,<class 'type'>,primary_school
ST PIUS X SCHOOL,-37.7469200006955,145.046289971506,2017,<class 'type'>,primary_school
SUNSHINE CHRISTIAN SCHOOL,-37.7684000014654,144.835859987646,2017,<class 'type'>,primary_school
TRINITY CATHOLIC PRIMARY SCHOOL,-38.0553899970262,145.297989989706,2017,<class 'type'>,primary_school
WAAIA YALCA SOUTH PRIMARY SCHOOL,-36.0514700504725,145.328619978194,2017,<class 'type'>,primary_school
WOORAGEE PRIMARY SCHOOL,-36.2904799978884,146.730880015402,2017,<class 'type'>,primary_school
MARY IMMACULATE SCHOOL,-37.7719400003338,145.038759970084,2017,<class 'type'>,primary_school
CROYDON COMMUNITY SCHOOL - DONVALE PRIMARY CAMPUS,-37.8003299898143,145.173729999584,2017,<class 'type'>,primary_school
MOMENTUM MONTESSORI,-38.373629997051,144.907359985261,2017,<class 'type'>,primary_school
QUANTIN BINNAH/ CORPUS CHRISTI PS,-37.909389996753,144.664179984394,2017,<class 'type'>,primary_school
ST MARYS SCHOOL,-34.5846899814146,142.778509974777,2017,<class 'type'>,primary_school
HAMPTON PARK PRIMARY SCHOOL,-38.0304099967312,145.252889988372,2017,<class 'type'>,primary_school
MOE PRIMARY SCHOOL,-38.1897299998525,146.246719970402,2017,<class 'type'>,primary_school
KNOX CENTRAL PRIMARY SCHOOL,-37.8611599958289,145.254979980778,2017,<class 'type'>,primary_school
WALLAROO PRIMARY SCHOOL,-38.2978899968164,145.172749995677,2017,<class 'type'>,primary_school
Boisdale Primary School,-37.879579991943,146.979480000578,2017,<class 'type'>,primary_school
The Geelong College Junior School Campus,-38.1463799978802,144.328120001202,2017,<class 'type'>,primary_school
WYNDHAM VALE PRIMARY SCHOOL,-37.8955599960105,144.609609983394,2017,<class 'type'>,primary_school
ARNOLDS CREEK PRIMARY SCHOOL,-37.6663599961359,144.542860001287,2017,<class 'type'>,primary_school
MOUNT WAVERLEY HEIGHTS PRIMARY SCHOOL,-37.8889999950883,145.111839972591,2017,<class 'type'>,primary_school
BARTON PRIMARY SCHOOL,-38.1149799982888,145.239019976392,2017,<class 'type'>,primary_school
TULLIALLAN PRIMARY SCHOOL,-38.0815999952364,145.327339971645,2017,<class 'type'>,primary_school
JOHN HENRY PRIMARY SCHOOL,-38.0769699982622,145.442259970058,2017,<class 'type'>,primary_school
HARVEST HOME PRIMARY SCHOOL,-37.6220800008985,145.00225997267,2017,<class 'type'>,primary_school
MERNDA PARK PRIMARY SCHOOL,-37.6140300003524,145.096939963232,2017,<class 'type'>,primary_school
WILANDRA RISE PRIMARY SCHOOL,-38.1089299968791,145.319809998907,2017,<class 'type'>,primary_school
NEWBURY PRIMARY SCHOOL,-37.5709900012468,144.909549981151,2017,<class 'type'>,primary_school
MORWELL CENTRAL PRIMARY SCHOOL,-38.2316699990095,146.407639986286,2017,<class 'type'>,primary_school
