bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price
2.0,2.0,1.0,,909/565 Flinders Street Melbourne VIC 3000,-37.8210586,144.9559072,$550
2.0,2.0,1.0,,1305/151 Berkeley Street Melbourne VIC 3000,-37.8022049,144.9582151,$700 per week
2.0,2.0,1.0,,1419/555 St Kilda Road Melbourne VIC 3000,-37.8470517,144.9806745,$650 per week
2.0,2.0,,,2807/568 Collins Street Melbourne VIC 3000,-37.8183759,144.9554361,$550/week
2.0,2.0,,,2205/462 Elizabeth Street Melbourne VIC 3000,-37.807859,144.960611,$650/week
2.0,2.0,,,1110/371 Little Lonsdale Street Melbourne VIC 3000,-37.8117708,144.9609302,$650 per week
2.0,2.0,1.0,,1003/29 Market Street Melbourne VIC 3000,-37.8186838,144.9604134,$800 per week
2.0,2.0,,,202/560 Lonsdale Street Melbourne VIC 3000,-37.8140313,144.9556025,$650.00
2.0,2.0,,,1612/560 Lonsdale Street Melbourne VIC 3000,-37.8140313,144.9556025,$660.00
3.0,2.0,2.0,,241/299 Queen Street Melbourne VIC 3000,-37.8114751,144.9586205,"$2,500 PW -TWO LEVELS"
2.0,2.0,2.0,,702/582 St Kilda Road Melbourne VIC 3000,-37.8493082,144.9794216,$750 PER WEEK
2.0,2.0,,,2503/568 Collins Street Melbourne VIC 3000,-37.8183759,144.9554361,$550/week
2.0,2.0,1.0,,1316/555-557 St Kilda Road Melbourne VIC 3000,-37.8470517,144.9806745,$560 pw
2.0,2.0,,,3712/134-160 Spencer Street Melbourne VIC 3000,-37.8174166,144.9536383,$750 per week
3.0,2.0,4.0,,4203/35 Spring Street Melbourne VIC 3000,-37.8141725,144.9740049,$4500 Per Week
2.0,2.0,,,4916/228 La Trobe Street Melbourne VIC 3000,-37.8097514,144.9626141,$900/W Furnished
2.0,2.0,,,3817/228 La Trobe Street Melbourne VIC 3000,-37.8097688,144.9624585,$900/W Unfurnished
2.0,2.0,,,6016/228 La Trobe Street Melbourne VIC 3000,-37.8097612,144.962455,$900/w Furnished
2.0,2.0,,,7305/228 La Trobe Street Melbourne VIC 3000,-37.8097514,144.9626141,$900/W Unfurnished
2.0,2.0,,,1101/8 Exploration Lane Melbourne VIC 3000,-37.8091129,144.9684545,$510 per week
2.0,2.0,,,1502/157 A'Beckett Street Melbourne VIC 3000,-37.8099156,144.9591846,$800/W Furnished
2.0,2.0,1.0,,1608/265 Exhibition Street Melbourne VIC 3000,-37.8095971,144.9692227,$600 per week
2.0,2.0,,,4416/228 La Trobe Street Melbourne VIC 3000,-37.8097514,144.9626141,$685 Per Week
2.0,2.0,,,325 Collins Street Melbourne VIC 3000,-37.8166442,144.9635498,$1200 pw Furnished
4.0,3.0,,,4/15-19 Anthony Street Melbourne VIC 3000,-37.809144,144.958903,"$1,500 per week"
2.0,2.0,1.0,70.0,3811/639 Lonsdale Street Melbourne VIC 3000,-37.8148924,144.9536021,"$1,400"
2.0,2.0,,,812/29-31 Market Street Melbourne VIC 3000,-37.818629,144.9604091,$530pw
3.0,2.0,1.0,,504/38 Rose Lane Melbourne VIC 3000,-37.8148892,144.9542038,"$1,099"
3.0,2.0,,,24/300 King St Melbourne VIC 3000,-37.8131524,144.9547736,"$1,099"
2.0,2.0,,,8303/228 La Trobe Street Melbourne VIC 3000,-37.8097688,144.9624585,$900/W Furnished
2.0,2.0,,,3815/228 La Trobe Street Melbourne VIC 3000,-37.8097688,144.9624585,$880/W Furnished
2.0,2.0,,,803/199 William Street Melbourne VIC 3000,-37.8145838,144.9572687,$575 per week
2.0,2.0,1.0,,204/280 Albert Street East Melbourne VIC 3002,-37.8097936,144.9817503,Spectacular apartment at The Eastbourne
3.0,2.0,2.0,,38/400 Victoria Parade East Melbourne VIC 3002,-37.8095627,144.9848541,$770 per week
3.0,2.0,1.0,,7/126 Wellington Parade East Melbourne VIC 3002,-37.8162107,144.9859245,$1800 per week
2.0,2.0,1.0,,508/1 Powlett Street East Melbourne VIC 3002,-37.8161275,144.984988,$700 per week
2.0,2.0,2.0,,2/8 Wellington Crescent East Melbourne VIC 3002,-37.8172238,144.9776702,$750 per week
3.0,2.0,1.0,,506 Victoria Parade East Melbourne VIC 3002,-37.809935,144.988228,$790 per week
3.0,2.0,2.0,,26/211 Wellington Parade South East Melbourne VIC 3002,-37.8164312,144.977452,$750
2.0,2.0,1.0,,304/280 Albert Street East Melbourne VIC 3002,-37.8097936,144.9817503,Your luxurious lifestyle awaits | $950 per week
3.0,2.0,2.0,,1302/1 Powlett Street East Melbourne VIC 3002,-37.8161275,144.984988,"$1,800.00 Per Week"
3.0,2.0,2.0,,9/8 Wellington Crescent East Melbourne VIC 3002,-37.8172238,144.9776702,$780 per week
