NIRRANDA EAST PRIMARY SCHOOL,2311617.989157712,2333558.8173091067
NIRRANDA SOUTH PRIMARY SCHOOL,2308197.2304614056,2327310.184751005
NOORAT PRIMARY SCHOOL,2318551.124315658,2365876.656858407
MURRAYVILLE PRIMARY SCHOOL,2152525.0920320796,2685781.748836292
MURRABIT GROUP SCHOOL,2404821.3806788577,2662714.2968484536
CHOCOLYN PRIMARY SCHOOL,2341627.075224978,2365891.642395882
CLISSOLD PRIMARY SCHOOL,2363175.92744237,2349032.77296691
CLUNES PRIMARY SCHOOL,2392913.1040914706,2467057.8584842626
COBRICO PRIMARY SCHOOL,2326368.416261134,2354114.6608467987
MARNOO PRIMARY SCHOOL,2309678.8066837853,2533727.346620247
MAROONA PRIMARY SCHOOL,2310504.0758548556,2449842.5068825018
MAGPIE PRIMARY SCHOOL,2397885.835403741,2431055.0840588976
CODRINGTON PRIMARY SCHOOL,2233282.3709896393,2355323.780933991
FISH CREEK AND DISTRICT PRIMARY SCHOOL,2594366.657031754,2311357.2713977657
FITZROY COMMUNITY SCHOOL,2498221.69809086,2412424.275872452
MALDON PRIMARY SCHOOL,2416854.728765845,2500142.413194295
MALLACOOTA PRIMARY SCHOOL,2920080.6736983038,2427623.890468495
MALVERN EAST CENTRAL SCHOOL,2505022.868186244,2403222.049959367
MALVERN PRIMARY SCHOOL,2503383.791157239,2403276.148190893
MANCHESTER PRIMARY SCHOOL,2527169.3630377958,2414256.115774161
MANDAMA PRIMARY SCHOOL,2441123.583954516,2366571.558196471
MANDURANG PRIMARY SCHOOL,2437472.185128388,2519235.397572087
MANIFOLD HEIGHTS PRIMARY SCHOOL,2441514.955030673,2373726.595930429
MANNINGHAM PRIMARY SCHOOL,2509262.745541508,2414409.3234884143
MARALINGA PRIMARY SCHOOL,2515853.5904890657,2389852.7403795104
CHANDLER PARK PRIMARY SCHOOL,2515853.5904890657,2389852.7403795104
MARDAN SOUTH PRIMARY SCHOOL,2595258.9199218047,2335209.722644207
MUSKERRY EAST PRIMARY SCHOOL,2465926.6820539334,2535825.7019332834
