,sec_school,longitude,latitude,postcode,suburb
95,MINARET COLLEGE - OFFICER CAMPUS,145.411009996143,-38.0536499959225,3809,OFFICER
96,The Geelong College - The Geelong College Preparatory School,144.325519996864,-38.1444599976974,3220,NEWTOWN
97,HEATHERTON CHRISTIAN COLLEGE,145.111369988108,-37.9578299954818,3169,CLARINDA
98,HENDERSON COLLEGE,142.159270055899,-34.2225900281772,3500,MILDURA
99,CAMBERWELL GIRLS GRAMMAR SCHOOL,145.060999997398,-37.8161999881364,3126,CANTERBURY
100,WILSON PARK SECONDARY COLLEGE,144.568689987378,-37.7083699991187,3338,MELTON SOUTH
101,MELTON TECHNICAL SCHOOL,144.568689987378,-37.7083699991187,3338,MELTON SOUTH
102,FOREST HILL COLLEGE,145.16372998802,-37.8485199884214,3151,BURWOOD EAST
103,ROWVILLE SECONDARY COLLEGE,145.237089977946,-37.9238899959741,3178,ROWVILLE
104,GREENSBOROUGH SECONDARY COLLEGE,145.091249975919,-37.7084900005489,3088,GREENSBOROUGH
105,MILL PARK SECONDARY COLLEGE,145.063409986557,-37.6641600013573,3082,MILL PARK
106,BRUNSWICK SECONDARY COLLEGE,144.955009966714,-37.7709000005915,3056,BRUNSWICK
107,LYNALL HALL COMMUNITY SCHOOL - THE ISLAND CAMPUS,144.976499988233,-37.741000002875,3058,COBURG
108,OZFORD COLLEGE,144.954429984259,-37.8128899968124,3004,MELBOURNE
109,CASTLEMAINE SECONDARY COLLEGE - YAPEEN CAMPUS,144.188319990425,-37.1318499994442,3451,YAPEEN
110,MELBOURNE GRAMMAR SCHOOL - SENIOR CAMPUS,144.977089971074,-37.8335899964897,3004,MELBOURNE
111,MELBOURNE GRAMMAR SCHOOL - WADHURST CAMPUS,144.973979970654,-37.8332299962747,3004,MELBOURNE
112,SIMONDS CATHOLIC COLLEGE - SIMONDS CATHOLIC COLLEGE ST BRIGIDS VCE CAMPUS,144.976489983714,-37.7918599981899,3068,FITZROY NORTH
113,SAINT IGNATIUS COLLEGE GEELONG,144.557899991159,-38.1886999963579,3222,DRYSDALE
114,SIMONDS CATHOLIC COLLEGE,144.952889977279,-37.8059599966642,3003,WEST MELBOURNE
115,CATHOLIC COLLEGE BENDIGO,144.273370019433,-36.7534300006129,3550,BENDIGO
116,PADUA COLLEGE - PADUA COLLEGE MORNINGTON CAMPUS,145.071999973289,-38.2182599953741,3931,MORNINGTON
117,ST MONICAS COLLEGE,145.031410009055,-37.6551800011032,3076,EPPING
118,CAROLINE CHISHOLM CATHOLIC COLLEGE,144.850099968295,-37.7858600015399,3019,BRAYBROOK
119,LAVALLA CATHOLIC COLLEGE,146.514249991342,-38.2008799997589,3844,TRARALGON
120,ST PETERS COLLEGE - ST PETERS COLLEGE CRANBOURNE EAST CAMPUS,145.319469994383,-38.1141499968875,3978,CLYDE NORTH
121,HALLAM SENIOR SECONDARY COLLEGE - HALLAM SENIOR COLLEGE / MISSION AUSTRALIA ANNEX,145.238569972209,-37.9823499984388,3177,DOVETON
122,SURF COAST SECONDARY COLLEGE,144.312309996473,-38.3217500729115,3228,TORQUAY
123,LAKEVIEW SENIOR COLLEGE,144.73706998429,-37.7356500035817,3023,CAROLINE SPRINGS
124,CROYDON MAROONDAH COLLEGE (INTERIM NAME) - CROYDON CAMPUS,145.282329983988,-37.7892699962861,3136,CROYDON
125,CROYDON MAROONDAH COLLEGE (INTERIM NAME) - MAROONDAH CAMPUS,145.261199987001,-37.7951199978515,3136,CROYDON
126,BORONIA K-12 COLLEGE - MOUNT VIEW CAMPUS,145.302439972706,-37.8596399961248,3155,BORONIA
127,CATHEDRAL COLLEGE WANGARATTA - THE CLOSE CAMPUS,146.321299975542,-36.3559199857295,3677,WANGARATTA
128,SACRED HEART COLLEGE - SACRED HEART COLLEGE SENIOR CAMPUS,146.009209932807,-36.0086599986276,3730,YARRAWONGA
129,THE ALPINE SCHOOL - DINNER PLAIN CAMPUS,147.245930021388,-37.0232800040559,3898,DINNER PLAIN
130,THE ALPINE SCHOOL - SNOWY RIVER CAMPUS,148.628639988065,-37.799379991205,3888,MARLO
131,THE ALPINE SCHOOL - GNURAD GUNDIDJ CAMPUS,142.953580011428,-38.1584099934551,3265,GLENORMISTON SOUTH
132,GREENSBOROUGH SECONDARY COLLEGE - BARJARG LODGE,145.976640013417,-36.9151000071149,3723,BARJARG
133,NORTHCOTE HIGH SCHOOL - BOHO SOUTH CAMP,145.783120017777,-36.7704399992458,3669,BOHO SOUTH
134,WESTALL SECONDARY COLLEGE - CAMP BALOOK,146.563979988193,-38.4120000007838,3844,MOUNT TASSIE
135,BRAUER SECONDARY COLLEGE - DUNKELD ANNEXE,142.345440012672,-37.6130600013668,3294,DUNKELD
136,MOUNT WAVERLEY SECONDARY COLLEGE - LOWER HOMEBUSH,143.52723999186,-37.0302299956471,3465,HOMEBUSH
137,MELBOURNE HIGH SCHOOL - MILLGROVE OUTDOOR EDUCATION CENTRE,145.643829955099,-37.7481199974773,3799,MILLGROVE
138,PRINCES HILL SECONDARY COLLEGE - MIRRIMBAH COUNTRY CENTRE,146.365769977392,-37.1076200068473,3723,SAWMILL SETTLEMENT
139,BELMONT HIGH SCHOOL - TANYBRYN CAMP,143.707719973718,-38.6569299919639,3249,TANYBRYN
140,GENAZZANO FCJ COLLEGE - ALL HALLOWS CAMPUS,145.086949986384,-37.8117299888942,3103,BALWYN
141,CORRYONG COLLEGE,147.910760010677,-36.192929990155,3707,CORRYONG
142,BALLARAT CHRISTIAN COLLEGE,143.843809994912,-37.5929100001157,3356,SEBASTOPOL
143,OAKLEIGH GREEK ORTHODOX COLLEGE OSHC -EXTEND,145.082879983827,-37.8963199931382,3166,HUGHESDALE
144,RICHMOND GIRLS SECONDARY COLLEGE,145.014329994812,-37.8225099979714,3121,RICHMOND
145,Sunshine West Secondary College,144.813889965808,-37.7930400001289,3020,SUNSHINE WEST
146,SAINT KILDA ALTERNATIVE HIGH SCHOOL,144.981259970674,-37.8581799939274,3182,ST KILDA
147,SPRINGVALE SECONDARY COLLEGE,145.1559799873,-37.9490099975078,3171,SPRINGVALE
148,ORBOST HIGH SCHOOL,148.466349995085,-37.7041099931486,3888,ORBOST
149,MARIAN COLLEGE,144.806129975727,-37.7877300005705,3020,SUNSHINE WEST
150,ELTHAM COLLEGE - CITY CAMPUS,144.955869982535,-37.8172599969378,3000,MELBOURNE
151,SANDRINGHAM COLLEGE - BEAUMARIS YEAR 7-10 CAMPUS,145.032939979618,-37.9776799922083,3193,BEAUMARIS
152,HUME CENTRAL SECONDARY COLLEGE - BLAIR STREET CAMPUS,144.928719985164,-37.6794000022285,3047,BROADMEADOWS
153,CAULFIELD GRAMMAR SCHOOL - MAIN CAMPUS,145.004889991471,-37.8773799916643,3183,ST KILDA EAST
154,KURNAI COLLEGE - CHURCHILL CAMPUS,146.426709966726,-38.3087900009033,3842,CHURCHILL
155,BELLARINE SECONDARY COLLEGE - DRYSDALE CAMPUS,144.557529992014,-38.1906599963452,3222,DRYSDALE
156,WOODMANS HILL SECONDARY COLLEGE,143.892280002926,-37.5591200010009,3350,BALLARAT EAST
157,WANGARATTA HIGH SCHOOL - EDWARDS STREET CAMPUS,146.307729972998,-36.3448899866564,3677,WANGARATTA
158,PENOLA CATHOLIC COLLEGE - GLENROY CAMPUS,144.907919995505,-37.7095600029983,3046,GLENROY
159,COLAC SECONDARY COLLEGE,143.590099993977,-38.3514999907141,3250,COLAC
160,Castlemaine High School,144.22750002004,-37.0505400004888,3450,CASTLEMAINE
161,COPPERFIELD COLLEGE - KINGS PARK JUNIOR CAMPUS,144.770749978896,-37.7315100028291,3021,KINGS PARK
162,CHRISTIAN BROTHERS COLLEGE,144.997010003807,-37.8593499970128,3183,ST KILDA EAST
163,WESTERN HEIGHTS SECONDARY COLLEGE - VINES ROAD CAMPUS,144.32896997953,-38.1228799967922,3215,HAMLYN HEIGHTS
164,COBURG HIGH SCHOOL,144.974999988663,-37.7394300027626,3058,COBURG
165,YUILLE PARK P-8 COMMUNITY COLLEGE,143.820560019509,-37.52749999823,3355,WENDOUREE
166,CROYDON SECONDARY COLLEGE,145.282319983989,-37.7892799962854,3136,CROYDON
167,NOBLE PARK SECONDARY COLLEGE,145.182369981358,-37.9702099954651,3174,NOBLE PARK
168,CHRISTADELPHIAN HERITAGE COLLEGE MELBOURNE,145.322249969286,-37.8594699975061,3154,THE BASIN
169,HAILEYBURY COLLEGE - BRIGHTON CAMPUS,145.006979991314,-37.9304499921358,3188,HAMPTON
170,HAILEYBURY GIRLS COLLEGE - BERWICK CAMPUS,145.363909979502,-38.0435799965588,3806,BERWICK
171,LYNDALE HIGH SCHOOL,145.206709968378,-37.9587699970812,3175,DANDENONG NORTH
172,DE LA SALLE COLLEGE,145.032189991875,-37.8576599934144,3144,MALVERN
173,BROOKSIDE P-9 COLLEGE,144.736539982236,-37.7463700016125,3023,CAROLINE SPRINGS
174,CORNISH COLLEGE,145.1487699785,-38.0491799946282,3175,BANGHOLME
175,CRANBOURNE HIGH SCHOOL,145.271029977194,-38.0753899962712,3977,CRANBOURNE NORTH
176,CORIO NORTH HIGH SCHOOL,144.363339958669,-38.0641499926949,3214,CORIO
177,BENDIGO SOUTH EAST 7-10 SECONDARY COLLEGE,144.297589983112,-36.7757900003415,3550,FLORA HILL
178,KNOX SECONDARY COLLEGE,145.258479978685,-37.8565099970435,3153,BAYSWATER
179,KURNAI COLLEGE CHURCHILL CAMPUS,146.425699967844,-38.3092900008314,3842,CHURCHILL
180,CLEELAND SECONDARY COLLEGE,145.214309973996,-37.9773499967234,3175,DANDENONG
181,FERNTREE GULLY SECONDARY COLLEGE,145.285139983438,-37.880129998046,3156,FERNTREE GULLY
182,MELTON SECONDARY COLLEGE,144.568219966272,-37.6817499949222,3337,MELTON WEST
183,TEMPLESTOWE HIGH SCHOOL,145.106260014466,-37.7712399969732,3107,TEMPLESTOWE LOWER
184,MELBOURNE COLLEGE OF TEXTILES,144.936809982771,-37.7348500021251,3044,PASCOE VALE SOUTH
185,TRAFALGAR SECONDARY COLLEGE,146.158299983939,-38.2145699985137,3824,TRAFALGAR
186,MOE HIGH SCHOOL,146.249309974887,-38.1817899999939,3825,MOE
187,WILLIAMSTOWN NORTH SECONDARY COLLEGE,144.886389987192,-37.8580400004533,3016,WILLIAMSTOWN
188,CAULFIELD PARK COMMUNITY SCHOOL,145.034169965748,-37.8739799906514,3161,CAULFIELD NORTH
189,BENDIGO SENIOR SECONDARY COLLEGE - NETSCHOOL CAMPUS,144.280520007644,-36.7592700021182,3550,BENDIGO
190,ANTONINE COLLEGE - ST JOSEPH CAMPUS,144.94273998906,-37.7411800035691,3044,PASCOE VALE SOUTH
191,ST PETERS COLLEGE - ST PETERS COLLEGE WEST CAMPUS,145.256869983996,-38.1083999984892,3977,CRANBOURNE WEST
192,SACRED HEART COLLEGE,146.009199932809,-36.0086599986268,3730,YARRAWONGA
193,MCCLELLAND SECONDARY COLLEGE - CAMP MAHAIKAH,146.279299977895,-36.9244000102909,3723,TOLMIE
194,WILLIAM RUTHVEN SECONDARY COLLEGE - MERRILANDS ROAD CAMPUS,145.002770001497,-37.6966700013977,3073,RESERVOIR
195,ALEXANDRA HIGH SCHOOL,145.701479978343,-37.1944899981061,3714,ALEXANDRA
196,ALTONA SECONDARY COLLEGE,144.8173699878,-37.8617899937903,3018,ALTONA
197,HURSTBRIDGE HIGH SCHOOL,145.187639986668,-37.6409600007856,3099,HURSTBRIDGE
198,BENDIGO COLLEGE OF ADVANCED EDUCATION,144.300699980208,-36.7795699995694,3550,FLORA HILL
199,BENDIGO EAST PRIMARY SCHOOL,144.29797999578,-36.7389300021336,3550,WHITE HILLS
200,BROADFORD SECONDARY COLLEGE,145.040029971231,-37.2043700058715,3658,BROADFORD
201,NEWBOROUGH SECONDARY COLLEGE,146.283200013327,-38.1787399964723,3825,NEWBOROUGH
202,DANDENONG VALLEY SECONDARY COLLEGE,145.214309973996,-37.9773499967234,3175,DANDENONG
203,CHRISTIAN COLLEGE HIGHTON - MAIN CAMPUS,144.313079984761,-38.1852300101292,3216,HIGHTON
204,CAREY BAPTIST GRAMMAR SCHOOL - KEW CAMPUS,145.047820011842,-37.8147699872217,3101,KEW
205,MELBOURNE GIRLS GRAMMAR - MERTON HALL CAMPUS,144.984809969941,-37.8316799970061,3004,MELBOURNE
206,GEELONG GRAMMAR SCHOOL - MAIN CAMPUS,144.399079969893,-38.0687999950813,3214,CORIO
207,BALLARAT CLARENDON COLLEGE - MAIN CAMPUS,143.833659980016,-37.5596400012631,3350,NEWINGTON
208,FLINDERS CHRISTIAN COMMUNITY COLLEGE - CARRUM DOWNS CAMPUS,145.180899967374,-38.1168799972685,3201,CARRUM DOWNS
209,BUCKLEY PARK SECONDARY COLLEGE,144.897759991209,-37.7471200015396,3040,ESSENDON
210,KINGS PARK SECONDARY COLLEGE KAMBALDA JUNIOR CAMPUS,144.769869978988,-37.7320700027731,3021,KINGS PARK
211,BRUNSWICK HIGH SCHOOL,144.956529978896,-37.7667900016698,3056,BRUNSWICK
212,BORONIA HIGH SCHOOL,145.280139976801,-37.8576299975581,3155,BORONIA
213,TOTTENHAM TECHNICAL SCHOOL,144.855139983931,-37.7904000009102,3019,BRAYBROOK
214,AUBURN HIGH SCHOOL,145.045069992578,-37.8398799911886,3123,HAWTHORN EAST
215,BALLAM PARK TECHNICAL SCHOOL,145.161529965639,-38.1451299951017,3199,FRANKSTON
216,PRAHRAN COLLEGE OF TECHNOLOGY,144.99263997436,-37.8520699966685,3181,WINDSOR
217,FIRBANK GRAMMAR SCHOOL,145.016239980636,-37.9584699919438,3191,SANDRINGHAM
218,FIRBANK GRAMMAR SCHOOL,144.997299999477,-37.9077799913324,3186,BRIGHTON
219,SHEPPARTON CHRISTIAN COLLEGE LTD,145.415979993751,-36.3538499925395,3630,SHEPPARTON
220,VICTORY LUTHERAN COLLEGE,146.847620041656,-36.1159899645916,3690,WEST WODONGA
221,TOORAK COLLEGE,145.093469974596,-38.1722499975698,3930,MOUNT ELIZA
222,MARYBOROUGH EDUCATION CENTRE - BALACLAVA ROAD CAMPUS,143.722869977467,-37.0421499990099,3465,MARYBOROUGH
223,BOORT SECONDARY COLLEGE,143.724310014297,-36.1151299952272,3537,BOORT
224,BOORT HIGH SCHOOL,143.724310014297,-36.1151299952272,3537,BOORT
225,BRAUER SECONDARY COLLEGE,142.458919940767,-38.3587099884405,3280,WARRNAMBOOL
226,WARRNAMBOOL TECHNICAL SCHOOL,142.458919940767,-38.3587099884405,3280,WARRNAMBOOL
227,STRATHMORE SECONDARY COLLEGE,144.926639988305,-37.7369500024444,3041,STRATHMORE
228,STRATHMORE HIGH SCHOOL,144.926639988305,-37.7369500024444,3041,STRATHMORE
229,COBURG NORTH SECONDARY COLLEGE,144.952089995246,-37.7337400041614,3058,COBURG
230,POINT COOK SENIOR SECONDARY COLLEGE,144.732819981849,-37.8867199972303,3030,POINT COOK
231,NOSSAL HIGH SCHOOL,145.336559963849,-38.0384999966144,3806,BERWICK
232,BARBARA TOLSON CENTRE  MELBOURNE GIRLS GRAMMAR,144.98585997085,-37.8308399970728,3141,SOUTH YARRA
233,HIGHVALE SECONDARY COLLEGE,145.176819986887,-37.865409992432,3150,GLEN WAVERLEY
234,YALLOURN SECONDARY COLLEGE,146.305979981172,-38.1717900031104,3825,NEWBOROUGH
235,YALLOURN HIGH SCHOOL,146.305979981172,-38.1717900031104,3825,NEWBOROUGH
236,MILDURA SENIOR COLLEGE,142.145390018045,-34.1980000322296,3500,MILDURA
237,Wanganui Park Secondary College,145.391899989357,-36.3570299938721,3630,SHEPPARTON
238,MONASH SECONDARY COLLEGE,145.145979959357,-37.9098499965742,3168,NOTTING HILL
239,MONBULK COLLEGE,145.427809979319,-37.8831699980465,3793,MONBULK
240,SCORESBY HIGH SCHOOL,145.236199981001,-37.8886399966939,3179,SCORESBY
241,THORNBURY DAREBIN SECONDARY COLLEGE,145.025209958113,-37.7565000013079,3071,THORNBURY
242,TIMBER TOP,146.304309988558,-37.1262400054224,3723,MERRIJIG
243,KURNAI COLLEGE MARYVALE CAMPUS,146.427639966704,-38.2240099974481,3840,MORWELL
244,WESTERN HEIGHTS SECONDARY COLLEGE,144.328059976582,-38.1239099967387,3215,HAMLYN HEIGHTS
245,WERRIBEE SECONDARY COLLEGE,144.66873997801,-37.9055399950353,3030,WERRIBEE
246,WERRIBEE HIGH SCHOOL,144.66873997801,-37.9055399950353,3030,WERRIBEE
247,WESTALL HIGH SCHOOL,145.13657997264,-37.9403099981133,3169,CLAYTON SOUTH
248,SAINT ARNAUD SECONDARY COLLEGE,143.250940027705,-36.6095500189203,3478,SAINT ARNAUD
249,MELBOURNE COLLEGE OF DECORATION,144.954029984357,-37.8126299967834,3000,MELBOURNE
250,PASCOE VALE GIRLS HIGH SCHOOL,144.935499991868,-37.7175600019283,3044,PASCOE VALE
251,PEMBROKE SECONDARY COLLEGE,145.324589975498,-37.7998500002992,3137,KILSYTH
252,NAYOOK SECONDARY SCHOOL,145.949869949326,-37.9220699985223,3832,NAYOOK
253,TARNEIT P-9 COLLEGE,144.679999969648,-37.8344299973524,3029,TARNEIT
254,PARKVILLE COLLEGE - MALMSBURY CAMPUS,144.395559997518,-37.1872099993795,3446,MALMSBURY
255,RINGWOOD SECONDARY COLLEGE - BINDAREE CAMP,145.731530019721,-38.3363599973747,3988,POOWONG
256,ALIA COLLEGE,145.045170001195,-37.8432299912162,3123,HAWTHORN EAST
257,AVILA COLLEGE,145.133250000441,-37.874669988477,3149,MOUNT WAVERLEY
258,RESERVOIR DISTRICT SECONDARY COLLEGE PRESTON EAST CAMPUS,145.035279984772,-37.7344300018619,3072,PRESTON
259,PRESTON EAST HIGH SCHOOL,145.035279984772,-37.7344300018619,3072,PRESTON
260,MELBOURNE GIRLS COLLEGE,145.014329994812,-37.8225099979714,3121,RICHMOND
261,PARKVILLE COLLEGE - PARKVILLE CAMPUS,144.944169957909,-37.7772099978905,3052,PARKVILLE
