,pri_school,longitude,latitude,postcode,suburb
34,CAMBRIDGE PRIMARY SCHOOL,144.675699980875,-37.8673899962672,3029,HOPPERS CROSSING
35,CHRIST CHURCH GRAMMAR SCHOOL,144.985739965988,-37.8389499971148,3141,SOUTH YARRA
36,CLAIRVAUX CATHOLIC SCHOOL,144.324899975642,-38.1855200069078,3216,BELMONT
37,COURTENAY GARDENS PRIMARY SCHOOL,145.283449996493,-38.0801199951653,3977,CRANBOURNE NORTH
38,CROYDON PRIMARY SCHOOL,145.281319983732,-37.79316999724,3136,CROYDON
39,DINJERRA PRIMARY SCHOOL,144.856119988621,-37.7916900009848,3019,BRAYBROOK
40,EMMAUS CATHOLIC PRIMARY SCHOOL,143.871579985116,-37.6125799990091,3350,MOUNT CLEAR
41,FRESHWATER CREEK STEINER SCHOOL,144.279740008426,-38.2633200544177,3217,FRESHWATER CREEK
42,GLEN WAVERLEY SOUTH PRIMARY SCHOOL,145.167609978023,-37.8968599949894,3150,GLEN WAVERLEY
43,GOOD SHEPHERD LUTHERAN PRIMARY SCHOOL,145.268619987091,-37.7826799962905,3136,CROYDON HILLS
44,GREAT RYRIE PRIMARY SCHOOL,145.237629985919,-37.823799997391,3135,HEATHMONT
45,PENINSULA MONTESSORI CENTRE,145.14706998827,-38.1352799980412,3199,FRANKSTON
46,Newcombe Primary School,144.394959975424,-38.1651499943995,3219,NEWCOMB
47,WARBURTON PRIMARY SCHOOL,145.701699950246,-37.7558100066486,3799,WARBURTON
48,HAMPTON PARK PRIMARY SCHOOL,145.252889988372,-38.0304099967312,3976,HAMPTON PARK
49,SPENSLEY STREET PRIMARY SCHOOL,145.003879969514,-37.7867899960336,3068,CLIFTON HILL
50,MOE PRIMARY SCHOOL,146.246719970402,-38.1897299998525,3825,MOE
51,CORAL PARK PRIMARY SCHOOL,145.274349976126,-38.0438499963076,3976,HAMPTON PARK
52,CORIO PRIMARY SCHOOL,144.368059945958,-38.0724999950572,3214,CORIO
53,CORIO WEST PRIMARY SCHOOL,144.351949943823,-38.072209992994,3214,CORIO
54,FYANS PARK PRIMARY SCHOOL,144.326860000642,-38.1537999998427,3220,NEWTOWN
55,KANGAROO FLAT PRIMARY SCHOOL,144.234089993555,-36.7876800022612,3555,KANGAROO FLAT
56,KANGAROO GROUND PRIMARY SCHOOL,145.214660006438,-37.6917399979751,3097,KANGAROO GROUND
57,KARINGAL HEIGHTS PRIMARY SCHOOL,145.166809970117,-38.1414799944446,3199,FRANKSTON
58,KATANDRA WEST PRIMARY SCHOOL,145.560719978895,-36.2254700089054,3634,KATANDRA WEST
59,BAYNTON PRIMARY SCHOOL,144.641259973671,-37.1401300044223,3444,BAYNTON
60,BAYSWATER NORTH PRIMARY SCHOOL,145.295619977309,-37.8287999964578,3153,BAYSWATER NORTH
61,BAYSWATER PRIMARY SCHOOL,145.259359974993,-37.8433099980228,3153,BAYSWATER
62,BAYSWATER WEST PRIMARY SCHOOL,145.253049970451,-37.8490699966197,3153,BAYSWATER
63,BEACONSFIELD PRIMARY SCHOOL,145.371639977586,-38.0486299971312,3807,BEACONSFIELD
64,BEACONSFIELD UPPER PRIMARY SCHOOL,145.414759980023,-37.9953999978256,3808,BEACONSFIELD UPPER
65,ANTWERP PRIMARY SCHOOL,142.025980018385,-36.2965099820386,3414,ANTWERP
66,APPIN SOUTH PRIMARY SCHOOL,143.869589972879,-35.9248499862265,3579,APPIN SOUTH
67,BOINKA PRIMARY SCHOOL,141.60431005935,-35.2001299537654,3490,BOINKA
68,RAGLAN PRIMARY SCHOOL,143.347649981271,-37.3634599935794,3373,RAGLAN
69,RAINBOW PRIMARY SCHOOL,141.995150043557,-35.8962400397786,3424,RAINBOW
70,RED CLIFFS PRIMARY SCHOOL,142.185309989581,-34.3115700332393,3496,RED CLIFFS
71,MINYIP PRIMARY SCHOOL,142.584100005741,-36.4627099800747,3392,MINYIP
72,BESSIEBELLE PRIMARY SCHOOL,141.960150003722,-38.1553999997826,3304,BESSIEBELLE
73,BEVERFORD PRIMARY SCHOOL,143.47891001594,-35.2324799071452,3590,BEVERFORD
74,MURTOA PRIMARY SCHOOL,142.468760014316,-36.6165099803233,3390,MURTOA
75,POOLAIJELO PRIMARY SCHOOL,141.099870085885,-37.2120700894744,3312,POOLAIJELO
76,PORTLAND NORTH PRIMARY SCHOOL,141.572330103866,-38.3176400003557,3305,PORTLAND NORTH
77,PORTLAND SOUTH PRIMARY SCHOOL,141.610620002788,-38.3652700077245,3305,PORTLAND
78,NIRRANDA EAST PRIMARY SCHOOL,142.841260023462,-38.4803999876709,3268,NULLAWARRE
79,NIRRANDA SOUTH PRIMARY SCHOOL,142.800419947462,-38.5359599845714,3268,NIRRANDA SOUTH
80,NOORAT PRIMARY SCHOOL,142.928739996731,-38.1907499941593,3265,NOORAT
81,MURRAYVILLE PRIMARY SCHOOL,141.181530029118,-35.2628999315667,3512,MURRAYVILLE
82,MURRABIT GROUP SCHOOL,143.95074919986,-35.5288398258515,3579,MURRABIT
83,CHOCOLYN PRIMARY SCHOOL,143.192089966482,-38.1948499941263,3260,CHOCOLYN
84,CLISSOLD PRIMARY SCHOOL,143.43486998183,-38.3501299880179,3249,PIRRON YALLOCK
85,CLUNES PRIMARY SCHOOL,143.792119996059,-37.2907499969511,3370,CLUNES
86,COBRICO PRIMARY SCHOOL,143.015149979928,-38.2981799890079,3266,COBRICO
87,MARNOO PRIMARY SCHOOL,142.870350034312,-36.6768499933326,3387,MARNOO
88,MAROONA PRIMARY SCHOOL,142.858470018116,-37.4327999783273,3377,MAROONA
89,MAGPIE PRIMARY SCHOOL,143.843270004709,-37.6157099962223,3352,MAGPIE
90,CODRINGTON PRIMARY SCHOOL,141.952089955301,-38.2651299869896,3285,CODRINGTON
91,FISH CREEK AND DISTRICT PRIMARY SCHOOL,146.084419988217,-38.6947499980619,3959,FISH CREEK
92,FITZROY COMMUNITY SCHOOL,144.97980997943,-37.7891699984004,3068,FITZROY NORTH
93,MALDON PRIMARY SCHOOL,144.065809977022,-36.995040001636,3463,MALDON
94,MALLACOOTA PRIMARY SCHOOL,149.756809982033,-37.557629937093,3892,MALLACOOTA
95,MALVERN EAST CENTRAL SCHOOL,145.05708997897,-37.872069994214,3145,MALVERN EAST
96,MALVERN PRIMARY SCHOOL,145.038459964263,-37.8715899899311,3145,MALVERN EAST
97,MANCHESTER PRIMARY SCHOOL,145.308399981357,-37.7722699989977,3138,MOOROOLBARK
98,MANDAMA PRIMARY SCHOOL,144.327879982545,-38.2004000131947,3216,GROVEDALE
99,MANDURANG PRIMARY SCHOOL,144.299029964924,-36.8245699977446,3551,MANDURANG
100,MANIFOLD HEIGHTS PRIMARY SCHOOL,144.332919976453,-38.1359699971321,3218,MANIFOLD HEIGHTS
101,MANNINGHAM PRIMARY SCHOOL,145.10514001366,-37.771239996896,3107,TEMPLESTOWE LOWER
102,MARALINGA PRIMARY SCHOOL,145.180479979235,-37.9923999954714,3173,KEYSBOROUGH
103,CHANDLER PARK PRIMARY SCHOOL,145.180479979235,-37.9923999954714,3173,KEYSBOROUGH
104,MARDAN SOUTH PRIMARY SCHOOL,146.091529966411,-38.4798499962658,3953,MARDAN
105,MUSKERRY EAST PRIMARY SCHOOL,144.618759953583,-36.6765099989827,3557,MUSKERRY
106,MOUNT PROSPECT PRIMARY SCHOOL,144.018479985459,-37.3781799929788,3364,NEWLYN NORTH
107,TOOLLEEN PRIMARY SCHOOL,144.690419994556,-36.7159599980375,3551,TOOLLEEN
108,LAVERTON GARDENS PRIMARY SCHOOL,144.77902996464,-37.8509599951286,3028,LAVERTON
109,CANADIAN LEAD PRIMARY SCHOOL,143.875909988362,-37.5729699960406,3350,CANADIAN
110,LAVERTON PARK PRIMARY SCHOOL,144.771889964883,-37.8602599947036,3028,LAVERTON
111,Urquhart Park Primary School,143.831219987799,-37.5660000001471,3350,NEWINGTON
112,Newington Primary School,143.831219987799,-37.5660000001471,3350,NEWINGTON
113,NUNAWADING SOUTH PRIMARY SCHOOL,145.180089971373,-37.82858999243,3131,NUNAWADING
114,Newcombe Park Primary School,144.394959975424,-38.1651499943995,3219,NEWCOMB
115,MEADOWBANK PRIMARY SCHOOL,144.929029989192,-37.6879000023026,3047,BROADMEADOWS
116,PLENTY PARKLANDS PRIMARY SCHOOL,145.076939991617,-37.6697200043225,3082,MILL PARK
117,HASLEM STREET (KYABRAM) PRIMARY SCHOOL 2902,145.001530007281,-36.3201299916035,3620,KYABRAM
118,DAWES ROAD (KYABRAM) PRIMARY SCHOOL 4866,145.000700011912,-36.3153999915162,3620,KYABRAM
119,TIMBARRA PRIMARY SCHOOL,148.039589906549,-37.3104000207747,3885,BUCHAN
120,PLEASANT STREET PRIMARY SCHOOL (BALLARAT),143.838499987511,-37.556330000551,3350,LAKE WENDOUREE
121,MCKINNON PRIMARY SCHOOL,145.052789977781,-37.9080499911411,3204,ORMOND
122,STONNINGTON PRIMARY SCHOOL,144.995839995275,-37.8569299969177,3181,WINDSOR
123,WINDSOR PRIMARY SCHOOL,144.995839995275,-37.8569299969177,3181,WINDSOR
124,ALAMEIN PRIMARY SCHOOL,145.08041998846,-37.8670699907878,3147,ASHBURTON
125,NUNAWADING PRIMARY SCHOOL,145.166989995968,-37.8074699893922,3130,BLACKBURN NORTH
126,WHITEHORSE PRIMARY SCHOOL,145.166989995968,-37.8074699893922,3130,BLACKBURN NORTH
127,MOUNT PLEASANT ROAD NUNAWADING PRIMARY SCHOOL,145.180089971373,-37.82858999243,3131,NUNAWADING
128,NYORA PRIMARY SCHOOL,145.674889988722,-38.33623999633,3987,NYORA
129,OAKLEIGH SOUTH PRIMARY SCHOOL,145.094699995928,-37.9222099901124,3167,OAKLEIGH SOUTH
130,OBERON SOUTH PRIMARY SCHOOL,144.33985998498,-38.1857000038929,3216,BELMONT
131,WINDSOR PRIMARY SCHOOL,144.99568999626,-37.8572999969097,3181,WINDSOR
132,WODONGA SOUTH PRIMARY SCHOOL,146.893989988457,-36.1396199362733,3690,WODONGA
133,WODONGA WEST PRIMARY SCHOOL,146.876710053229,-36.1224199708454,3690,WODONGA
134,HAMLYN BANKS PRIMARY SCHOOL,144.327099997399,-38.1177599966379,3215,HAMLYN HEIGHTS
135,HEANY PARK PRIMARY SCHOOL,145.242879986827,-37.9339199984386,3178,ROWVILLE
136,HOLY CROSS PRIMARY SCHOOL,144.597780014982,-37.455889996491,3438,NEW GISBORNE
137,HOLY EUCHARIST SCHOOL,144.811409985173,-37.7564399997341,3021,ST ALBANS
138,HOLY FAMILY SCHOOL,145.238629978295,-37.9904999984933,3177,DOVETON
139,HOLY FAMILY SCHOOL,145.129630001115,-37.8742599882245,3149,MOUNT WAVERLEY
140,HOLY NAME SCHOOL,145.018569983117,-37.7302600016895,3073,RESERVOIR
141,HOLY ROSARY SCHOOL,144.701109993792,-36.9176799970357,3523,HEATHCOTE
142,HOLY ROSARY SCHOOL,144.310569996097,-36.7248700008703,3550,WHITE HILLS
143,HOLY SAVIOUR PARISH SCHOOL,145.175039991534,-37.8623399912897,3133,VERMONT SOUTH
144,PENLEIGH AND ESSENDON GRAMMAR SCHOOL - MOONEE PONDS CAMPUS,144.912489987084,-37.7616700006332,3039,MOONEE PONDS
145,TINTERN SCHOOLS - SOUTHWOOD BOYS GRAMMAR SCHOOL,145.223909975589,-37.8302299964782,3134,RINGWOOD
146,MARIBYRNONG PRIMARY SCHOOL,144.891529990684,-37.7712400012653,3032,MARIBYRNONG
147,CAULFIELD GRAMMAR PRE-PREP,145.190609987724,-37.8995599945987,3150,WHEELERS HILL
148,BURWOOD HEIGHTS PRIMARY SCHOOL,145.163969987152,-37.8469399884282,3131,FOREST HILL
149,SPENSLEY STREET PRIMARY SCHOOL - GLEN FORBES CAMP,145.545519985491,-38.4592399968963,3990,GLEN FORBES
150,SACRED HEART SCHOOL,145.223919972121,-36.4398300196962,3616,TATURA
151,ST MARYS SCHOOL,146.726929979634,-36.553569988297,3737,MYRTLEFORD
152,ST PATRICKS SCHOOL,146.321949975409,-36.3561599857791,3677,WANGARATTA
153,ST PATRICKS SCHOOL,143.246860018679,-36.6170800187179,3478,SAINT ARNAUD
154,TONGALA PRIMARY SCHOOL,144.956520024746,-36.2521499750894,3621,TONGALA
155,WILMOT ROAD PRIMARY SCHOOL SHEPPARTON,145.405899975617,-36.3984999851203,3630,SHEPPARTON
156,ALL SAINTS PARISH SCHOOL,141.592790032512,-38.3594699967182,3305,PORTLAND
157,ALTONA GREEN PRIMARY SCHOOL,144.784919993761,-37.8867699947482,3028,ALTONA MEADOWS
158,ANNUNCIATION SCHOOL,144.847959965879,-37.8209900006123,3012,BROOKLYN
159,ASPENDALE GARDENS PRIMARY SCHOOL,145.116799968037,-38.0225099952559,3195,ASPENDALE GARDENS
160,BALLARAT PRIMARY SCHOOL (DANA STREET),143.853939981067,-37.5640099975828,3350,BALLARAT CENTRAL
161,BALLARAT STEINER SCHOOL,143.8622000129,-37.6407599965844,3350,MOUNT HELEN
162,BASS VALLEY PRIMARY SCHOOL,145.488769976748,-38.4312299977159,3984,CORINELLA
163,BELLE VUE PARK PRIMARY SCHOOL,144.943940013177,-37.7012000024026,3046,GLENROY
164,BENALLA CHRISTIAN SCHOOL,145.999059965841,-36.5474399993833,3672,BENALLA
165,BERWICK LODGE PRIMARY SCHOOL,145.327429972267,-38.031139997931,3806,BERWICK
166,BETHANY CATHOLIC PRIMARY SCHOOL,144.658659981969,-37.8755899961738,3030,WERRIBEE
167,BIG HILL PRIMARY SCHOOL,144.242469988814,-36.8305799970801,3555,BIG HILL
168,BOURCHIER STREET PRIMARY SCHOOL SHEPPARTON,145.412969981884,-36.3665399914102,3630,SHEPPARTON
169,CANA CATHOLIC PRIMARY SCHOOL,144.747149971645,-37.6879200019654,3037,HILLSIDE
170,CARDROSS PRIMARY SCHOOL,142.145040032719,-34.2880100288038,3496,CARDROSS
171,CHALCOT LODGE PRIMARY SCHOOL,145.247699970017,-37.9697299969953,3802,ENDEAVOUR HILLS
172,CHRIST OUR HOLY REDEEMER SCHOOL,145.105749981864,-37.8961599917128,3166,OAKLEIGH
173,CHRIST THE KING PRIMARY SCHOOL,144.861959990048,-37.7876100013561,3019,BRAYBROOK
174,CHRIST THE KING SCHOOL,144.393099972604,-38.1665499942853,3219,NEWCOMB
175,CLIFTON SPRINGS PRIMARY SCHOOL,144.553139974465,-38.1656599978993,3222,CLIFTON SPRINGS
176,CRAIGIEBURN PRIMARY SCHOOL,144.933550002764,-37.5826500019556,3064,CRAIGIEBURN
177,CROYDON HILLS PRIMARY SCHOOL,145.27204998716,-37.776679997492,3136,CROYDON HILLS
178,AINSLIE PARKLANDS PRIMARY SCHOOL,145.264249986622,-37.7937699970553,3136,CROYDON
179,DEUTSCHE SCHULE MELBOURNE,144.98276997604,-37.7788300015388,3068,FITZROY NORTH
180,DONCASTER GARDENS PRIMARY SCHOOL,145.147899973116,-37.7816099929116,3109,DONCASTER EAST
181,EDINBURGH ADVENTIST PRIMARY SCHOOL,145.350759987637,-37.7847999970344,3140,LILYDALE
182,EMMAUS CATHOLIC PRIMARY SCHOOL,144.772239981979,-37.700300001736,3038,TAYLORS LAKES
183,BEECHWORTH MONTESSORI PRIMARY SCHOOL,146.695969982136,-36.3680499837593,3747,BEECHWORTH
184,KOONWARRA VILLAGE SCHOOL,145.943919980547,-38.5479099969536,3954,KOONWARRA
185,SACRED HEART SCHOOL,147.899189998884,-36.1982399872613,3707,CORRYONG
186,ST ALBANS SOUTH PS OSHC -EXTEND,144.803499975718,-37.7548300011885,3021,ST ALBANS
187,NORTHWEST MARIA MONTESSORI,144.973119991908,-37.7401700026386,3058,COBURG
188,GISBORNE MONTESSORI SCHOOL,144.600010009862,-37.4533899966245,3438,NEW GISBORNE
189,GLEN KATHERINE PRIMARY SCHOOL,145.139839975547,-37.6899800007849,3095,ELTHAM NORTH
190,GLENGALA/SUNSHINE WEST PRIMARY SCHOOL,144.815119963927,-37.7992499992507,3020,SUNSHINE WEST
191,GLENGALA PRIMARY SCHOOL,144.815119963927,-37.7992499992507,3020,SUNSHINE WEST
192,GOOD SAMARITAN CATHOLIC PRIMARY SCHOOL,144.934319978236,-37.6234399972623,3064,ROXBURGH PARK
193,GOOD SHEPHERD SCHOOL,145.166049957054,-37.9081199959512,3150,WHEELERS HILL
194,GOONAWARRA PRIMARY SCHOOL,144.751049992428,-37.5805199955606,3429,SUNBURY
195,GRASMERE PRIMARY SCHOOL,142.522879939119,-38.2859899857253,3281,GRASSMERE
196,GRETA VALLEY PRIMARY SCHOOL,146.236359960869,-36.6178399921639,3675,GRETA SOUTH
197,RINGWOOD HEIGHTS PRIMARY SCHOOL,145.217209991618,-37.8042299948517,3134,RINGWOOD NORTH
198,RIPPONLEA PRIMARY SCHOOL,145.005049990746,-37.8746099916581,3183,ST KILDA EAST
199,SUNSHINE HEIGHTS PRIMARY SCHOOL,144.818159964155,-37.7922200004131,3020,SUNSHINE WEST
200,SUNSHINE NORTH PRIMARY SCHOOL,144.837189987027,-37.772010001578,3020,SUNSHINE NORTH
201,SUSSEX HEIGHTS PRIMARY SCHOOL,145.111839972591,-37.8889999950883,3149,MOUNT WAVERLEY
202,SWAN REACH PRIMARY SCHOOL,147.864790026202,-37.821080000948,3903,SWAN REACH
203,RICHMOND WEST PRIMARY SCHOOL,144.995739990006,-37.8136299936426,3121,RICHMOND
204,TECOMA PRIMARY SCHOOL,145.344919970066,-37.9069599963847,3160,TECOMA
205,TEMPLESTOWE HEIGHTS PRIMARY SCHOOL,145.11935000264,-37.7672099968509,3107,TEMPLESTOWE LOWER
206,LOWER PLENTY PRIMARY SCHOOL,145.115499998796,-37.7261699993302,3093,LOWER PLENTY
207,NEWSTEAD PRIMARY SCHOOL,144.067190003633,-37.1059199984215,3462,NEWSTEAD
208,NEWTOWN PRIMARY SCHOOL,144.337200004665,-38.1457699974737,3220,NEWTOWN
209,SAINT GERMAINS PRIMARY SCHOOL,145.164869970491,-36.2442900203489,3620,SAINT GERMAINS
210,TEETORA PRIMARY SCHOOL,145.892919970853,-38.2712399985683,3821,TETOORA ROAD
211,PERANBIN PRIMARY SCHOOL STRATHBOGIE CAMPUS,145.736809982986,-36.8562399954796,3666,STRATHBOGIE
212,PERANBIN PRIMARY SCHOOL VIOLET TOWN CAMPUS,145.717369980725,-36.6340100026691,3669,VIOLET TOWN
213,CRINIGAN ROAD PRIMARY SCHOOL,146.417369975229,-38.217899996647,3840,MORWELL
214,SPRINGBANK PRIMARY SCHOOL,144.052650002951,-37.5320699951401,3352,SPRINGBANK
215,WATTLE PARK PRIMARY SCHOOL,145.097370006191,-37.8426399858036,3125,BURWOOD
216,OMEO PRIMARY SCHOOL,147.593079972273,-37.100219962739,3898,OMEO
217,MIRRABOOKA PRIMARY SCHOOL,145.146530000918,-37.8402299851808,3130,BLACKBURN SOUTH
218,SPRING GULLY PRIMARY SCHOOL,144.28445997955,-36.7931899965911,3550,SPRING GULLY
219,ORRVALE PRIMARY SCHOOL,145.44053999865,-36.4104099956279,3631,ORRVALE
220,OSBORNE PRIMARY SCHOOL,145.040910002477,-38.257109997475,3934,MOUNT MARTHA
221,OSBORNES FLAT PRIMARY SCHOOL,146.892570043088,-36.3171600053233,3691,OSBORNES FLAT
222,CROYDON SOUTH PRIMARY SCHOOL,145.278759979623,-37.816239999205,3136,CROYDON SOUTH
223,DIMBOOLA PRIMARY SCHOOL,142.030400023175,-36.4533599772723,3414,DIMBOOLA
224,GIRGARRE EAST PRIMARY SCHOOL,145.070700049064,-36.4520700011954,3616,GIRGARRE EAST
225,GISBORNE PRIMARY SCHOOL,144.588439983908,-37.4908599990851,3437,GISBORNE
226,TULLIALLAN PRIMARY SCHOOL,145.327339971645,-38.0815999952364,3977,CRANBOURNE NORTH
227,WYNDHAM VALE PRIMARY SCHOOL,144.609609983394,-37.8955599960105,3024,WYNDHAM VALE
228,NIDDRIE PRIMARY SCHOOL,144.878430007313,-37.7308500021234,3042,AIRPORT WEST
229,NILMA NORTH PRIMARY SCHOOL,145.985700010963,-38.1390099944648,3821,NILMA NORTH
230,NOBLE PARK PRIMARY SCHOOL,145.173909981787,-37.970629993882,3174,NOBLE PARK
231,NOORINBEE PRIMARY SCHOOL,149.168940036825,-37.516339997949,3890,NOORINBEE
232,NOOROONGONG PRIMARY SCHOOL,147.233480051973,-36.3245698365713,3701,TALLANGATTA SOUTH
233,ST ANDREWS PRIMARY SCHOOL,145.269830000761,-37.6023200012509,3761,SAINT ANDREWS
234,LYNDALE PRIMARY SCHOOL,145.204649959042,-37.9650499989772,3175,DANDENONG NORTH
235,ST MARGARETS SCHOOL,145.346549971458,-38.0353299962932,3806,BERWICK
236,GISBORNE MONTESSORI SCHOOL,144.599590009941,-37.453319996596,3438,NEW GISBORNE
237,ANGLESEA PRIMARY SCHOOL,144.191839920984,-38.3967802604823,3230,ANGLESEA
238,FITZROY PRIMARY SCHOOL,144.981509979002,-37.7995999945814,3065,FITZROY
239,JELLS PARK PRIMARY SCHOOL,145.192849986972,-37.9028399937742,3150,WHEELERS HILL
240,ANDERSONS CREEK PRIMARY SCHOOL,145.207679985435,-37.7482199978425,3113,WARRANDYTE
241,KNOWSLEY PRIMARY SCHOOL,144.586529984921,-36.822349994755,3523,KNOWSLEY
242,KONGWAK PRIMARY SCHOOL,145.712869976375,-38.5151100011369,3951,KONGWAK
243,KOO-WEE-RUP PRIMARY SCHOOL,145.492919976778,-38.1956799975622,3981,KOO WEE RUP
244,GLEN ALVIE PRIMARY SCHOOL,145.64348002358,-38.4987399990891,3979,GLEN ALVIE
245,KOONDROOK PRIMARY SCHOOL,144.1298699979,-35.6348699000866,3580,KOONDROOK
246,CLARINDA PRIMARY SCHOOL,145.10291999597,-37.9269999887086,3169,CLARINDA
247,CLAYTON PRIMARY SCHOOL,145.127369958978,-37.92456999738,3168,CLAYTON
248,CLAYTON WEST PRIMARY SCHOOL,145.106809989896,-37.9215099909427,3167,OAKLEIGH SOUTH
249,FERNTREE GULLY NORTH PRIMARY SCHOOL,145.29941997155,-37.8747899960082,3156,FERNTREE GULLY
250,MELTON WEST PRIMARY SCHOOL,144.56748996485,-37.677479994847,3337,MELTON WEST
251,MENTONE PRIMARY SCHOOL,145.067969984922,-37.9829499946479,3194,MENTONE
252,PAYNESVILLE PRIMARY SCHOOL,147.714699990409,-37.911279995532,3880,PAYNESVILLE
253,PEARCEDALE PRIMARY SCHOOL,145.23196997582,-38.2030099973408,3912,PEARCEDALE
254,PEARSONDALE PRIMARY SCHOOL,147.00237003379,-38.1315099862706,3851,PEARSONDALE
255,TRAFALGAR EAST PRIMARY SCHOOL,146.192369989034,-38.1801300017985,3824,TRAFALGAR EAST
256,PEMBROKE PRIMARY SCHOOL,145.327239975377,-37.7968000004653,3138,MOOROOLBARK
257,PENDERS GROVE PRIMARY SCHOOL,145.014270010223,-37.7545200005454,3071,THORNBURY
258,PENTLAND PRIMARY SCHOOL,144.423179966107,-37.6558599961271,3340,DARLEY
259,PERANBIN PRIMARY SCHOOL BADDAGINNIE CAMPUS,145.863199957236,-36.5923499998553,3670,BADDAGINNIE
260,TEESDALE PRIMARY SCHOOL,144.054590007618,-38.0292299983304,3328,TEESDALE
261,BAYLES PRIMARY SCHOOL,145.566029991176,-38.1760399996088,3981,BAYLES
262,CAULFIELD SOUTH PRIMARY SCHOOL,145.03079998001,-37.8952499925517,3162,CAULFIELD SOUTH
263,ELTHAM NORTH PRIMARY SCHOOL,145.150859985536,-37.7001099996094,3095,ELTHAM NORTH
264,ST MARYS SCHOOL,145.011199983603,-36.5878000009821,3612,RUSHWORTH
265,BAIRNSDALE CHRISTIAN COMMUNITY SCHOOL,147.578350014596,-37.8412199872831,3875,BAIRNSDALE
266,BRANXHOLME-WALLACEDALE COMMUNITY SCHOOL,141.798720020977,-37.856350007,3302,BRANXHOLME
267,CRAIGIEBURN SOUTH PRIMARY SCHOOL,144.935849982556,-37.6087499992752,3064,CRAIGIEBURN
268,GALILEE REGIONAL CATHOLIC PRIMARY SCHOOL,144.954809975667,-37.8361599959825,3205,SOUTH MELBOURNE
269,MYOLA EAST PRIMARY SCHOOL,144.543759967387,-36.6345700007108,3557,BARNADOWN
270,RIVER GUM PRIMARY SCHOOL,145.260509968569,-38.0346499962875,3976,HAMPTON PARK
271,TIMBARRA PRIMARY SCHOOL,145.322089969801,-38.0167899984694,3806,BERWICK
272,RAWSON PRIMARY SCHOOL,146.398969984194,-37.9591200036731,3825,RAWSON
