Place_Names,Longitude,Latitude
RESERVOIR POLICE STATION,-37.7164700027182,145.00564999585
YEA POLICE STATION,-37.2105200047588,145.426719998034
SWIFTS CREEK POLICE STATION,-37.2621299789148,147.720959972892
SPEED POLICE STATION,-35.4010799539492,142.44035995463
CASTERTON POLICE STATION,-37.5853200279707,141.406030073487
LOCH POLICE STATION,-38.368669998586,145.703719985904
CHARLTON POLICE STATION,-36.2696099907523,143.348369988492
CLUNES POLICE STATION,-37.2951499964395,143.783629995076
NAGAMBIE POLICE STATION,-36.7875999971088,145.154409985597
LINTON POLICE STATION,-37.6874399948911,143.56186999344
COLAC POLICE STATION,-38.3377599907846,143.59254999393
COLERAINE POLICE STATION,-37.5990100165975,141.783480030196
ROMSEY POLICE STATION,-37.3437500054525,144.741719992161
ROYAL PARK POLICE STATION,-37.7903999969305,144.958199976045
TALLAROOK POLICE STATION,-37.0942900065782,145.104029986213
TOORA POLICE STATION,-38.66158000451,146.324719996398
DUNOLLY POLICE STATION,-36.8571199965296,143.733650018806
ELMHURST POLICE STATION,-37.1808399844733,143.250509991525
RIDDELLS CREEK POLICE STATION,-37.461959997942,144.678569980474
SUNBURY POLICE STATION,-37.5798199975062,144.735479975186
YARRA GLEN POLICE STATION,-37.6602100008286,145.373199982581
YARRA JUNCTION POLICE STATION,-37.7802000040618,145.607019950838
YARRAGON POLICE STATION,-38.2062399948791,146.068199967689
YARRAM POLICE STATION,-38.5599600161901,146.677050003261
YARRAVILLE POLICE STATION,-37.8162399996198,144.892639991628
YARRAWONGA POLICE STATION,-36.0208999946956,145.995259965711
BEAUFORT POLICE STATION,-37.4314799930639,143.381060011911
BEEAC POLICE STATION,-38.1953099879055,143.640059992878
BEECH FOREST POLICE STATION,-38.6381799892615,143.571259996256
BEULAH POLICE STATION,-35.9432400662176,142.419500115949
LINDENOW POLICE STATION,-37.8017900088135,147.461260033556
BIRCHIP POLICE STATION,-35.9797999527243,142.917320005136
MURCHISON POLICE STATION,-36.6181300042837,145.21590999946
MURRUMBEENA POLICE STATION,-37.8903999919957,145.066809974273
WONTHAGGI POLICE STATION,-38.6076199999498,145.589939982555
HEYWOOD POLICE STATION,-38.1334999853407,141.628959970832
LEXTON POLICE STATION,-37.2752599933378,143.513809997293
ALLANSFORD POLICE STATION,-38.3851299882691,142.590419937668
APOLLO BAY POLICE STATION,-38.759659992222,143.6703800109
ARARAT POLICE STATION,-37.2842399674911,142.926720017281
WOODEND POLICE STATION,-37.3544100011136,144.526649964806
AVOCA POLICE STATION,-37.0871699896924,143.474099980377
BALLARAT POLICE STATION,-37.5641899969143,143.859119980152
BALMORAL POLICE STATION,-37.2522100061791,141.832319974858
WANGARATTA POLICE STATION,-36.3609499842335,146.314139971142
WARBURTON POLICE STAION,-37.7556800075656,145.686529973878
WARRAGUL POLICE STATION,-38.1617899978087,145.933279984482
MOUNT EVELYN POLICE STATION,-37.7871499961343,145.380549967221
MOUNT BEAUTY POLICE STATION,-36.7439699784833,147.17136998525
CITY WEST POLICE STATION,-37.8092899971617,144.959869975706
CLAYTON POLICE STATION,-37.9201399958764,145.120469968667
BERWICK POLICE STATION,-38.034289996305,145.346809971529
CAMPERDOWN POLICE STATION,-38.2305199915376,143.146099979171
BOORT POLICE STATION,-36.1160599951763,143.723410016355
STRATFORD POLICE STATION,-37.9635299882046,147.080240014955
MELBOURNE FLINDERS LAND,-37.8165099976617,144.966529960765
SPRING ST,-37.810399997099,144.973479980222
MELBOURNE SPRING STREET,-37.810399997099,144.973479980222
MENTONE POLICE STATION,-37.984009994479,145.065419986251
MEREDITH POLICE STATION,-37.8465099965755,144.07572998775
PASCOE VALE POLICE STATION,-37.7376300022181,144.937919985278
FLINDERS LANE,-37.8165099976617,144.966529960765
KEW POLICE STATION,-37.8067899901299,145.032640003347
GORDON POLICE STATION,-37.5798099965968,144.101499984636
KILMORE POLICE STATION,-37.3070600033445,144.949859989558
KORUMBURRA POLICE STATION,-38.4345799976305,145.824309966972
KYABRAM POLICE STATION,-36.3137000120601,145.052559984584
KYNETON POLICE STATION,-37.2476700014727,144.451739984702
LAVERTON POLICE STATION,-37.863259994689,144.771399968646
LEONGATHA POLICE STATION,-38.475019997654,145.945949989735
BAIRNSDALE POLICE STATION,-37.8258599937438,147.635960010676
BACCHUS MARSH POLICE STATION,-37.6757899951001,144.436019977797
