Place_Names,Longitude,Latitude
ORBOST,148.451129991907,-37.7175199919775
CUDGEWA,147.770010054176,-36.1936199829004
GHERINGHAP,144.234469962202,-38.0750199993031
GINIFER,144.811269988816,-37.7599899997466
GIRGARRE,144.981629984308,-36.3989699927488
LYONVILLE,144.257439988124,-37.3911300015783
JEWEL,144.958719972628,-37.7749799998704
KOONDROOK,144.13140996499,-35.6416799442307
GLEN FORBES,145.543639983974,-38.4579299967553
FERN HILL RAILWAY STATION,144.390149987623,-37.3306799999208
MELTON,144.572529977249,-37.7032899993434
MENTONE,145.065939986275,-37.9829599945083
HEALESVILLE,145.510149954595,-37.6549099964233
MONOMEITH,145.513999995416,-38.2191399981945
MONTAGUE,144.948599996389,-37.8302399965217
PRAIRIE,144.231719997162,-36.2969600009829
WUNGHNU,145.435109987078,-36.1533400265865
YABBA SOUTH,145.689720002044,-36.2792200014115
BRANXHOLME,141.794270015601,-37.8582000057652
BORUNG,143.749529999227,-36.2909099979459
STRATHMORE,144.927319988469,-37.743590002532
STRATHMERTON,145.482069933664,-35.9264001694139
WERRIBEE,144.661109978002,-37.899359996485
STRATHALLAN,144.741210037064,-36.2613599975474
GARVOC,142.817219969133,-38.2999699891538
GOLDSBOROUGH,143.67908998534,-36.8229599978697
BUCKRABANYULE,143.511770005999,-36.2644399958456
YALLOURN,146.350419994476,-38.1965100005493
MONEA,145.282290004524,-36.8594699984352
WEST FOOTSCRAY,144.883279991837,-37.8015900008921
WESTGARTH,144.999229966992,-37.7806199986768
WESTALL,145.138829971449,-37.9384899982575
REMLAW,142.117160038997,-36.7139199797922
RUPANYUP,142.632819996749,-36.6274899849649
SALISBURY,141.758400034434,-36.3502799844996
TANTI PARK,145.067249973555,-38.223419996079
TARADALE,144.356180005738,-37.1334999974468
ROSEDALE,146.787019983157,-38.1565399970089
MUCKLEFORD,144.15105001778,-37.0229800023357
RESERVOIR,145.006989993573,-37.7168900028126
PICOLA,145.114029990404,-35.9996900542585
WILLIAMSTOWN,144.905320002846,-37.8677499998021
WILLIAMSTOWN PIER,144.910419997153,-37.8659599991384
MERRI,144.992979966377,-37.7778399992315
BATMAN,144.962839995409,-37.7335200028945
ELSTERNWICK,145.000889993364,-37.8847499914358
EMERALD,145.439809978563,-37.933819998204
YARRARA,141.424590043803,-34.4037400359068
AIRCRAFT,144.760809981132,-37.8665999969944
ALAMEIN,145.079659989456,-37.8683199907432
ALBION,144.824709977585,-37.7776600007668
YARTO,142.271330024461,-35.4985099688605
ALEXANDRA,145.714839977184,-37.1846499999973
YATPOOL,142.186129945712,-34.3691100326649
YELTA,141.993120044077,-34.1279499762065
YENDON RAILWAY STATION,143.973759995891,-37.6373499977087
HUNTER,144.507349941212,-36.4408200040536
DARLING,145.062949978291,-37.8689599935976
GLEN WAVERLEY,145.163059992695,-37.8797899915689
GLENBERVIE,144.920939982183,-37.7472100021194
RIVERSDALE,145.069649995224,-37.8314999948262
MUSK,144.191150013561,-37.3709799961241
BURRUM,142.734600007691,-36.6160099908877
COWANGIE,141.381590017391,-35.2328099389762
CRESSY,143.643550004047,-38.0288099761105
CRESWICK,143.888109982183,-37.4246699979003
CRESWICK NORTH,143.888719980432,-37.4111899978556
SYDENHAM,144.769889982881,-37.6956700015486
TABILK,145.160469992102,-36.8482400019134
YERING,145.374169976781,-37.692990000101
YOUANMITE,145.691279991742,-36.1598900137497
TARRANGINNIE,141.527210026995,-36.3269099777392
VASEY,141.86932000334,-37.3685100189449
CURYO,142.786780095111,-35.8504299591218
CARPOLAC,141.314990062896,-36.7377500279123
WALLAN,145.005309972271,-37.4171800018273
CHARLTON,143.352689991042,-36.2668099920007
CHILLINGOLLAH,143.053319993691,-35.2641799822867
MYRTLEFORD,146.722629980823,-36.5580199870012
MYWEE,145.494039999361,-35.8735301709123
NAGAMBIE,145.160519988824,-36.7852899965163
NATHALIA,145.207159985996,-36.0504400530214
JEFFRIES,141.89918002435,-37.0676399997559
COLERAINE,141.698900086828,-37.6010500199549
CONDAH,141.740900007793,-37.9521899983884
COCAMBA,142.894499945951,-35.1178099678004
COPE COPE,143.055240038148,-36.4623900120846
ROSANNA,145.06613995651,-37.7428799980346
TALLAROOK,145.102889982621,-37.092280005487
SHELLEY,147.542730029118,-36.190029964865
DUNOLLY,143.729910004743,-36.8641999983377
EAST NATIMUK,141.967060028264,-36.7384299855029
ELLAM,142.041790009508,-36.0538099933947
ELMHURST,143.251330006859,-37.1758899874928
EMU,143.443400042477,-36.7352200045775
RINGWOOD,145.228969990294,-37.8158899997404
RINGWOOD EAST,145.250189963048,-37.8119699991906
RIPPONLEA,144.995229965312,-37.8759099919934
SUNBURY,144.727949964544,-37.5792499979952
SUNSHINE,144.832969962984,-37.788499999394
YARCK,145.616460001659,-37.1046799914865
YARRA GLEN,145.372489982551,-37.6615900007874
YARRAGON,146.063069978948,-38.2031599944864
Yarram,146.672760004776,-38.5619500168791
YARRAWONGA,145.998629961573,-36.0172099989159
PARKWOOD,141.783240049264,-37.6216300157218
BEAUFORT,143.382370017062,-37.4275999931209
BEALIBA,143.552990001758,-36.7901500017484
BERRIWILLOCK,143.00035998639,-35.6396299625246
BET BET,143.756799961234,-36.9250400034223
BEULAH,142.421980116598,-35.9426100703569
YARROWEYAH,145.56189994181,-35.9263201290461
