address,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
"1 FRIAR COURT, PORTARLINGTON",4.0,2.0,2,3223,203031051,House,108.43328,1.06126,1.43431,,,,1.88178,,268.3333333333333
"1 FRUIT LANE, WANTIRNA SOUTH",3.0,2.0,1,3152,211011260,House,33.787589999999994,0.75113,0.5965900000000001,,,,,0.6698,460.0
"1 GENINE AVENUE, HEATHERTON",3.0,2.0,2,3202,208031191,House,24.85925,0.28696,1.93935,5.28444,6.04671,0.57548,5.54773,,380.0
"1 GLENDALE AVENUE, EPPING",3.0,1.0,0,3076,209041431,House,22.87721,2.13959,0.40939,1.973,,,,,295.0
"1 GLENMORE CRESCENT, BLACK ROCK",3.0,3.0,1,3193,208011173,House,20.24744,1.03444,0.8936900000000001,2.16995,2.88462,2.01198,0.56101,,895.0
"1 GRACE STREET, RYE",3.0,2.0,3,3941,214021383,House,97.18035,4.7592,0.54371,,,,1.13634,,315.0
"1 GREEN STREET, HEALESVILLE",3.0,1.0,0,3777,211051276,House,66.159,1.32381,0.41739,2.224,0.92674,1.46526,0.82712,,250.0
"1 HAMMENCE STREET, GLEN WAVERLEY",2.0,1.0,1,3150,212051321,House,26.04323,2.19621,0.5142,2.44047,,,3.08995,,350.0
"1 HARRIET STREET, SEDDON",3.0,1.0,6,3011,213031350,House,8.05959,0.40925,,,1.46895,,,,445.0
"1 HARVEY COURT, ROXBURGH PARK",4.0,2.0,2,3064,210051544,House,22.13128,,1.95657,1.91224,1.59351,,,,330.0
"1 HELENE STREET, ARDEER",3.0,1.0,1,3022,213011328,House,24.11069,0.30807,0.8581799999999999,,3.71473,2.62496,,,295.0
"1 HICKS CRESCENT, ECHUCA",3.0,2.0,2,3564,216011406,House,209.93192,1.78021,0.2148199999999999,2.17956,2.58058,1.1098,3.18629,,230.0
"1 HIGHFIELD COURT, TRARALGON",4.0,2.0,2,3844,205041493,House,167.11345,,3.42429,3.1841500000000003,4.56981,,3.49738,,315.0
"1 HIGHFIELD ROAD, CHADSTONE",4.0,1.0,1,3148,212051319,House,19.21317,1.67999,3.64047,1.4183599999999998,,,,,350.0
"1 HOMEBUSH COURT, MILDURA",2.0,1.0,1,3500,215021470,Apartment,542.71719,,0.50257,1.98015,,,,,220.0
"1 INGLISBY ROAD, MONT ALBERT",3.0,3.0,2,3127,207031167,House,18.73561,,0.45352,,0.12532,,,,600.0
"1 KATHLEEN STREET, MORWELL",3.0,1.0,1,3840,205041096,House,154.33159,1.32767,0.71963,0.4647699999999999,3.5427,4.09979,4.0025,,210.0
"1 KENDALL COURT, MINERS REST",3.0,2.0,2,3352,201011008,House,122.42629,4.31088,3.97122,5.41198,,,,5.57631,280.0
"1 LACHLAN CLOSE, BIG HILL",3.0,2.0,1,3555,203031049,House,125.32476,19.4001,13.59628,,,21.12245,12.95324,,340.0
"1 LAUREN COURT, EPPING",3.0,2.0,0,3076,209041431,House,24.12604,3.29921,1.1228699999999998,3.4379,,,,,320.0
"1 LAVIAH COURT, TEMPLESTOWE",4.0,2.0,2,3106,207021159,House,25.92141,0.82712,2.98975,,,,,,490.0
"1 LAWRENCE STREET, FRYERSTOWN",3.0,1.0,2,3451,202021028,House,118.93564,20.54658,10.29893,,10.221,29.41356,24.65003,,300.0
"1 LONGWARRY ROAD, TYNONG",3.0,1.0,0,3813,212011547,House,73.42591,5.01133,4.98109,,0.61146,8.83982,8.7497,,340.0
"1 LONSDALE STREET, SOUTH GEELONG",4.0,1.0,1,3220,203021039,House,80.24252,0.64713,0.4172599999999999,1.27321,0.305,1.30175,1.83302,,380.0
"1 LOWER ROAD, WATTLE GLEN",5.0,2.0,2,3096,209031215,House,32.11396,0.61383,1.19928,,0.3606399999999999,,2.93271,,500.0
"1 LUSCOMBE AVENUE, CARRUM DOWNS",3.0,1.0,2,3201,214011370,House,47.40962,1.73233,1.05534,,,,,,270.0
"1 LYELL STREET, ST KILDA",2.0,1.0,0,3182,206051513,Apartment,7.341810000000001,0.68101,0.89544,0.98045,,,,,420.0
"1 MAGPIE STREET, BALLARAT",3.0,1.0,1,3350,201011483,House,114.85438,0.30993,0.57265,0.7984600000000001,,,,,230.0
"1 MAGPIE STREET, GOLDEN POINT",3.0,1.0,3,3451,201011483,House,114.85438,0.30993,0.57265,0.7984600000000001,,,,,235.0
"1 MARY BRYANT COURT, MILL PARK",4.0,2.0,2,3082,209041220,House,22.667060000000003,,3.09301,,,,,,353.3333333333333
"1 MASKREY STREET, TRARALGON",3.0,1.0,1,3844,205041493,House,165.63061,,0.76855,0.5154500000000001,2.28156,,3.527,,190.0
"1 MAXWELL STREET, TYLDEN",3.0,1.0,2,3444,202021030,House,81.01797,13.27026,0.94181,11.75717,2.29484,12.28625,11.77607,,300.0
"1 MCKILLOP PLACE, GEELONG",3.0,2.0,1,3220,203021039,House,79.5689,0.61334,0.90832,0.6437,1.0554400000000002,1.12027,1.20351,,410.0
"1 MEADOWS COURT, CHADSTONE",3.0,2.0,4,3148,212051319,House,18.54473,2.29349,4.253970000000001,2.50611,,,,,406.6666666666667
"1 MESSMATE STREET, KILCUNDA",5.0,2.0,2,3995,205031093,House,121.88042,4.59708,7.20851,14.15806,7.55313,13.91016,9.34508,,420.0
"1 MILLEWA AVENUE, MALVERN EAST",3.0,2.0,2,3145,208041195,House,18.12912,0.8780399999999999,1.18831,1.30811,1.4931800000000002,,,1.05803,850.0
"1 MOUAT STREET, SAILORS GULLY",3.0,1.0,1,3556,202011019,House,165.70776999999998,2.06158,0.5715399999999999,3.00397,1.6021500000000002,,2.2162,,285.0
"1 NORRIS STREET, NOBLE PARK",3.0,1.0,0,3174,212041460,House,34.50291,1.3068499999999998,1.58299,,1.61531,,,,290.0
"1 OCEAN TERRACE, SKENES CREEK",3.0,1.0,0,3233,217031476,House,194.81555,19.95658,32.4516,,36.91482,5.80938,6.065720000000001,,400.0
"1 OMEO HIGHWAY, OMEO",2.0,1.0,0,3898,205021082,House,401.75263,1.12381,1.42186,1.24897,90.33648,1.14592,1.80306,,150.0
"1 PEARCE STREET, LAVERTON",3.0,1.0,2,3028,213051363,House,20.71577,0.58993,0.4075299999999999,,2.1093200000000003,,1.74356,,280.0
"1 PEREGRINE DRIVE, KINGLAKE WEST",3.0,1.0,0,3757,209031211,House,63.16566,25.21577,0.2415,,,,,,300.0
"1 PINE CLOSE, WOODEND",4.0,2.0,2,3442,202021031,House,72.44677,2.36617,2.45853,,3.02631,,2.72162,,420.0
"1 POINSETTIA COURT, BUNDOORA",2.0,2.0,1,3083,209041217,House,17.32512,1.02795,1.79228,,,,,,325.0
"1 RAGLAN STREET, NEWTOWN",3.0,1.0,0,3220,203021046,House,79.06789,1.0523699999999998,1.2086,,,,,,380.0
"1 RAILWAY AVENUE, YACKANDANDAH",4.0,1.0,3,3749,204031075,House,297.32847,10.58579,0.8198200000000001,,29.52912,0.86441,0.21858,,290.0
"1 RAINBOW TROUT AVENUE, EAST WARBURTON",3.0,2.0,2,3799,211051286,House,84.0423,12.03581,3.65457,19.49303,,,9.27694,,260.0
"1 ROMERIL COURT, ALTONA MEADOWS",3.0,2.0,1,3028,213021342,House,25.12819,0.43565,2.24681,,,,,,325.0
"1 SAMADA STREET, NOTTING HILL",3.0,1.0,1,3168,212051567,House,22.39736,0.7004600000000001,0.50049,1.21879,,,,,350.0
"1 SANDRA COURT, LANGWARRIN SOUTH",3.0,1.0,1,3911,214011374,House,54.19752,3.70155,,5.244260000000001,7.06492,,,,270.0
"1 SANTA MONICA DRIVE, KEILOR LODGE",3.0,2.0,2,3038,213011340,House,22.72227,1.82428,,,3.3820300000000003,,,,370.0
"1 SAVIOUR ROAD, BURNSIDE HEIGHTS",3.0,2.0,1,3023,213041462,House,33.14983,,1.6118800000000002,,,,,,395.0
"1 STATION ROAD, WILLIAMSTOWN",3.0,1.0,0,3016,213021346,House,13.54212,1.54222,0.29024,0.6667000000000001,1.44362,1.02702,2.03365,,500.0
"1 STREETON COURT, ROWVILLE",3.0,1.0,2,3178,211011258,House,33.52376,1.14968,,,,,,,345.0
"1 SYMES ROAD, HARCOURT",2.0,1.0,2,3453,202021028,House,121.26695,0.70868,0.54523,,0.40685,24.27576,23.65834,,285.0
"1 TARA CLOSE, ROWVILLE",4.0,2.0,2,3178,211011258,House,35.614830000000005,1.05743,,,,,,,480.0
"1 TATURA ROAD, RUSHWORTH",2.0,1.0,1,3612,216011410,House,170.97610999999998,6.698390000000001,0.83074,,0.3907,0.35184,0.72362,,170.0
"1 THE AVENUE, POINT COOK",4.0,2.0,2,3030,213051580,House,26.05369,,,1.63538,,,,,320.0
"1 THE BROADWAY, MORIAC",3.0,2.0,2,3240,203011036,House,98.90803,3.77669,0.22159,,0.26441,21.9552,20.93487,,340.0
"1 TIEMAN ROAD, YARRAMBAT",5.0,3.0,2,3091,209031213,House,30.2843,3.319,0.6315,,,,,,660.0
"1 TOWNSEND STREET, KENNINGTON",3.0,2.0,2,3550,202011020,House,152.85719,,1.49578,,,,,,320.0
"1 TRISTAN DRIVE, SEBASTOPOL",3.0,2.0,2,3356,201011484,House,117.70613,1.2314,1.7054,,,,,,300.0
"1 VARDON AVENUE, BEAUMARIS",3.0,2.0,2,3193,208011168,House,22.67687,1.2309,0.51554,1.4233399999999998,,,1.8072,2.18941,404.0
"1 VICTORIA STREET, NORTH GEELONG",3.0,2.0,1,3215,203021047,House,71.21634,0.77778,0.76449,2.8622,0.18206,,,,350.0
"1 WARNER AVENUE, ASHBURTON",2.0,1.0,2,3147,207011146,House,14.68085,0.1356699999999999,0.65315,,0.75339,,0.74076,,420.0
"1 WEIGELA COURT, FRANKSTON",3.0,1.0,1,3199,214011372,House,54.0186,0.4316,0.5529,0.94588,,,,1.13379,280.0
"1 WENTWORTH LANE, BURNSIDE HEIGHTS",2.0,1.0,1,3023,213041462,House,32.61558,,0.8843300000000001,,,,,,320.0
