address,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,weekly_rent
"1 / 55 VINEY STREET, CLARINDA",3.0,1.0,3,3169,212041309,House,24.81708,1.27257,0.90161,,,460.0
"1 / 58 BARRINGTON ST, BENTLEIGH EAST",2.0,1.0,1,3165,208021426,Other,20.73139,2.06424,0.94831,1.97052,,515.0
"1 / 7 STAFFORD STREET, HERNE HILL",2.0,1.0,1,3218,203021040,Other,77.67288,0.37176,1.39678,2.23197,,320.0
"1 / 724 HAWTHORN ROAD, BRIGHTON EAST",3.0,2.0,1,3187,208011170,Other,15.50505,0.75913,0.08707,1.54175,,650.0
"1 / 77 OGILVIE STREET, ESSENDON",3.0,2.0,2,3040,206031501,Other,11.46599,1.48982,1.57149,0.82573,,440.0
"1 / 88 VIEW STREET, GLENROY",2.0,1.0,1,3046,210031535,Other,15.26227,0.64971,0.3665,1.19521,,370.0
"1 / 9 COLONEL STREET, CLAYTON",3.0,2.0,1,3168,212051568,Apartment,23.83905,0.91503,0.9635,0.59186,0.88049,440.0
"1 / 9 KINIRY STREET, BOORT",1.0,1.0,1,3537,202031033,Other,257.54681,0.55318,0.6556900000000001,0.56802,0.96737,130.0
"1 ACUBA CLOSE, ST ALBANS",3.0,2.0,2,3021,213011334,House,24.45502,0.5538200000000001,1.61328,1.4691800000000002,0.7556499999999999,400.0
"1 ALEXIA DRIVE, BERWICK",4.0,2.0,2,3806,212021553,House,50.01454,3.51168,0.3635199999999999,1.49505,,430.0
"1 ALMA AVENUE, ALTONA MEADOWS",3.0,1.0,2,3028,213021342,House,23.55871,0.3671999999999999,0.68125,,,350.0
"1 ALMA ST, NYAH WEST",2.0,1.0,0,3595,215031405,House,369.87819,18.448400000000003,1.02063,,1.1841700000000002,155.0
"1 ALMA STREET, NYAH WEST",2.0,1.0,1,3595,215031405,Other,369.87819,18.448400000000003,1.02063,,1.1841700000000002,155.0
"1 ARMADALE DRIVE, NARRE WARREN",3.0,1.0,2,3805,212021456,Other,43.96049,0.25261,1.11437,4.682060000000001,1.64403,350.0
"1 ASHBROOK WAY, CRANBOURNE WEST",4.0,2.0,2,3977,212031304,House,51.93514,3.11794,3.39315,3.06377,,410.0
"1 AVIARY COURT, STRATHDALE",2.0,1.0,1,3550,202011020,Other,154.11747,3.3208800000000003,1.0635899999999998,1.44576,,240.0
"1 AVON COURT, BUNDOORA",3.0,1.0,1,3083,209011196,House,16.2791,0.99519,0.93857,0.88303,,360.0
"1 B STURT STREET, SUNSHINE",2.0,1.0,2,3020,213011336,House,13.095540000000002,0.94936,0.43619,2.29399,1.84733,410.0
"1 BABINGTON CLOSE, HASTINGS",4.0,2.0,2,3915,214021379,House,75.25955,0.49823,1.97013,0.37845,1.17803,410.0
"1 BAGOT STREET, WARRAGUL",3.0,1.0,2,3820,205011079,House,103.84105,2.00273,1.11276,0.77564,2.94435,320.0
"1 BALTIMORE DRIVE, POINT COOK",4.0,2.0,2,3030,213051581,House,26.96794,,1.9835,2.25284,,440.0
"1 BANDICOOT LANE, BANDIANA",3.0,2.0,2,3691,204031491,House,316.77134,1.58858,1.48443,4.91044,7.052560000000001,370.0
"1 BANOOL COURT, FRANKSTON SOUTH",3.0,1.0,2,3199,214011373,Other,55.74444,1.15015,1.72347,0.44511,,475.0
"1 BATEY CRESCENT, MILDURA",3.0,1.0,2,3500,215021470,House,540.02969,0.26123,2.25083,1.87899,,235.0
"1 BAY LAUREL COURT, LYNBROOK",4.0,2.0,2,3975,212031306,House,44.11307,1.74009,1.972,,4.57607,431.0
"1 BEACH ROAD, RHYLL",3.0,2.0,4,3923,205031091,House,138.24348,1.30268,7.05783,8.720979999999999,,399.0
"1 BEAUMONT AVE, CHARLEMONT",3.0,2.0,2,3217,203031053,House,95.29367,2.4098200000000003,6.22767,5.48241,,375.0
"1 BECKWITH STREET, COBURG",3.0,1.0,3,3058,206011497,Other,9.42921,0.59593,0.58212,0.39799,,570.0
"1 BEECH STREET, SURREY HILLS",2.0,1.0,1,3127,207031167,House,14.19097,0.90521,1.06194,,2.6055,450.0
"1 BENT STREET, KENSINGTON",3.0,1.0,0,3031,206041121,House,3.96447,0.7827000000000001,0.97766,1.85956,0.71215,600.0
"1 BETHELA STREET, CAMBERWELL",2.0,1.0,2,3124,207011149,Other,14.13584,1.36703,0.53923,3.75858,1.84877,485.0
"1 BITTERN STREET, MELTON",3.0,1.0,2,3337,213041577,House,46.79107,0.93712,1.31872,,,290.0
"1 BOURKE STREET, BRUNSWICK",3.0,1.0,0,3056,206011495,House,5.519489999999999,0.6450199999999999,1.97431,,1.26942,495.0
"1 BOUVERIE STREET, CARLTON",2.0,1.0,1,3053,206041117,Other,1.46955,0.54598,1.1844400000000002,0.85576,,338.3333333333333
"1 BRAEMAR CLOSE, GLADSTONE PARK",3.0,2.0,2,3043,210051245,House,19.21522,1.5753499999999998,0.36366,1.08349,,400.0
"1 BRAESWOOD ROAD, KINGS PARK",3.0,1.0,2,3021,213011333,House,26.32177,0.45112,0.4731499999999999,0.4981,,350.0
"1 BURNBANK STREET, LAKE WENDOUREE",3.0,1.0,1,3350,201011002,House,116.93905,1.7592,1.52302,2.19016,3.31418,230.0
"1 BURSARIA STREET, JACKASS FLAT",4.0,2.0,2,3556,202011019,House,158.81103,1.8313,3.48393,3.01512,4.46125,325.0
"1 CANTALA DRIVE, DONCASTER",4.0,2.0,2,3108,207021157,Other,19.32405,2.39421,0.84324,2.18968,,700.0
"1 CARAMUT COURT, WARRANWOOD",3.0,2.0,2,3134,211031265,Other,31.46725,1.23683,0.86478,3.91136,,490.0
"1 CARLISLE COURT, SHEPPARTON",3.0,1.0,2,3630,216031594,House,180.17052,2.47195,0.87612,0.85709,2.9025700000000003,290.0
"1 CARR ST, BELMONT",3.0,1.0,1,3216,203021037,House,87.86048,0.6512899999999999,0.41757,1.21917,,360.0
"1 CARR STREET, BELMONT",3.0,1.0,1,3216,203021037,House,87.85613000000001,0.65565,0.42193,1.21481,,360.0
"1 CASHIN COURT, MELTON",3.0,1.0,2,3337,213041577,Other,44.75445,3.08406,1.66873,,,340.0
"1 CAVILL COURT, VERMONT SOUTH",4.0,2.0,2,3133,211041273,House,35.22376,2.02514,0.90286,1.83844,0.68331,560.0
"1 CHARLES DRIVE, PEARCEDALE",3.0,1.0,2,3912,212031308,House,63.45152,1.3683800000000002,0.94744,,19.53329,430.0
"1 CHIFLEY DRIVE, MARIBYRNONG",2.0,2.0,0,3032,213031349,House,8.496049999999999,0.17565,1.13096,2.34768,,400.0
"1 CHRISTINE COURT, SEAFORD",3.0,1.0,1,3198,214011375,House,51.182,1.27927,1.08032,7.03961,3.90673,360.0
"1 COLONIAL CLOSE, WHEELERS HILL",3.0,2.0,2,3150,212051327,House,26.61916,1.10157,0.34642,2.23622,,470.0
"1 CONNOLLY AVENUE, COBURG",3.0,1.0,1,3058,206011497,Other,9.00763,0.30025,1.49134,0.7053400000000001,,450.0
"1 CORVI COURT, LARA",4.0,2.0,2,3212,203021043,House,60.06243,0.4482799999999999,1.40279,0.47134,1.3224200000000002,365.0
"1 CREWEN WALK, KEILOR DOWNS",4.0,2.0,2,3038,213011332,House,23.49069,0.82739,0.15878,0.2917,,460.0
"1 DALPURA CIRCUIT, FRANKSTON",3.0,2.0,2,3199,214011372,House,53.96774,0.73411,0.61282,1.39149,,385.0
"1 DAVANZO AVENUE, CLARINDA",4.0,2.0,2,3169,212041309,Other,25.01535,1.47084,2.34883,,,550.0
"1 DELEPAN DRIVE, TYABB",3.0,1.0,2,3913,214021385,House,67.82771000000001,0.2620699999999999,0.92525,2.4657,1.05948,350.0
"1 DENTON STREET, BRIGHTON EAST",4.0,2.0,2,3187,208011170,House,18.00028,1.26958,1.99368,1.6993900000000002,,750.0
"1 DIABLO PLACE, CRAIGIEBURN",4.0,2.0,2,3064,210051443,House,26.92667,3.26937,2.75245,2.90942,5.59378,420.0
"1 DON DRIVE, CRANBOURNE WEST",3.0,1.0,0,3977,212031304,House,52.181050000000006,3.36385,3.55152,0.5153300000000001,,320.0
"1 DOREY STREET, PETERBOROUGH",2.0,1.0,4,3270,217041477,House,253.31163,1.20199,12.68712,73.96457000000001,42.5561,700.0
"1 DRIFTWOOD COURT, MOUNT MARTHA",3.0,2.0,2,3934,214021382,Other,73.21234,0.75617,1.42625,,,520.0
"1 DUNDAS STREET, EDENHOPE",3.0,1.0,2,3318,215011393,House,392.00444,5.84648,0.31031,0.2166699999999999,38.829,250.0
"1 EGGLETON COURT, PRESTON",3.0,1.0,2,3072,209021428,House,12.30026,1.41223,0.65562,0.97141,2.79295,470.0
"1 ELDER ST, CLARINDA",3.0,1.0,1,3169,212041309,House,22.95879,2.32965,0.20751,,,420.0
"1 ELDER STREET, CLARINDA",3.0,1.0,2,3169,212041309,House,22.96014,2.331,0.20886,,,410.0
"1 ELIZA CLOSE, WARRANWOOD",4.0,2.0,2,3134,211031265,House,32.79418,0.6675599999999999,0.95684,3.70991,,550.0
"1 ENDEAVOUR DRIVE, CRANBOURNE NORTH",3.0,1.0,2,3977,212031560,House,48.77492,0.60303,0.97511,0.89876,,320.0
"1 EVAN STREET, BERWICK",3.0,1.0,2,3806,212021293,Other,45.65341,0.23863,0.88142,1.26444,1.23949,363.3333333333333
"1 FERNSHAW PLACE, SUNBURY",4.0,3.0,2,3429,210041540,House,39.87179,1.11173,0.81528,,1.85956,435.0
"1 FERNWOOD ROAD, NARRE WARREN",4.0,1.0,2,3805,212021456,House,42.14383,0.43357,1.04099,1.54879,2.41194,350.0
"1 FINK COURT, HOPPERS CROSSING",3.0,1.0,2,3029,213051362,House,31.68962,3.00325,0.24549,2.61146,,370.0
"1 FINTONIA ROAD, NOBLE PARK",3.0,1.0,2,3174,212041459,House,32.9973,0.7525599999999999,1.05597,1.03879,0.91893,390.0
"1 FISHER STREET, WENDOUREE",3.0,2.0,2,3355,201011008,Other,120.77516,1.07353,1.69146,2.84728,,350.0
"1 FLETCHER LANE, CARLTON NORTH",2.0,1.0,1,3054,206071140,Other,3.54799,2.73797,0.90842,0.8438300000000001,,570.0
"1 FLORIDA COURT, BURNSIDE HEIGHTS",3.0,2.0,3,3023,213041462,House,31.12178,,0.4153199999999999,,,400.0
"1 FRUIT LANE, WANTIRNA SOUTH",3.0,2.0,1,3152,211011260,House,33.787589999999994,0.75113,0.5965900000000001,1.3679100000000002,,502.5
"1 FYANS STREET, YARRAVILLE",3.0,2.0,2,3013,213031352,Other,10.1449,0.78546,0.86191,1.69736,1.59328,750.0
"1 GAVITT, GLENORCHY",3.0,1.0,0,3385,215011392,House,262.0482,0.61509,0.68652,28.27201,2.29673,380.0
"1 GAWALLA STREET, RYE",3.0,2.0,2,3941,214021383,House,103.12212,0.28257,2.81739,,,410.0
"1 GIDDINGS STREET, NORTH GEELONG",3.0,1.0,1,3215,203021047,House,76.12969,0.8169,1.93949,1.89741,1.35706,325.0
"1 GILES COURT, WERRIBEE",3.0,2.0,2,3030,213051467,House,31.67049,1.66781,0.5382,1.61326,,350.0
"1 GLADMAN COURT, KOROIT",3.0,1.0,2,3282,217041478,House,273.80253000000005,0.99163,0.6215,26.61841,7.82757,360.0
"1 GLENDALE AVE, EPPING",3.0,1.0,0,3076,209041431,House,22.8285,2.09089,0.43312,1.83801,,340.0
"1 GLENDALE AVENUE, EPPING",3.0,1.0,0,3076,209041431,House,22.87718,2.13957,0.40939,1.78933,,340.0
"1 GOLCONDA CLOSE, HOPPERS CROSSING",3.0,2.0,2,3029,213051361,House,27.81258,1.08339,2.85179,4.67821,3.85063,390.0
"1 GOLDEN SPRINGS AVENUE, HEPBURN SPRINGS",2.0,1.0,1,3461,201021011,House,116.80947,1.65432,1.09393,5.64676,5.09114,325.0
"1 GOODWIN STREET, TOONGABBIE",3.0,2.0,6,3856,205041098,House,178.35627,0.51349,0.55524,,0.43235,270.0
"1 GOOSEBERRY MEWS, BERWICK",4.0,2.0,2,3806,212021293,House,45.67247,0.81575,0.82357,1.64478,1.61983,398.3333333333333
"1 GRAIL COURT, GLEN WAVERLEY",3.0,2.0,2,3150,212051321,House,22.99935,2.44003,0.53264,1.15035,,540.0
"1 GREENFIELDS DRIVE, MORIAC",3.0,2.0,4,3240,203011036,House,99.76514,1.26031,0.90751,,1.15431,480.0
"1 GREENWOOD DRIVE, KENNINGTON",4.0,2.0,1,3550,202011020,Other,153.45156,3.61552,0.96704,2.5089,,480.0
"1 GREVILLIA COURT, ALTONA MEADOWS",4.0,2.0,7,3028,213021342,House,24.21739,0.60349,0.86521,,,430.0
"1 GUINEY ST, TONGALA",3.0,1.0,1,3621,216011407,House,211.77316,8.57318,0.59525,14.83396,1.24623,210.0
"1 GUINEY STREET, TONGALA",3.0,1.0,2,3621,216011407,House,211.78817,8.588209999999998,0.6102799999999999,14.84898,1.26126,210.0
"1 HAMMENCE STREET, GLEN WAVERLEY",2.0,1.0,1,3150,212051321,House,26.04323,2.19621,0.5142,2.44047,,460.0
"1 HAMMOND COURT, ALTONA MEADOWS",3.0,1.0,4,3028,213021342,House,24.39823,0.79896,1.65685,,,420.0
"1 HANI COURT, TORQUAY",3.0,2.0,2,3228,203031053,Other,102.51246,0.83275,1.7716500000000002,2.9293,,490.0
"1 HARRIET STREET, SEDDON",3.0,1.0,6,3011,213031350,Other,8.05959,0.40925,,,1.46895,520.0
"1 HARVEY COURT, ROXBURGH PARK",4.0,2.0,2,3064,210051544,House,22.13128,,1.5593,1.91224,1.59351,370.0
"1 HASLUCK CRESCENT, LYNBROOK",4.0,2.0,2,3975,212031306,House,43.68234,0.58297,0.81489,,4.68894,420.0
"1 HEDLINE PL, MACLEOD",3.0,2.0,2,3085,209011203,House,19.634400000000003,1.41527,1.34659,2.28032,3.01052,470.0
"1 HEDLINE PLACE, MACLEOD",3.0,2.0,2,3085,209011203,House,19.634400000000003,1.41527,1.34659,2.28032,3.01052,470.0
"1 HENRY STREET, ASCOT",3.0,1.0,1,3551,206041121,House,4.36052,0.34037,0.33673,1.3449,0.25741,650.0
"1 HERRIOT STREET, BUNINYONG",5.0,2.0,4,3357,201011005,House,121.44124,0.95008,0.72937,,,750.0
"1 HICKS COURT, TRARALGON",3.0,1.0,2,3844,205041494,House,162.61388,,0.7261299999999999,0.92897,,250.0
"1 HIGH STREET, CHILTERN",3.0,2.0,2,3683,204031070,House,279.87009,5.8099,0.92125,,1.44744,290.0
"1 HIGHFIELD COURT, TRARALGON",4.0,2.0,2,3844,205041493,Other,167.11345,,3.42429,3.1841500000000003,4.56981,380.0
"1 HOBBS COURT, TONGALA",3.0,2.0,2,3621,216011407,House,213.02566,9.83074,0.92982,15.97323,1.22019,370.0
"1 HOBBS CT, TONGALA",3.0,2.0,2,3621,216011407,House,213.02566,9.83074,0.92982,15.97323,1.22019,370.0
"1 HOLMES COURT, WODONGA",3.0,1.0,3,3690,204031492,House,313.45956,0.04171,2.14952,2.22607,2.8136300000000003,270.0
"1 HOMEBUSH COURT, MILDURA",2.0,1.0,1,3500,215021470,Other,542.71719,0.82978,0.50257,1.71619,,251.66666666666666
"1 HOOP COURT, WAURN PONDS",3.0,2.0,2,3216,203021487,Other,85.76147,0.4735899999999999,2.52585,1.99837,1.83388,360.0
"1 HOWITT COURT, BERWICK",4.0,2.0,2,3806,212021293,House,44.87368,0.37847,1.13559,1.4634,3.62988,390.0
"1 HOYLAKE AVENUE, JAN JUC",2.0,2.0,2,3228,203031053,Other,104.73945,1.0438,2.65659,3.13873,,450.0
"1 INGLISBY ROAD, MONT ALBERT",3.0,3.0,2,3127,207031167,Other,18.73561,2.75952,0.45352,,0.12532,830.0
"1 IRVINE AVENUE, MOUNT MARTHA",4.0,2.0,2,3934,214021382,House,78.68727,0.75039,1.43512,,,900.0
"1 JAMIESON DR, ECHUCA",3.0,1.0,2,3564,216011406,House,208.53656,1.2763399999999998,2.02026,0.6922999999999999,4.373,400.0
"1 JEAN COURT, MITCHELL PARK",3.0,1.0,2,3355,201011008,Other,121.17458,0.9001,1.21156,1.56219,,320.0
"1 JERICO PLACE, RAWSON",2.0,1.0,1,3825,205011077,House,171.53669,0.75478,0.78991,75.157,,220.0
"1 JIANNI WAY, BERWICK",3.0,2.0,2,3806,212021554,House,48.95684,,3.0318400000000003,,,420.0
"1 JOWETT AVENUE, SUNSHINE WEST",3.0,2.0,4,3020,213011338,House,19.36424,0.6621,0.27638,1.43321,3.34241,340.0
"1 KENDALL COURT, MINERS REST",3.0,2.0,2,3352,201011008,House,122.42629,4.31088,3.97122,4.75599,,310.0
"1 KEOGH STREET, BURWOOD",3.0,1.0,2,3125,212051319,House,16.27554,1.09052,1.75169,2.28164,,350.0
"1 KIM CLOSE, MEADOW HEIGHTS",3.0,1.0,1,3048,210051247,House,18.79216,2.17084,1.53053,,,360.0
"1 KIMBERLEY DRIVE, CHIRNSIDE PARK",2.0,1.0,1,3116,211051275,Other,37.220870000000005,0.6664500000000001,0.7884800000000001,1.67774,,380.0
"1 KINGFISHER AVENUE, ROSEBUD WEST",3.0,1.0,2,3940,214021384,House,94.34899,0.61627,2.67937,2.3744,,400.0
"1 KITCHENER STREET, KEW EAST",4.0,3.0,2,3102,207011154,Other,9.59433,0.25177,0.11278,2.23964,,890.0
"1 KNIGHT AVENUE, HERNE HILL",2.0,1.0,2,3218,203021040,House,77.0265,0.27606,0.69713,1.53233,,330.0
"1 LAING PLACE, MACLEOD",2.0,1.0,2,3085,209011203,House,18.24498,2.14276,2.6147600000000004,2.35367,2.2961,375.0
"1 LALEHAM COURT, FRANKSTON",4.0,3.0,1,3199,214011372,House,53.57006,0.32099,0.36489,1.21472,,450.0
"1 LALOR STREET, BALLARAT EAST",3.0,1.0,2,3350,201011481,House,112.39206,0.89206,1.35829,0.84204,1.35843,295.0
"1 LANDSBOROUGH AVENUE, ROWVILLE",3.0,2.0,2,3178,211011257,House,37.04864,1.53707,0.83384,,,455.0
"1 LAURA AVENUE, BELMONT",3.0,1.0,0,3216,203021037,House,87.75972999999999,0.84534,0.64177,0.94892,,360.0
"1 LAVIAH COURT, TEMPLESTOWE",4.0,2.0,2,3106,207021159,House,25.92141,0.82712,2.98975,,,550.0
"1 LITTLE DODDS STREET, GOLDEN POINT",3.0,1.0,0,3451,201011483,House,114.8592,0.43855,0.99163,0.737,,250.0
"1 LITTLE GEORGE STREET, FITZROY",2.0,2.0,1,3065,206071142,Other,2.07967,0.89013,0.85458,1.13165,0.9029,645.0
"1 LIUZZI DRIVE, TORQUAY",3.0,2.0,2,3228,203031053,Other,103.1518,1.75231,0.34726,0.39897,,440.0
"1 LUSCOMBE AVENUE, CARRUM DOWNS",3.0,1.0,2,3201,214011370,House,47.40962,1.73233,1.05534,3.801,,360.0
"1 LYELL STREET, ST KILDA",2.0,1.0,0,3182,206051513,Other,7.341810000000001,0.68101,0.89544,0.98045,,450.0
"1 MADDERN STREET, BLACK HILL",3.0,2.0,2,3350,201011482,House,114.73088,1.43039,0.73034,4.636640000000001,2.4403,350.0
"1 MARCELLIN ROAD, BULLEEN",4.0,2.0,2,3105,207021156,Other,14.84641,0.17822,0.798,1.26305,,620.0
"1 MARCHANT AVENUE, RESERVOIR",2.0,1.0,1,3073,209021523,House,12.88149,0.94712,1.03794,,1.55826,375.0
"1 MARCUS COURT, NARRE WARREN",3.0,1.0,1,3805,212021456,Other,40.74779,0.91163,1.16179,1.23362,3.5607800000000003,370.0
"1 MARIGOLD STREET, WENDOUREE",3.0,1.0,2,3355,201011008,House,121.36514,0.65292,0.4855299999999999,0.71086,,260.0
"1 MARLEE CRT, GROVEDALE",4.0,2.0,2,3216,203021487,Other,86.78896,0.18347,0.92194,1.56955,3.65159,430.0
"1 MARSHALL STREET, TOOTGAROOK",3.0,1.0,1,3941,214021383,Other,95.99988,0.80459,1.69267,,,550.0
"1 MARY STREET, WARRAGUL",4.0,2.0,6,3820,205011079,House,104.48826,0.5791499999999999,0.8702000000000001,1.85709,1.2073,410.0
"1 MAVIS AVENUE, BRIGHTON EAST",3.0,3.0,2,3187,208011170,House,14.52209,0.94396,0.36139,2.85287,,1087.5
"1 MCBRIDE ROAD, BEACONSFIELD UPPER",3.0,2.0,1,3808,212011289,House,53.19899,0.76264,1.2943,14.99398,12.41793,395.0
"1 MCKILLOP PLACE, GEELONG",3.0,2.0,1,3220,203021039,House,79.5689,0.40002,0.90832,0.6437,1.0554400000000002,500.0
"1 MEADOWS COURT, CHADSTONE",3.0,2.0,4,3148,212051319,House,18.54473,2.29349,2.12407,1.95715,,410.0
"1 MERION COURT, ROWVILLE",4.0,2.0,3,3178,211011256,House,34.77807,0.97348,1.38407,1.38715,,630.0
"1 MEYER STREET, DONALD",3.0,1.0,1,3480,215031400,House,277.92206,1.17699,0.07446,1.40223,0.34929,200.0
"1 MIDDLETON DRIVE, WOORI YALLOCK",3.0,1.0,3,3139,211051286,House,59.29755,0.74056,1.22272,9.26369,,330.0
"1 MORLOC ST, FOREST HILL",2.0,1.0,0,3131,211041269,House,25.14339,,0.79576,1.35387,3.60272,340.0
"1 MORLOC STREET, FOREST HILL",2.0,1.0,1,3131,211041269,House,25.12746,,0.77983,1.33794,3.58679,340.0
"1 MORNANE STREET, PRESTON",2.0,1.0,2,3072,209021428,House,10.63365,1.71586,1.01046,1.70251,2.3215700000000004,490.0
"1 MORRIS STREET, MINYIP",2.0,1.0,2,3392,215011394,House,305.27359,22.255560000000003,0.9702,27.11304,1.1755799999999998,110.0
"1 MOTEL COURT, LAUNCHING PLACE",3.0,1.0,0,3139,211051286,House,63.14301,4.58703,0.91339,5.53643,,360.0
"1 MOULDER STREET, DIMBOOLA",2.0,1.0,1,3414,215011390,House,336.72878000000003,1.08915,1.6058,2.39747,1.2180799999999998,175.0
"1 NANTA COURT, SEBASTOPOL",3.0,2.0,1,3356,201011484,Other,119.26985,1.03384,0.07325,1.10434,,300.0
"1 NARONG CRESCENT, KNOXFIELD",3.0,2.0,3,3180,211011254,House,36.72702,1.14213,1.49139,1.2557,,435.0
"1 NIRVANA CRESCENT, BULLEEN",4.0,2.0,3,3105,207021156,House,15.19033,1.0796400000000002,0.51563,2.67057,,490.0
"1 NORFOLK CRESCENT, CORIO",3.0,1.0,2,3214,203021486,House,66.93338,0.82299,0.20616,2.04187,3.5505500000000003,280.0
"1 NORHAM COURT, BERWICK",3.0,1.0,2,3806,212021553,House,46.83197,0.72021,1.07272,1.16188,,340.0
"1 NORRIS STREET, NOBLE PARK",3.0,1.0,0,3174,212041460,House,34.50291,1.3068499999999998,1.58299,,1.61531,300.0
