address,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,weekly_rent
"1 / 87 BARRIES RD, BUSHFIELD",2.0,1.0,0,3281,217041479,Apartment,260.46094,5.7136700000000005,3.36439,5.82849,11.63235,130.0
"1 / 87 BRANDY CREEK ROAD, WARRAGUL",2.0,1.0,1,3820,205011079,Apartment,105.30555,2.31678,0.59424,3.66452,2.68445,190.0
"1 ALMA STREET, NYAH WEST",2.0,1.0,1,3595,215031405,Apartment,369.87819,18.448400000000003,1.02063,,1.1841700000000002,145.0
"1 AMBROSIA DRIVE, CONNEWARRE",4.0,2.0,2,3228,203031053,House,99.93431,2.06937,3.0625,1.72003,,380.0
"1 ANCONA CLOSE, KEILOR LODGE",3.0,2.0,8,3038,213011340,House,23.41886,1.32742,3.04116,1.63946,2.98299,380.0
"1 ARCOTS COURT, WATERWAYS",3.0,2.0,2,3195,208031183,House,42.44836,2.47841,2.41739,,,450.0
"1 ARMADALE DRIVE, NARRE WARREN",3.0,1.0,2,3805,212021456,House,43.96049,0.25261,1.11437,4.682060000000001,1.64403,340.0
"1 ASH COURT, RED CLIFFS",3.0,1.0,1,3496,215021399,House,527.6461899999999,2.36686,1.31633,1.61998,0.8301499999999999,175.0
"1 AVON COURT, BUNDOORA",3.0,1.0,1,3083,209011196,House,16.28041,0.99519,0.93857,0.88303,,360.0
"1 BAILDOR COURT, CRANBOURNE",4.0,2.0,2,3977,212031300,House,52.33548,2.02944,2.85364,4.27619,4.63341,320.0
"1 BANOOL COURT, FRANKSTON SOUTH",3.0,1.0,2,3199,214011373,House,55.74444,1.15015,1.72347,0.44511,,330.0
"1 BARTON PLACE, EASTWOOD",3.0,2.0,2,3875,205021081,House,282.88763,3.63292,0.27001,3.40847,3.75368,330.0
"1 BEAUMONT DRIVE, BEECHWORTH",3.0,2.0,1,3747,204031068,House,275.59119,1.22349,0.5909099999999999,0.85768,1.66802,280.0
"1 BEDFORD COURT, HOPPERS CROSSING",3.0,1.0,1,3029,213051362,House,28.72801,1.34704,1.00803,2.0026,,280.0
"1 BEECH STREET, SURREY HILLS",2.0,1.0,1,3127,207031167,House,14.19097,,1.06194,,2.6055,450.0
"1 BELLFIELD DRIVE, LYSTERFIELD",3.0,1.0,2,3156,211011255,House,39.22657,0.77974,0.6755800000000001,,,380.0
"1 BEREA COURT, RINGWOOD",5.0,2.0,2,3134,211031266,House,28.74455,0.55851,1.04809,0.66811,2.38633,500.0
"1 BETHELA STREET, CAMBERWELL",2.0,1.0,2,3124,207011149,Apartment,14.13584,1.4261,0.53923,3.75858,1.84877,470.0
"1 BLUE GUM DRIVE, PAKENHAM SOUTH",3.0,1.0,1,3810,212011549,House,63.01391,,1.15408,,,290.0
"1 BLUFF ROAD, MERRICKS BEACH",3.0,2.0,2,3926,214021379,House,88.02407000000001,0.4950299999999999,4.72151,14.27469,10.68642,480.0
"1 BOISDALE STREET, SURREY HILLS",3.0,2.0,2,3127,207031167,House,13.33751,,1.17927,,2.30979,445.0
"1 BOUVERIE STREET, CARLTON",2.0,1.0,1,3053,206041117,Apartment,1.46955,0.54598,1.1844400000000002,0.85576,,460.0
"1 BOYD COURT, SUNBURY",3.0,1.0,1,3429,210041541,House,40.40413,3.09644,0.91065,2.15858,,270.0
"1 BRACKNELL COURT, LARA",2.0,1.0,1,3212,203021043,House,60.263,1.57243,0.49809,1.7832,3.91393,260.0
"1 BURNBANK STREET, LAKE WENDOUREE",3.0,1.0,1,3350,201011002,House,116.93905,1.7592,1.52302,2.19016,3.31418,230.0
"1 BURSARIA STREET, JACKASS FLAT",4.0,2.0,2,3556,202011019,House,158.81103,1.8313,3.48393,3.01512,4.46125,325.0
"1 BURWOOD COURT, NARRE WARREN",3.0,2.0,2,3805,212021456,House,43.70575,0.34479,1.03976,4.42731,1.38928,340.0
"1 CAMERON STREET, CARISBROOK",3.0,1.0,2,3464,201031017,House,168.27839,3.59788,1.19116,,1.62771,250.0
"1 CAPES COURT, MILL PARK",3.0,1.0,1,3082,209041220,House,20.65789,,2.21094,3.52802,,300.0
"1 CATTON STREET, SEASPRAY",3.0,1.0,2,3851,205051100,House,240.83881,41.963,3.12838,,,200.0
"1 CHANNEL ROAD, MOUNT EVELYN",3.0,2.0,2,3796,211051283,House,43.98129,0.6244400000000001,0.93661,2.27796,,380.0
"1 CHARLES DRIVE, PEARCEDALE",3.0,1.0,2,3912,212031308,House,63.45152,1.3683800000000002,0.94744,,19.53329,380.0
"1 CHIFLEY CIRCUIT, BURNSIDE HEIGHTS",4.0,3.0,2,3023,213041462,House,33.59978,,1.69242,,,400.0
"1 CLIFTON STREET, CLIFTON HILL",2.0,1.0,0,3068,206071145,Apartment,6.13638,0.24595,1.81315,3.77209,1.16823,590.0
"1 CLUB AVENUE, KINGSBURY",3.0,2.0,1,3083,209021205,House,14.67144,1.27549,0.36857,0.84726,2.30292,350.0
"1 CLYDEN COURT, BURWOOD EAST",4.0,2.0,1,3151,207031166,House,19.20312,1.3598,1.0933499999999998,3.0009200000000003,1.29367,550.0
"1 COLONIAL CLOSE, WHEELERS HILL",3.0,2.0,2,3150,212051327,House,26.61916,1.10157,0.34642,2.23622,,420.0
"1 CURRAJONG STREET, OAKLEIGH EAST",3.0,2.0,3,3166,212051326,House,22.47574,3.74233,2.48494,0.50102,3.17748,420.0
"1 DARE STREET, COBURG",3.0,3.0,2,3058,206011497,House,7.855600000000001,0.74219,0.62988,0.37787,,330.0
"1 DENTON STREET, BRIGHTON EAST",4.0,2.0,2,3187,208011170,House,18.00028,1.26958,1.99368,1.6993900000000002,,680.0
"1 FAKENHAM ROAD, ASHBURTON",3.0,2.0,2,3147,207011146,House,14.39816,0.6577200000000001,0.13613,,0.08183,620.0
"1 FARADALE ROAD, TARADALE",3.0,1.0,0,3447,202021028,House,103.18763,18.16723,0.6186799999999999,26.82324,1.47364,290.0
"1 FARMILLO COURT, LYSTERFIELD",4.0,1.0,2,3156,211011255,House,39.59611,1.14928,0.88219,,,390.0
"1 FERNY GROVE, KENNETT RIVER",2.0,1.0,1,3233,217031476,House,164.77903,7.16982,47.19547,28.04109,51.6587,270.0
"1 FINNS ROAD, RAWSON",2.0,1.0,1,3825,205011077,House,174.99095,6.44409,6.479220000000001,78.61126,,210.0
"1 FISHERMANS DRIVE, BLIND BIGHT",3.0,2.0,2,3980,212031308,House,70.2586,3.75707,5.64104,,14.7542,280.0
"1 FLORIDA COURT, BURNSIDE HEIGHTS",3.0,2.0,3,3023,213041462,House,31.12178,,0.4153199999999999,,,360.0
"1 FREEMAN STREET, YARRAVILLE",3.0,1.0,2,3013,213031352,House,11.24502,0.0016899999999999,0.68678,1.03962,2.7236700000000003,417.5
"1 GAYLE COURT, CLAYTON SOUTH",3.0,1.0,2,3169,212041310,House,28.87644,2.1666,2.5543400000000003,2.70697,3.12853,320.0
"1 GENINE AVENUE, HEATHERTON",3.0,2.0,2,3202,208031191,House,24.85925,0.28696,1.93935,2.63752,6.04671,380.0
"1 GEORGE STREET, COHUNA",2.0,1.0,0,3568,215031401,House,263.08144,0.74399,0.63661,1.92375,0.97649,150.0
"1 GLENMORE CRESCENT, BLACK ROCK",3.0,3.0,1,3193,208011173,House,20.24744,1.03444,0.8936900000000001,1.97819,2.88462,820.0
"1 GOLCONDA CLOSE, HOPPERS CROSSING",3.0,2.0,2,3029,213051361,House,27.81258,1.08339,2.85179,4.67821,3.85063,360.0
"1 GOOSEBERRY MEWS, BERWICK",4.0,2.0,2,3806,212021293,House,45.67247,0.81575,0.82357,1.64478,1.61983,405.0
"1 GRACE STREET, RYE",3.0,2.0,3,3941,214021383,House,97.18035,4.7592,0.54371,,,330.0
"1 GRIFFIN CRESCENT, PORT MELBOURNE",3.0,1.0,3,3207,206051130,House,5.26723,1.22053,0.11354,,0.47464,600.0
"1 GUINEY STREET, TONGALA",3.0,1.0,2,3621,216011407,House,211.78813,8.588149999999999,0.6102799999999999,14.84893,1.26126,185.0
"1 GUY PLACE, BACCHUS MARSH",3.0,2.0,1,3340,213041353,House,62.376,2.76576,4.10147,2.4015500000000003,2.75693,280.0
"1 HAMMENCE STREET, GLEN WAVERLEY",2.0,1.0,1,3150,212051321,House,26.04323,2.19621,0.5142,2.44047,,360.0
"1 HARRIET STREET, SEDDON",3.0,1.0,6,3011,213031350,House,8.05959,0.40925,,,1.46895,480.0
"1 HEATH COURT, SOMERS",4.0,2.0,2,3927,214021379,House,86.54194,0.6137699999999999,1.61715,11.14347,7.07651,475.0
"1 HELENE STREET, ARDEER",3.0,1.0,1,3022,213011328,House,24.11069,0.30807,0.65587,,3.71474,295.0
"1 HICKS CRESCENT, ECHUCA",3.0,2.0,2,3564,216011406,House,209.93192,1.78021,0.2148199999999999,1.77497,2.58058,230.0
"1 HILLCREST ROAD, SHOREHAM",4.0,2.0,3,3916,214021378,House,92.98206,5.41821,7.61497,,,700.0
"1 HOMEBUSH COURT, MILDURA",2.0,1.0,1,3500,215021470,Apartment,542.71719,,0.50257,1.71619,,230.0
"1 HOYLAKE AVENUE, JAN JUC",2.0,2.0,2,3228,203031053,House,104.73945,1.35801,2.65659,3.13873,,360.0
"1 JAMISON STREET, LAVERTON",3.0,1.0,2,3028,213051363,House,21.82624,2.43584,2.67158,,1.63704,340.0
"1 JEAN COURT, MITCHELL PARK",3.0,1.0,2,3355,201011008,House,121.17458,0.9001,1.21156,1.56219,,245.0
"1 JOHNSON COURT, ROXBURGH PARK",3.0,2.0,1,3064,210051544,House,21.57227,,0.76144,1.65295,1.03451,325.0
"1 KATHLEEN STREET, MORWELL",3.0,1.0,1,3840,205041096,House,154.33159,1.32767,0.71963,0.4647699999999999,3.5427,195.0
"1 KEILLER STREET, HAMPTON EAST",4.0,2.0,3,3188,208011172,House,18.8336,0.50304,1.10805,2.63939,4.33245,450.0
"1 KEN JAMES PLACE, BURNSIDE HEIGHTS",5.0,3.0,2,3023,213041462,House,32.64307,,1.29249,,,470.0
"1 KING STREET, FITZROY NORTH",3.0,1.0,1,3068,206071143,House,5.17486,1.91486,0.4886999999999999,1.93043,1.65517,630.0
"1 KINGSCOTTS LANE, TINAMBA",5.0,1.0,2,3859,205051101,House,215.89355,7.68939,7.3721,8.47399,3.22697,285.0
"1 KOSKY STREET, SUNSHINE WEST",3.0,1.0,2,3020,213011338,House,14.274629999999998,1.2593299999999998,1.09411,1.53503,2.89575,360.0
"1 LACHLAN CLOSE, BIG HILL",3.0,2.0,1,3555,203031049,House,125.32476,19.4001,13.59628,,,340.0
"1 LAKE ROAD, DAYLESFORD",2.0,1.0,1,3460,201021011,Apartment,111.33885,1.15101,0.8764299999999999,2.76338,2.2077600000000004,345.0
"1 LALOR STREET, BALLARAT EAST",3.0,1.0,2,3350,201011481,House,112.39206,0.89206,1.35829,0.84204,1.35843,290.0
"1 LONSDALE STREET, SOUTH GEELONG",4.0,1.0,1,3220,203021039,House,80.24252,0.51522,0.4172599999999999,1.27321,0.305,380.0
"1 LYNE STREET, TOORADIN",4.0,2.0,2,3980,212031308,House,70.93378,9.32885,0.81372,,5.017060000000001,400.0
"1 MACARTHUR AVENUE, HAMLYN HEIGHTS",3.0,1.0,1,3215,203021040,House,74.5004,1.67221,1.12259,0.38499,,260.0
"1 MACKAY STREET, ROCHESTER",3.0,1.0,2,3561,216011409,House,181.74269,1.65344,0.23159,1.81814,0.57799,270.0
"1 MAGAZINE COURT, GOLDEN POINT",3.0,2.0,2,3451,201011483,House,115.4709,1.45587,0.88979,1.41497,,280.0
"1 MAGPIE STREET, GOLDEN POINT",3.0,1.0,3,3451,201011483,House,114.85439,0.30993,0.57266,0.7984600000000001,,220.0
"1 MARY BRYANT COURT, MILL PARK",4.0,2.0,2,3082,209041220,House,22.667060000000003,,0.3706,2.5365100000000003,,350.0
"1 MARY COURT, LANCEFIELD",3.0,2.0,2,3435,210021235,House,74.7864,,0.55483,16.01544,24.74387,380.0
"1 MARY STREET, FOOTSCRAY",3.0,1.0,1,3011,213031348,House,7.99728,0.52765,1.01624,0.4628299999999999,1.27044,413.3333333333333
"1 MASKREY STREET, TRARALGON",3.0,1.0,1,3844,205041493,House,165.63061,,0.76855,0.5154500000000001,2.28156,190.0
"1 MIKAYLA COURT, BURNSIDE HEIGHTS",3.0,2.0,2,3023,213041462,House,31.80263,,0.37717,,,450.0
"1 MORLOC STREET, FOREST HILL",2.0,1.0,1,3131,211041269,House,25.12746,,0.77983,1.33794,3.58679,350.0
"1 NAR NAR GOON - LONGWARRY ROAD, TYNONG",4.0,1.0,0,3813,212011547,House,73.42591,5.01133,4.98109,0.35985,0.61146,320.0
"1 NELSON STREET, RINGWOOD",2.0,2.0,1,3134,211031266,House,27.21181,1.43605,1.3428,1.81355,1.05973,320.0
"1 NORFOLK CRESCENT, CORIO",3.0,1.0,2,3214,203021486,House,66.93338,2.37391,0.20616,2.04187,3.5505500000000003,250.0
"1 NORWOOD ROAD, MILL PARK",3.0,2.0,2,3082,209041221,House,20.796560000000003,,1.68904,,,370.0
"1 ONCIDIUM GARDENS, KEILOR DOWNS",3.0,1.0,1,3038,213011332,House,25.36512,0.06674,0.29825,2.80093,,340.0
"1 PALMER CRESCENT, MERRIGUM",3.0,1.0,0,3618,216031419,House,187.95027,0.71102,0.4718299999999999,17.111189999999997,0.51965,180.0
"1 PEEL STREET, NEWPORT",3.0,1.0,1,3015,213021344,House,11.01308,0.86339,1.6721700000000002,3.40881,1.27306,530.0
"1 PEPPERMINT COURT, ALTONA MEADOWS",4.0,2.0,2,3028,213021342,House,23.68685,1.08314,1.0141,,,415.0
"1 PLENTY COURT, ALTONA MEADOWS",3.0,1.0,2,3028,213021342,House,24.07373,0.90824,1.5508,,,300.0
"1 POINSETTIA COURT, BUNDOORA",2.0,2.0,1,3083,209041217,House,17.32512,1.02795,0.5176499999999999,0.89203,,335.0
"1 POPES ROAD, NOBLE PARK",3.0,1.0,1,3174,212041565,House,34.52347,0.33412,0.75488,0.4181,,340.0
"1 PRINCESS STREET, BUNYIP",4.0,2.0,2,3815,212011547,House,82.35539,0.53479,0.2898,9.00225,0.99131,370.0
"1 PRISCILLA STREET, BURNSIDE HEIGHTS",5.0,2.0,2,3023,213041462,House,32.60525,,1.60717,,,410.0
"1 RANLEIGH RISE, TEMPLESTOWE LOWER",3.0,1.0,3,3107,207021160,House,16.696189999999998,1.3336199999999998,0.44736,0.7626900000000001,,380.0
"1 REID DRIVE, KILMANY",3.0,1.0,2,3851,205051102,House,199.33825,0.26799,5.55206,,0.04142,240.0
"1 ROSA AVENUE, SPRINGVALE",3.0,1.0,1,3171,212041317,House,35.38232,1.97111,0.96533,1.29612,0.33565,365.0
"1 ROSE AVENUE, BULLEEN",4.0,2.0,2,3105,207021156,House,14.84506,1.71304,0.84856,2.3253000000000004,,420.0
"1 ROSSDELL STREET, PORTLAND",3.0,1.0,4,3305,217011422,House,363.67156,2.35996,1.61125,2.51154,1.7978299999999998,200.0
"1 RUPERT COURT, BROADMEADOWS",3.0,1.0,2,3047,210051242,House,15.46066,0.17968,0.73766,1.67746,1.75872,330.0
"1 SADLER COURT, ALLANSFORD",2.0,1.0,1,3277,217041480,House,246.59973,10.0076,1.75419,13.554,1.08124,280.0
"1 SAVIOUR ROAD, BURNSIDE HEIGHTS",3.0,2.0,1,3023,213041462,House,33.14983,,1.6118800000000002,,,410.0
"1 SOMERS STREET, PLUMPTON",4.0,2.0,2,3335,213041574,House,30.34196,8.37735,7.80598,,,410.0
"1 SOUTHDOWNE CLOSE, SPRINGVALE",3.0,1.0,1,3171,212041317,House,28.56801,0.97092,0.59165,0.7646000000000001,0.72568,320.0
"1 SPRUCE DRIVE, ROWVILLE",3.0,1.0,1,3178,211011256,House,37.16568,1.31392,0.91635,0.74056,,340.0
"1 STATION ROAD, WILLIAMSTOWN",3.0,1.0,0,3016,213021346,House,13.54212,1.54222,0.29024,0.6667000000000001,1.44362,515.0
"1 STATION STREET, CAMPBELLS CREEK",3.0,1.0,2,3451,202021027,House,132.97425,2.05064,0.63191,1.17913,4.84445,280.0
"1 STATION STREET, TARADALE",3.0,1.0,0,3447,202021028,House,103.9543,18.99345,1.38534,27.64946,0.04776,380.0
"1 STATON CRESCENT, MELTON WEST",4.0,2.0,4,3337,213041358,House,47.93152,,1.58243,1.70208,,290.0
"1 STREAM ROAD, REEFTON",3.0,1.0,1,3799,204011061,House,97.00851,23.85905,,,,230.0
"1 STREETON COURT, ROWVILLE",3.0,1.0,2,3178,211011258,House,33.52376,1.14968,0.87349,,,345.0
"1 STURT STREET, SUNBURY",3.0,1.0,1,3429,210041540,House,39.95811,0.8073899999999999,1.51983,,1.55522,315.0
"1 SWAN STREET, WODONGA",3.0,1.0,1,3690,204031492,House,313.89359,0.50205,1.48553,1.33757,2.779,240.0
"1 TARA CLOSE, ROWVILLE",4.0,2.0,2,3178,211011258,House,35.614830000000005,1.05743,1.00475,,,490.0
"1 THE BOULEVARD, SALE",4.0,2.0,2,3850,205051102,House,206.28039,7.00428,9.35714,,6.90074,340.0
"1 THE BROADWAY WAY, MORIAC",3.0,2.0,2,3240,203011036,House,98.28527,4.2867,0.54172,,0.65079,340.0
"1 THE BROADWAY, MORIAC",3.0,2.0,2,3240,203011036,House,98.90803,3.77669,0.22159,,0.26441,340.0
"1 THUNDER STREET, BENDIGO",2.0,1.0,3,3550,202011018,House,152.61764000000002,1.2393299999999998,0.68461,1.32582,2.92139,300.0
"1 TIEMAN ROAD, YARRAMBAT",5.0,3.0,2,3091,209031213,House,30.2843,3.319,0.6313300000000001,,,660.0
"1 TRISTAN DRIVE, SEBASTOPOL",3.0,2.0,2,3356,201011484,House,117.70613,1.2314,1.12947,1.2743,,300.0
"1 TURNER PLACE, SOUTH GEELONG",3.0,1.0,1,3220,203021039,House,80.82039999999999,0.7497999999999999,0.6439,1.97244,0.52786,395.0
"1 TWEED STREET, RINGWOOD EAST",4.0,1.0,4,3135,211031267,House,29.6738,1.40688,0.73714,2.8358000000000003,0.64174,380.0
"1 VINCENT CRESCENT, WERRIBEE",3.0,1.0,0,3030,213051467,House,32.79311,0.58029,0.51558,0.56968,,270.0
"1 WALKER STREET, CLIFTON HILL",3.0,2.0,1,3068,206071145,House,5.71163,0.6125900000000001,1.3884,3.6635,0.50248,810.0
"1 WATERMAN PLACE, FRANKSTON",3.0,2.0,2,3199,214011371,House,55.91463,0.27512,0.8667,1.15984,1.7403499999999998,400.0
"1 WEIGELA COURT, FRANKSTON",3.0,1.0,1,3199,214011372,House,54.0186,0.4316,0.5529,0.94588,,280.0
"1 WENTWORTH LANE, BURNSIDE HEIGHTS",2.0,1.0,1,3023,213041462,House,32.61558,,0.8843300000000001,,,330.0
"1 WHALERS COURT, PORTLAND",4.0,1.0,2,3305,217011422,House,358.86388,1.79001,1.91264,1.06302,1.612,290.0
"1 WILLS STREET, SUNBURY",3.0,1.0,1,3429,210041540,House,39.47071,1.13901,1.09482,,1.88683,290.0
"1 WRIGHT STREET, MIDDLE PARK",2.0,2.0,0,3206,206051128,House,5.425949999999999,1.04527,0.5179199999999999,1.11578,0.67461,595.0
"1, 23 BELLANY ROAD, BELGRAVE SOUTH",2.0,1.0,0,3160,211051274,Apartment,47.11338,1.95371,1.91992,5.68384,4.95582,370.0
"1-3 STATION STREET, WILLAURA",4.0,1.0,1,3379,215011387,House,240.41073,0.64071,0.2986999999999999,28.96166,0.63317,165.0
"1-3 SULLIVAN STREET, MALMSBURY",3.0,2.0,2,3446,202021030,House,97.45589,11.77564,2.1567800000000004,2.98483,0.78661,295.0
"1.06/91 DOW STREET, PORT MELBOURNE",1.0,1.0,1,3207,206051130,Apartment,5.56449,0.2484799999999999,1.26167,,1.13852,380.0
"1.09/569 GLENFERRIE ROAD, HAWTHORN",2.0,1.0,1,3122,207011520,Apartment,7.7042,1.21405,0.02933,0.68576,0.90711,420.0
"1/1 ASHWOOD COURT, MILDURA",3.0,2.0,1,3500,215021470,House,542.171,,2.8528200000000004,1.48547,,230.0
"1/1 AUSTIN STREET, HAWTHORN",3.0,1.0,2,3122,207011520,House,6.60216,2.49871,1.41791,1.63413,1.85548,675.0
"1/1 BROWNING DRIVE, GLEN WAVERLEY",2.0,1.0,1,3150,212051321,Apartment,22.22825,2.5150300000000003,0.3825199999999999,0.2489,,383.3333333333333
"1/1 CATHERINE PARADE, FRANKSTON",1.0,1.0,1,3199,214011371,Apartment,53.80324,0.6714,1.76367,1.19408,1.24092,220.0
"1/1 FINCH STREET, BAYSWATER",2.0,1.0,1,3153,211011251,Apartment,33.36397,1.76893,0.69674,1.11968,1.59083,310.0
"1/1 GRANDVIEW ST, GLENROY",3.0,2.0,1,3046,210031536,House,13.23198,0.8156100000000001,1.03194,1.01788,0.46337,395.0
"1/1 HOLMAN COURT, BREAKWATER",2.0,1.0,1,3219,203021039,Apartment,83.80136999999999,2.16637,2.33008,2.64522,3.64076,250.0
