address,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
"1 / 1 PINEWOOD DRIVE, THOMASTOWN",3.0,1.0,1,3074,209041223,House,17.962229999999998,,0.30281,1.07916,2.11096,,2.04324,,420.0
"1 / 130 FERNTREE GULLY ROAD, OAKLEIGH EAST",3.0,1.0,2,3166,212051326,House,22.17563,4.41734,1.07723,0.97035,3.49935,2.7983,3.26352,,460.0
"1 / 142 MCKINNON ROAD, MCKINNON",2.0,1.0,1,3204,208021174,Apartment,16.96515,,1.75131,2.09064,0.08474,,0.79531,,370.0
"1 / 15 PAGET ST, HUGHESDALE",2.0,1.0,2,3166,208021180,House,19.12081,,1.91603,0.94215,,,,,400.0
"1 / 160 COMMERCIAL ROAD, KOROIT",2.0,2.0,1,3282,217041478,House,273.66991,0.94785,0.48899,25.75066,7.694949999999999,1.15885,0.42051,,350.0
"1 / 19 SUNRAY AVENUE, CHELTENHAM",3.0,2.0,1,3192,208031188,House,27.40512,1.39747,0.63771,2.55643,1.84667,,0.90008,1.22761,530.0
"1 / 2 GENTLE ROAD, TANGAMBALANGA",3.0,1.0,2,3691,204031075,House,334.62841,14.37239,0.28408,,8.931389999999999,24.66605,0.5971799999999999,,320.0
"1 / 21 PRINCESS STREET, FAWKNER",2.0,1.0,1,3060,210031237,House,11.45828,1.34053,0.26815,2.75849,2.22108,,,,1629.0
"1 / 216 KAMBROOK ROAD, CAULFIELD",2.0,2.0,1,3162,208021178,House,13.70453,1.98493,0.8047799999999999,1.4011300000000002,,1.89627,1.73669,,600.0
"1 / 218 HIGH STREET, KANGAROO FLAT",2.0,1.0,1,3555,202011022,Apartment,144.87495,1.63668,0.92827,2.18203,1.5321,,,,300.0
"1 / 23 EMBANKMENT GROVE, CHELSEA",2.0,1.0,1,3196,208031186,Apartment,47.47045,2.18997,1.27244,2.97674,0.83876,,0.59169,,345.0
"1 / 23 EMBANKMENT GROVE, CHELSEA",2.0,1.0,1,3196,208031186,House,47.47045,2.18997,1.27244,2.97674,0.83876,,0.59169,,345.0
"1 / 238 COMO PARADE WEST, PARKDALE",3.0,1.0,1,3195,208031193,House,27.58495,1.1956600000000002,1.36744,2.37985,0.67637,1.06064,1.36784,2.76949,435.0
"1 / 24 BRISBANE STREET, MURRUMBEENA",1.0,1.0,1,3163,208021181,Apartment,15.21218,1.91128,0.21563,2.28193,0.5799,,0.61137,,300.0
"1 / 25 ABECKETT ROAD, BUNYIP",2.0,1.0,1,3815,212011547,House,82.64059,0.81998,0.7495499999999999,9.28746,0.51642,0.37417,0.48888,,310.0
"1 / 253 NORTH ROAD, CAULFIELD SOUTH",4.0,2.0,2,3162,208021178,House,14.49126,1.11931,1.82641,1.64874,,2.48243,2.32284,,900.0
"1 / 2A SIMPSON STREET, YARRAVILLE",2.0,1.0,1,3013,213031352,House,7.89799,0.53232,0.50592,2.81346,0.54952,,0.35834,,550.0
"1 / 303 WARRENHEIP STREET, BUNINYONG",3.0,2.0,2,3357,201011005,House,121.3865,0.5734400000000001,0.78715,,,,0.31892,,350.0
"1 / 34 BISHOP STREET, KINGSVILLE",2.0,1.0,1,3012,213031350,House,9.32832,2.08958,,2.97521,2.36014,,,,295.0
"1 / 34 GEELONG ROAD, FOOTSCRAY, FOOTSCRAY",1.0,1.0,1,3011,213031350,Apartment,8.60445,1.52824,,2.21214,2.8078000000000003,,,,340.0
"1 / 35 LINACRE ROAD, HAMPTON",2.0,1.0,1,3188,208011172,Apartment,16.98922,0.6789,1.36302,1.76997,0.97182,1.45254,,,495.0
"1 / 4 NICHOLSON COURT, CLAYTON",2.0,1.0,1,3168,212051568,Apartment,24.06027,0.43551,0.40482,0.79137,0.32181,0.8343700000000001,0.60917,,495.0
"1 / 41 NORMANBY ROAD, CAULFIELD NORTH",1.0,1.0,1,3161,208021177,Apartment,12.54931,1.12626,1.6531900000000002,0.50678,0.68845,,,1.4215,260.0
"1 / 51-53 COMO PARADE EAST, PARKDALE",2.0,1.0,2,3195,208031190,Apartment,25.96872,1.23975,0.38015,0.81152,0.3700199999999999,,1.03705,1.5303399999999998,400.0
"1 / 530 TOORAK ROAD, TOORAK",2.0,1.0,1,3142,206061138,Apartment,8.247069999999999,1.23274,1.1036,1.18314,1.12668,,,,390.0
"1 / 59 RIVERSDALE ROAD, HAWTHORN",2.0,1.0,1,3122,207011520,House,7.47296,0.47817,0.44768,0.7252000000000001,1.38401,,0.98518,,370.0
"1 / 6 JOHN STREET, OAK PARK",2.0,1.0,1,3046,210031537,Apartment,12.24551,0.71862,0.97015,2.0956900000000003,1.29265,,,,380.0
"1 / 63 MAIN NEERIM ROAD, NEERIM SOUTH",2.0,1.0,1,3831,205011077,Apartment,109.88412,0.42029,0.65392,0.5539,,,0.11205,,320.0
"1 / 63 MAIN NEERIM ROAD, NEERIM SOUTH",2.0,1.0,1,3831,205011077,House,109.88412,0.42029,0.65392,0.5539,,,0.11205,,320.0
"1 / 65 STREETS ROAD, LENEVA",4.0,2.0,2,3691,204031491,House,314.60191,0.94055,3.45157,5.857939999999999,16.02041,,,,475.0
"1 / 67 HIGH STREET, WYCHEPROOF",1.0,1.0,1,3527,215031400,Apartment,275.183,0.94163,0.1274,0.60339,0.76201,0.57305,0.6464099999999999,,150.0
"1 / 72 SYCAMORE STREET, CAULFIELD SOUTH",1.0,1.0,1,3162,208021178,Apartment,13.32515,0.799,0.96889,0.22509,,1.31632,1.15674,,320.0
"1 / 81 BELLAIRS AVENUE, YARRAVILLE",1.0,1.0,1,3013,213031352,Apartment,7.763619999999999,0.26782,0.93383,3.2630700000000004,0.40519,,0.47556,,300.0
"1 / 87 BRANDY CREEK ROAD, WARRAGUL",2.0,1.0,1,3820,205011079,House,105.30555,1.30981,0.59424,3.66452,2.68445,3.77017,2.30024,,250.0
"1 / 99 ROSE STREET, COBURG",2.0,1.0,1,3058,206011109,House,9.88485,0.9936,1.63257,0.55388,,,1.16407,,495.0
"1 /2 TONGE STREET, ANGLESEA",2.0,2.0,1,3230,203031049,House,113.89029,0.33601,2.16181,,,29.02184,1.51877,,450.0
"1 148 SPRINGVALE ROAD, GLEN WAVERLEY",2.0,2.0,1,3150,212051321,House,25.90033,2.29338,0.7820199999999999,2.23217,,,3.35777,,545.0
"1 ADINA COURT, FRANKSTON",4.0,1.0,1,3199,214011372,House,55.03218,0.61364,0.75494,0.5767100000000001,,,,2.07781,475.0
"1 ALBENCA STREET, MENTONE",4.0,2.0,3,3194,208031190,House,26.2883,0.67306,0.66888,1.46833,1.00636,,1.35662,0.4614499999999999,630.0
"1 ALEXIA DRIVE, BERWICK",4.0,2.0,2,3806,212021553,House,50.01454,3.51168,0.3635199999999999,1.49505,,,,,500.0
"1 AMAROO COURT, ELTHAM",3.0,2.0,2,3095,209031209,House,26.58637,2.14813,1.4278499999999998,2.8520700000000003,2.31795,,2.06194,,610.0
"1 ANGUS STREET, SKIPTON",3.0,1.0,1,3361,217031474,House,167.50186,0.63954,1.23549,39.55338,1.31161,1.1733900000000002,0.62751,,300.0
"1 ANSONS RD, NORADJUHA",3.0,1.0,1,3401,215011389,House,325.44078,0.54215,0.9143,24.01419,0.95705,,14.38208,,265.0
"1 ANSONS ROAD, NORADJUHA",3.0,1.0,1,3401,215011389,House,325.44078,0.54215,0.9143,24.01419,0.95705,,14.38208,,265.0
"1 ASHBROOK WAY, CRANBOURNE WEST",4.0,2.0,2,3977,212031304,House,51.93514,3.11794,3.39315,2.24961,,,,,410.0
"1 AVON COURT, BUNDOORA",3.0,1.0,1,3083,209011196,House,16.2791,0.99519,0.93857,0.88303,,,,1.88991,360.0
"1 AVRO COURT, STRATHMORE HEIGHTS",3.0,1.0,3,3041,210011231,House,14.004040000000002,5.41676,2.54073,4.33002,,,,,525.0
"1 B BALCOMBE STREET, FRANKSTON",3.0,2.0,2,3199,214011371,House,54.75513,0.78949,0.92385,0.93243,1.35375,1.04178,2.78987,2.0476,565.0
"1 B STURT STREET, SUNSHINE",2.0,1.0,2,3020,213011336,House,13.095540000000002,0.93494,0.43619,2.29403,1.84733,,1.29526,,410.0
"1 BAGOT STREET, WARRAGUL",3.0,1.0,2,3820,205011079,House,103.84105,2.00273,1.11276,0.77564,2.94435,2.27475,2.46786,,350.0
"1 BARRINGUN CRESCENT, CLAYTON SOUTH",3.0,1.0,6,3169,212041310,House,26.41749,2.1963000000000004,0.6766,2.67229,3.77917,,,,450.0
"1 BARTON PL, EASTWOOD",3.0,2.0,2,3875,205021081,House,282.88813,0.3775199999999999,0.2695099999999999,3.40897,3.75418,4.12219,4.09001,,375.0
"1 BARTON PLACE, EASTWOOD",3.0,2.0,2,3875,205021081,House,282.88763,0.3780199999999999,0.27001,3.40847,3.75368,4.121689999999999,4.09051,,355.0
"1 BASS HORIZON PROMENADE, CORONET BAY",3.0,1.0,1,3984,205031093,House,112.16307,1.30868,3.81189,28.53967,11.35547,30.71116,8.27369,,355.0
"1 BATEY CRESCENT, MILDURA",3.0,1.0,2,3500,215021470,House,540.02969,0.26123,2.25083,1.87899,,,,,335.0
"1 BAXTER STREET, ELTHAM",3.0,1.0,1,3095,209031209,House,21.92301,1.14296,2.14882,1.46678,2.90552,,3.40075,,405.0
"1 BAYVIEW STREET, PRAHRAN",2.0,2.0,1,3181,206061136,House,7.85693,,1.02027,1.13384,1.49375,,0.75473,,850.0
"1 BEACH, INVERLOCH",1.0,1.0,1,3996,205031093,Apartment,147.93422,1.18109,1.75794,13.084370000000002,13.54042,14.09662,1.65733,,300.0
"1 BEARD STREET, ARMSTRONG CREEK",3.0,2.0,2,3217,203031489,House,94.11085,5.10755,13.49207,2.2943200000000004,,,13.44584,,430.0
"1 BECKER STREET, BEAUFORT",3.0,1.0,6,3373,201031014,House,161.21652,1.17787,1.38822,1.41543,0.99638,0.13632,0.11615,,320.0
"1 BEECH STREET, SURREY HILLS",2.0,1.0,1,3127,207031167,House,14.19097,0.90521,1.06194,,2.6055,,,,450.0
"1 BEECHY COURT, ELLIMINYT",3.0,2.0,3,3250,217031472,House,154.67233,3.48706,1.34407,2.08594,3.64107,3.74471,3.66037,,450.0
"1 BELLFIELD DR, LYSTERFIELD",3.0,1.0,2,3156,211011255,House,39.27019,0.82336,0.6319600000000001,,,,,,425.0
"1 BELLFIELD DRIVE, LYSTERFIELD",3.0,1.0,2,3156,211011255,House,39.22657,0.77974,0.6755800000000001,,,,,,425.0
"1 BELVEDERE COURT, NOBLE PARK",5.0,3.0,4,3174,212041459,House,31.27241,0.59677,1.78924,2.06145,1.60604,,,,550.0
"1 BENBURY CLOSE, ST ALBANS",3.0,1.0,2,3021,213011334,House,25.17811,0.7139,0.99132,0.84722,1.26219,,2.13585,,370.0
"1 BEREA COURT, RINGWOOD",5.0,2.0,2,3134,211031266,House,28.74455,0.55851,1.04809,0.66811,2.38633,,2.2032,1.80011,516.6666666666666
"1 BERG PL, COBURG",3.0,2.0,1,3058,206011497,House,6.78002,0.01878,1.14702,1.28752,,,,,600.0
"1 BERG PLACE, COBURG",3.0,2.0,1,3058,206011497,House,6.917470000000001,0.63749,1.15781,1.09798,,,,,600.0
"1 BERMUDA BEND, CORONET BAY",4.0,1.0,2,3984,205031093,House,111.92509,1.5815,3.57391,28.81249,11.11749,30.983970000000003,8.54651,,390.0
"1 BERRY STREET, FOSTER",4.0,1.0,2,3960,205031087,House,172.6807,0.96565,1.52035,0.44826,1.73293,1.20321,0.3768999999999999,,380.0
"1 BIRD AVE, MYRTLEFORD",4.0,1.0,2,3737,204031071,House,285.97884000000005,0.42947,0.59736,1.02096,1.36321,0.2638399999999999,1.15026,,390.0
"1 BIRD AVENUE, MYRTLEFORD",4.0,1.0,2,3737,204031071,House,286.28544,0.5493300000000001,0.89232,0.89786,1.71938,0.62001,1.5064300000000002,,390.0
"1 BIRREGUN COURT, TRARALGON",3.0,2.0,2,3844,205041494,House,163.91485999999998,,1.32791,1.0933,,3.14284,,,440.0
"1 BITTERN STREET, MELTON",3.0,1.0,2,3337,213041577,House,46.79107,0.1538199999999999,1.31871,,,,0.97425,,320.0
"1 BLIND BIGHT ROAD, BLIND BIGHT",3.0,1.0,4,3980,212031308,House,69.98991000000001,4.1477,5.37234,,14.4855,,,,400.0
"1 BOISDALE STREET, SURREY HILLS",3.0,2.0,2,3127,207031167,House,13.33754,1.9136,1.17941,,2.30992,,,,620.0
"1 BONITO STREET, MOUNT ELIZA",3.0,2.0,1,3930,214021381,House,62.8049,0.58238,1.2814,1.73349,6.28887,,,,550.0
"1 BORRIE STREET, RESERVOIR",3.0,1.0,2,3073,209021523,House,14.05843,0.92464,0.41814,,1.11858,,,,445.0
"1 BOUVERIE STREET, CARLTON",2.0,1.0,1,3053,206041117,House,1.46955,0.54598,1.1844400000000002,0.85576,0.93628,,1.6741199999999998,,350.0
"1 BOWEN STREET, TRENTHAM",3.0,1.0,0,3458,201021011,House,92.56355,15.46264,0.3777,23.51678,0.57672,0.96997,0.62394,,425.0
"1 BRACKNELL COURT, LARA",2.0,1.0,1,3212,203021043,House,60.263,1.57243,0.49809,1.7832,3.91393,,2.87759,,330.0
"1 BRISTOL DRIVE, CRANBOURNE NORTH",4.0,2.0,2,3977,212031559,House,51.56061,,0.85027,4.86173,,,,,430.0
"1 BRIXTON STREET, BONBEACH",2.0,1.0,1,3196,208031186,House,49.77763,1.25941,0.61354,0.6119,0.1387,,2.06564,,420.0
"1 BULLER PARADE, LALOR",3.0,1.0,2,3075,209041530,House,19.31742,,0.09881,1.36521,2.13787,,,,380.0
"1 BUNGADOOL ST, WARNEET",3.0,2.0,2,3980,212031308,House,73.47413,0.8565900000000001,8.85656,,17.969720000000002,,,,380.0
"1 BUNGADOOL STREET, WARNEET",3.0,2.0,5,3980,212031308,House,73.47631,0.85877,8.85875,,17.97191,,,,380.0
"1 CAMPBELL STREET, GARFIELD",3.0,1.0,1,3814,212011547,House,79.30075,1.11559,0.4609499999999999,5.9005,0.50747,3.95175,3.86152,,400.0
"1 CARAMUT COURT, WARRANWOOD",3.0,2.0,2,3134,211031265,House,31.46725,1.03024,0.86478,3.91136,,,,,540.0
"1 CARAMUT COURT,, WARRANWOOD",3.0,2.0,2,3134,211031265,House,31.513900000000003,1.07689,0.91143,3.95801,,,,,540.0
"1 CASLEY ST, LONG GULLY",3.0,1.0,2,3550,202011018,House,152.58147,0.94317,1.15554,1.3846500000000002,3.29854,2.89062,2.67324,2.4727,400.0
"1 CASLEY STREET, IRONBARK",3.0,1.0,2,3550,202011018,House,152.64959,1.01132,1.33952,1.5686300000000002,4.24887,3.0746,2.74137,3.3513200000000003,400.0
"1 CASLEY STREET, LONG GULLY",3.0,1.0,2,3550,202011018,House,152.58147,0.9432,1.15554,1.38466,3.29855,2.8906300000000003,2.67324,2.47271,400.0
"1 CEDARWOOD COURT, MILL PARK",3.0,1.0,1,3082,209041220,House,24.12871,,3.12698,2.21867,,,,,370.0
"1 CEDARWOOD CT, MILL PARK",3.0,1.0,1,3082,209041220,House,24.14274,,3.14101,2.2327,,,,,370.0
"1 CHANDOS PLACE, ATTWOOD",4.0,2.0,2,3049,210051245,House,20.635330000000003,1.70695,1.80489,3.66963,,,1.06402,2.47092,550.0
"1 CHANNEL ROAD, MOUNT EVELYN",3.0,2.0,2,3796,211051283,House,43.98129,0.6244400000000001,0.93661,2.27796,,,0.90759,,440.0
"1 CHAPPELL COURT, SUNBURY",4.0,2.0,1,3429,210041540,House,39.76229,1.59374,2.40968,,3.66341,,,,370.0
"1 CHATHAM ROAD, LENEVA",4.0,2.0,2,3691,204031491,House,315.44056,1.77918,4.15469,5.12105,15.28353,,,,520.0
"1 CIDER CIRCUIT, DARLEY",3.0,2.0,1,3340,213041353,House,57.76711,2.25027,1.3831,3.02472,3.46355,2.27852,1.90787,,370.0
"1 CLEARVIEW CL, ASHWOOD",4.0,2.0,2,3147,212051319,House,16.60772,0.58782,0.92003,0.39008,,,,,720.0
"1 CLUB AVENUE, KINGSBURY",3.0,2.0,1,3083,209021205,House,14.67144,1.27549,0.36857,0.84726,2.30292,2.11572,,3.42773,400.0
"1 CLYDEN COURT, BURWOOD EAST",4.0,2.0,1,3151,207031166,House,19.20312,1.36051,1.0933499999999998,3.0009200000000003,1.29367,,,,520.0
"1 COBDEN-TERANG ROAD, TERANG",2.0,1.0,1,3264,217031474,House,220.07567,2.6188800000000003,3.2550700000000004,1.8946,3.72693,4.128430000000001,2.51225,,1040.0
"1 COMIC COURT, NEW GISBORNE",3.0,2.0,2,3438,210021232,House,55.31943,3.77062,0.55889,4.6125,1.08623,,3.44974,,460.0
"1 COMMERCIAL ROAD, MOUNT EVELYN",3.0,1.0,2,3796,211051283,House,43.33064,1.33598,0.59286,2.9895,,,1.6191300000000002,,450.0
"1 COTTER PLACE, SUNBURY",3.0,2.0,2,3429,210041540,House,39.31928,1.06841,2.69821,,3.95194,,,,410.0
"1 CROSSLEY CRESCENT, COOLAROO",3.0,1.0,0,3048,210051243,House,19.46147,1.79678,0.8139400000000001,1.03009,1.60491,,,2.18453,325.0
"1 CUSTARD WAY, MANOR LAKES",4.0,2.0,2,3024,213051579,House,41.112370000000006,,3.37904,,,,,,345.0
"1 DAVANZO AVENUE, CLARINDA",4.0,2.0,2,3169,212041309,House,25.01535,1.47084,2.34883,,,,,,550.0
"1 DAYLESFORD CRESCENT, KIALLA",4.0,2.0,2,3631,216031593,House,175.42078,0.42036,4.43593,,,,,,525.0
"1 DEVONPORT COURT, TAYLORS HILL",4.0,2.0,2,3037,213041360,House,28.02788,0.55041,1.02425,2.24527,,,,,450.0
"1 DIABLO PLACE, CRAIGIEBURN",4.0,2.0,2,3064,210051443,House,26.92667,3.26937,2.17228,2.90942,5.59378,,,,410.0
"1 DICKENS STREET, RICHMOND",2.0,1.0,1,3121,206071517,House,4.97429,0.83548,1.56224,0.87041,1.30232,,,,600.0
"1 DINGLEY CLOSE, GLADSTONE PARK",3.0,1.0,1,3043,210051245,House,20.53179,1.7501600000000002,0.30487,1.6726800000000002,,,2.78527,2.09394,405.0
"1 DOLPHIN DRIVE, SMITHS BEACH",3.0,2.0,2,3922,205031091,House,134.41009,4.10757,6.86651,2.9413,,,7.52964,,380.0
"1 DRIFTWOOD COURT, MOUNT MARTHA",3.0,2.0,2,3934,214021382,House,73.21234,0.75617,1.42625,,,,,,590.0
"1 DRUMMOND STREET, CRESWICK",4.0,2.0,2,3363,201021010,House,121.52323,0.5201699999999999,0.62083,,0.72199,0.62405,1.82915,,360.0
"1 DUFFY ST, BENALLA",1.0,1.0,1,3672,204021063,House,202.88898,1.57178,1.6933699999999998,0.92903,0.97701,1.90918,2.60039,,280.0
"1 DUFFY STREET, BENALLA",1.0,1.0,1,3672,204021063,House,202.90175,1.55547,1.70971,0.91273,0.9607,1.92195,2.61315,,280.0
"1 DULNAIN STREET, MOUNT MARTHA",3.0,1.0,2,3934,214021382,House,74.47774000000001,1.86126,2.13388,,,,,,620.0
"1 DUNDAS STREET, EDENHOPE",3.0,1.0,2,3318,215011393,House,392.00444,5.84648,0.31031,0.2166699999999999,38.829,1.1165,0.8987999999999999,,275.0
"1 EAGLE PARADE, NORLANE",3.0,1.0,2,3214,203021488,House,68.28791,0.75536,0.5757000000000001,1.53961,3.12817,,2.33014,,340.0
"1 ELDER STREET, CLARINDA",3.0,1.0,2,3169,212041309,House,22.96014,2.33099,0.20885,,,,,,400.0
"1 ELIZA CLOSE, WARRANWOOD",4.0,2.0,2,3134,211031265,House,32.79418,0.6675599999999999,0.95684,3.70991,,,,,555.0
"1 ELSWORTH DRIVE, STRATHFIELDSAYE",4.0,2.0,2,3551,202011024,House,154.29297,2.37636,1.30933,7.20785,,,,,436.6666666666667
"1 ELVIE STREET, RYE",3.0,1.0,2,3941,214021383,House,103.64142,0.41727,1.15694,,,,0.7202799999999999,,500.0
"1 EMICA PARADE, KNOXFIELD",3.0,2.0,2,3180,211011254,House,38.81166,0.85089,2.451,4.081840000000001,,,,3.65332,500.0
"1 EMICA PDE, KNOXFIELD",3.0,2.0,2,3180,211011254,House,38.81166,0.85089,2.451,4.081840000000001,,,,3.65332,500.0
"1 EVANS CRESCENT, LAVERTON",3.0,1.0,1,3028,213051363,House,20.86209,0.38422,0.3695,,1.73739,,1.3716199999999998,,305.0
"1 FAIRCROFT AVENUE, GLEN IRIS",2.0,1.0,1,3146,207011150,House,10.72653,0.6828500000000001,1.5476,,3.50896,,,0.94251,500.0
"1 FARMILLO COURT, LYSTERFIELD",4.0,1.0,2,3156,211011255,House,39.59611,1.14928,0.88219,,,,,,500.0
"1 FERNSHAW PLACE, SUNBURY",4.0,3.0,2,3429,210041540,House,39.87179,1.11173,0.81528,,1.85956,,,,480.0
"1 FERNWOOD ROAD, NARRE WARREN",4.0,1.0,2,3805,212021456,House,42.14383,0.43357,1.04099,1.54879,2.41194,,,2.72218,360.0
"1 FIFTEENTH STREET, HEPBURN",3.0,1.0,4,3461,201021011,House,117.17676,1.0804,0.30811,6.01405,5.45843,4.15891,4.48698,,370.0
"1 FINK COURT, HOPPERS CROSSING",3.0,1.0,2,3029,213051362,House,31.68962,3.00325,0.24549,2.61146,,,,,330.0
"1 FINTONIA ROAD, NOBLE PARK",3.0,1.0,2,3174,212041459,House,32.9973,0.65659,1.05597,1.03879,0.91893,,,,385.0
"1 FITZGERALD ROAD, HUNTLY",4.0,2.0,2,3551,202011025,House,164.51913000000002,1.88154,1.65121,10.89606,7.16295,,,,480.0
"1 FITZGERALD STREET, SHEPPARTON",3.0,1.0,1,3630,216031416,House,183.50655,0.6435599999999999,0.59729,0.93786,,0.99387,,,380.0
"1 FLORIDA COURT, BURNSIDE HEIGHTS",3.0,2.0,3,3023,213041462,House,31.12178,0.69009,0.4153199999999999,,,,,,420.0
"1 FRANK COURT, LYSTERFIELD",3.0,1.0,1,3156,211011255,House,37.27445,0.75729,1.46089,,,,,,440.0
"1 FRANKLIN STREET, WANGARATTA",3.0,1.0,1,3677,204021066,House,240.97613,2.49654,0.7144299999999999,1.0683399999999998,3.44966,1.79747,2.75816,,350.0
"1 FRIAR COURT, PORTARLINGTON",4.0,2.0,2,3223,203031051,House,108.43328,0.1234,1.43431,,,,1.88178,,385.0
"1 FUGE ROAD, CORNISHTOWN",4.0,2.0,4,3683,204031070,House,285.52944,3.5688,7.21496,,8.35576,,7.62614,,480.0
"1 GARETH AVENUE, BEAUMARIS",4.0,2.0,3,3193,208011168,House,23.1042,1.29266,0.79708,0.97819,,,0.33118,0.39177,1300.0
"1 GHERINGHAP STREET, GEELONG",1.0,1.0,0,3220,203021039,Apartment,78.08095,0.60238,1.65478,0.7577699999999999,0.67599,1.45853,0.93462,,259.0
"1 GILBERT STREET, WENDOUREE",3.0,1.0,1,3355,201011008,House,119.94037,0.6764,0.65201,0.5348099999999999,,,,1.66654,270.0
"1 GILES COURT, WERRIBEE",3.0,2.0,2,3030,213051467,House,31.67049,1.66781,0.5382,1.61326,,,,,350.0
"1 GLENEAGLES COURT, ROWVILLE",2.0,2.0,1,3178,211011256,House,34.81825,0.45359,1.42425,1.42733,,,,,400.0
"1 GORMAN DRIVE, MILL PARK",2.0,2.0,1,3082,209041220,House,23.9308,,2.9290700000000003,2.56901,,,,,375.0
"1 GOULBURN COURT, WEST WODONGA",3.0,1.0,2,3690,204031073,House,308.89734000000004,0.40081,2.96461,1.37397,,,,,380.0
"1 GREENEY STREET, ALTONA",3.0,3.0,3,3018,213021341,House,21.26159,0.48148,0.60299,0.6415,1.46527,2.31455,,,490.0
"1 GREENWOOD DRIVE, KENNINGTON",4.0,2.0,1,3550,202011020,House,153.45156,3.61552,0.96704,2.5089,,,,,530.0
"1 GREVILLIA COURT, ALTONA MEADOWS",4.0,2.0,7,3028,213021342,House,24.21739,0.60349,0.86521,,,,,,440.0
"1 GUY PLACE, BACCHUS MARSH",3.0,2.0,1,3340,213041353,House,62.376,2.76576,4.10147,2.4015500000000003,2.75693,3.515,3.61471,,380.0
"1 HANDLEY COURT, BLACKBURN NORTH",3.0,1.0,2,3130,207031161,House,21.14669,0.70862,0.56752,1.35464,2.47648,,,1.5918599999999998,400.0
"1 HARE ST, MORWELL",2.0,1.0,1,3840,205041096,House,153.93429999999998,0.60657,0.49749,1.30008,3.14541,3.70249,3.6052,,250.0
"1 HAROLD COURT, LITTLE RIVER",3.0,1.0,2,3211,213051468,House,49.8828,0.8246100000000001,0.4765899999999999,,0.7973600000000001,,,,500.0
"1 HAROLD COURT, LITTLE RIVER, LITTLE RIVER",3.0,1.0,2,3211,213051468,House,49.8828,0.8246100000000001,0.4765899999999999,,0.7973600000000001,,,,500.0
"1 HARVEY COURT, ROXBURGH PARK",4.0,2.0,2,3064,210051544,House,22.13128,,1.5593,1.91224,1.59351,,,,385.0
"1 HASTINGS AVENUE, BEAUMARIS",3.0,1.0,2,3193,208011168,House,23.62579,0.91917,1.05561,1.39715,,,2.09577,2.47798,600.0
"1 HAVEN COURT, COCKATOO",2.0,1.0,2,3781,212011289,House,64.96324,3.68196,2.3820900000000003,6.47349,7.289680000000001,,8.25843,,390.0
"1 HAWKBIT PL, BROOKFIELD",4.0,2.0,2,3338,213041571,House,48.76996,1.2704300000000002,,2.1394,,,,,350.0
"1 HAYDN COURT, AIREYS INLET",3.0,1.0,1,3231,203031049,House,122.91699,1.95959,11.18851,,,20.31679,10.54547,,430.0
