address,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
"1 ARMADALE DRIVE, NARRE WARREN",3.0,1.0,2,3805,212021456,House,43.96049,0.25261,1.11437,4.682060000000001,1.64403,,,2.69024,340.0
"1 AROONA AVENUE, MITCHAM",3.0,1.0,1,3132,211041270,House,28.72967,0.41149,1.51626,2.29984,1.5396,,,,320.0
"1 ASH COURT, RED CLIFFS",3.0,1.0,1,3496,215021399,House,527.6461899999999,0.19029,1.31633,1.61998,0.8301499999999999,0.7089099999999999,1.25674,,185.0
"1 AUGUSTA CRESCENT, FRANKSTON",3.0,2.0,1,3199,214011376,House,50.96986,,1.4878399999999998,,,,,,420.0
"1 AVIARY COURT, STRATHDALE",2.0,1.0,1,3550,202011020,Apartment,154.11747,3.3208800000000003,1.0635899999999998,1.44576,,,,,215.0
"1 AVIARY COURT, STRATHDALE",2.0,1.0,1,3550,202011020,House,154.11747,3.3208800000000003,1.0635899999999998,1.44576,,,,,215.0
"1 BAILDOR COURT, CRANBOURNE",4.0,2.0,2,3977,212031300,House,52.33548,2.02944,2.85364,4.27619,4.63341,,3.57636,3.67393,380.0
"1 BARTON PLACE, EASTWOOD",3.0,2.0,2,3875,205021081,House,282.88763,0.3780199999999999,0.27001,3.40847,3.75368,4.121689999999999,4.09051,,330.0
"1 BASS HORIZON PROMENADE, CORONET BAY",3.0,1.0,1,3984,205031093,House,112.16307,1.30872,3.81189,28.53967,11.35547,30.71116,8.27369,,275.0
"1 BAY LAUREL COURT, LYNBROOK",4.0,2.0,2,3975,212031306,House,44.11307,1.74009,1.972,,4.57607,,,,410.0
"1 BECKWITH STREET, COBURG",3.0,1.0,3,3058,206011497,House,9.42921,0.59593,0.58212,0.39799,,,,,470.0
"1 BEDFORD COURT, HOPPERS CROSSING",3.0,1.0,1,3029,213051362,House,28.72801,1.34704,1.00803,2.0026,,,,,310.0
"1 BEEK STREET, KATAMATITE",3.0,1.0,1,3649,216021412,House,230.06827,0.03947,0.39674,,1.75903,,0.46176,,210.0
"1 BEMM COURT, CROYDON HILLS",4.0,2.0,2,3136,211031265,House,33.90935,0.82997,0.05422,0.97386,,,,,500.0
"1 BEREA COURT, RINGWOOD",5.0,2.0,2,3134,211031266,House,28.74455,0.55851,1.04809,0.66811,2.38633,,2.2032,1.80011,530.0
"1 BEVERLEY GROVE, MOUNT WAVERLEY",4.0,2.0,2,3149,212051324,House,20.085330000000003,1.5278699999999998,0.89301,3.44229,,4.44754,1.1256700000000002,7.4186,795.0
"1 BOISDALE STREET, SURREY HILLS",3.0,2.0,2,3127,207031167,House,13.33754,,1.1793,,2.30981,,,,580.0
"1 BONITO STREET, MOUNT ELIZA",3.0,2.0,1,3930,214021381,House,62.8049,0.58238,1.2814,1.73349,6.28887,,,,430.0
"1 BOOTIE COURT, ENDEAVOUR HILLS",4.0,1.0,2,3802,212021454,House,34.965900000000005,0.33706,0.47055,2.38472,,,,2.05287,360.0
"1 BORONIA GROVE, WENDOUREE WEST",3.0,1.0,1,3355,201011008,House,120.44797,1.0962,0.54752,0.54596,,,,1.26222,180.0
"1 BOYD COURT, SUNBURY",3.0,1.0,1,3429,210041541,House,40.40413,3.09644,0.91065,2.15858,,,,,280.0
"1 BRACKNELL COURT, LARA",2.0,1.0,1,3212,203021043,House,60.263,1.57243,0.49809,1.7832,3.91393,,2.87759,,290.0
"1 BRIXTON STREET, BONBEACH",2.0,1.0,1,3196,208031186,House,49.77763,1.25941,0.61354,0.6119,0.1387,,2.06564,,390.0
"1 BROWN STREET, TRAFALGAR",3.0,1.0,1,3824,205011078,House,125.42793,1.23792,0.8316699999999999,1.81251,0.97172,,0.79269,,250.0
"1 BULLER PARADE, LALOR",3.0,1.0,2,3075,209041530,House,19.31742,,0.09881,1.36521,2.13787,,,,350.0
"1 CANOPY WAY, CRAIGIEBURN",4.0,2.0,2,3064,210051442,House,34.34213,0.8993300000000001,1.79355,,,,,,450.0
"1 CAROLINE COURT, NERRINA",3.0,1.0,1,3350,201011482,House,114.68467,2.07535,0.10928,1.63909,4.549060000000001,,,,255.0
"1 CEDARWOOD COURT, MILL PARK",3.0,1.0,1,3082,209041220,House,24.12837,,3.12668,2.21833,,,,,350.0
"1 CHANRO COURT, BONNIE DOON",4.0,2.0,1,3720,204011057,House,187.16991,14.59981,3.01408,20.93721,3.48024,20.33469,19.65544,,330.0
"1 CHATSWORTH QUADRANT, TEMPLESTOWE LOWER",3.0,1.0,1,3107,207021160,House,15.5783,0.7767000000000001,0.78626,1.50996,,,,,355.0
"1 CHRISTOPHER CRESCENT, TULLAMARINE",3.0,1.0,1,3043,210051250,House,19.66456,0.2703399999999999,0.39055,,,,,,355.0
"1 CLAYTON COURT, BIG HILL",3.0,1.0,2,3555,203031049,House,125.32476,4.95856,13.59628,,,21.12245,12.95324,,265.0
"1 CLIFTON STREET, CLIFTON HILL",2.0,1.0,0,3068,206071145,Apartment,6.13638,0.24595,1.81315,3.77209,1.16823,2.23287,,,600.0
"1 COLLINS ROAD, STANLEY",4.0,1.0,2,3747,204031068,House,283.82434,11.39044,0.49369,11.75151,9.45708,11.02432,9.82884,,320.0
"1 COLONIAL CLOSE, WHEELERS HILL",3.0,2.0,2,3150,212051327,House,26.61916,1.10157,0.34642,2.23624,,,,3.22754,460.0
"1 COMMERCIAL ROAD, MOUNT EVELYN",3.0,1.0,2,3796,211051283,House,43.33064,1.33598,0.59286,2.9895,,,1.6191300000000002,,350.0
"1 CONVENTION AVENUE, BELGRAVE HEIGHTS",4.0,1.0,0,3160,211051274,House,49.13863,1.8014,1.50942,3.66159,3.34208,,3.51122,,380.0
"1 CRANES TERRACE, EASTWOOD",4.0,2.0,2,3875,205021081,House,284.45741,1.73751,1.78821,3.67527,3.85996,5.691470000000001,2.80952,,390.0
"1 DALPURA CIRCUIT, FRANKSTON",3.0,2.0,2,3199,214011372,House,53.96774,0.73411,0.61282,1.39149,,,,2.49128,380.0
"1 DAY STREET, TONGALA",3.0,1.0,0,3621,216011407,House,211.16094,7.96097,0.18198,14.22174,0.52697,14.65455,0.78271,,195.0
"1 DELEPAN DRIVE, TYABB",3.0,1.0,2,3913,214021385,House,67.82771000000001,0.2620699999999999,0.92525,2.4657,1.05948,,,,330.0
"1 DONOVAN STREET, PRESTON",2.0,1.0,1,3072,209021428,Apartment,9.48499,2.76789,0.35861,0.51618,0.38295,0.89149,1.12926,3.62478,380.0
"1 EAGLE COURT, INVERMAY PARK",2.0,2.0,1,3350,201011482,House,119.74106,0.50775,1.459,4.36257,3.67882,,,,285.0
"1 FERNHURST AVENUE, DERRIMUT",3.0,2.0,1,3030,213011570,House,24.633470000000003,0.32564,0.4815299999999999,,,,,,350.0
"1 FERNY GROVE, KENNETT RIVER",2.0,1.0,1,3233,217031476,House,164.77903,7.16982,47.19547,28.04109,51.6587,24.15029,24.40663,,280.0
"1 FIFTH AVENUE, WHITE HILLS",4.0,2.0,1,3550,202011025,House,155.10422,2.26285,0.82768,1.48116,1.75244,,,,320.0
"1 FISHERMANS DRIVE, BLIND BIGHT",3.0,2.0,2,3980,212031308,House,70.25862,3.75707,5.64105,,14.75421,,,,295.0
"1 FLORIDA COURT, BURNSIDE HEIGHTS",3.0,2.0,3,3023,213041462,House,31.12178,,0.4153199999999999,,,,,,385.0
"1 FRUIT LANE, WANTIRNA SOUTH",3.0,2.0,1,3152,211011260,House,33.787589999999994,0.75113,0.5965900000000001,1.3679100000000002,,,,0.6698,483.3333333333333
"1 GENINE AVENUE, HEATHERTON",3.0,2.0,2,3202,208031191,House,24.85925,0.28696,1.93935,2.63752,6.04671,0.57548,5.54773,,400.0
"1 GIBSON STREET, RUPANYUP",3.0,1.0,1,3388,215011394,House,292.02659,25.55688,0.8705,15.17802,0.0477299999999999,0.77762,0.88686,,160.0
"1 GILBERT STREET, WENDOUREE",3.0,1.0,1,3355,201011008,House,119.94037,0.6764,0.65201,0.5348099999999999,,,,1.66654,235.0
"1 GLADMAN COURT, KOROIT",3.0,1.0,2,3282,217041478,House,273.80253000000005,0.99163,0.62161,26.61841,7.82757,1.20263,0.5531200000000001,,360.0
"1 GLASGOW STREET, STANHOPE",3.0,1.0,2,3623,216011410,House,187.70372,0.5649299999999999,0.28689,36.36574,0.92987,16.77429,0.28413,,220.0
"1 GLENDALE AVE, EPPING",3.0,1.0,0,3076,209041431,House,22.828560000000003,2.09095,0.43312,1.83801,,,,,305.0
"1 GLENDALE AVENUE, EPPING",3.0,1.0,0,3076,209041431,House,22.87724,2.13962,0.40939,1.78933,,,,,305.0
"1 GOLDEN SPRINGS AVENUE, HEPBURN SPRINGS",2.0,1.0,1,3461,201021011,House,116.80947,1.65432,1.09393,5.64676,5.09114,3.79139,4.119689999999999,,270.0
"1 GOUGHS LANE, BUNDALONG",3.0,2.0,1,3730,216021412,House,280.86697,41.30602,32.226009999999995,,29.93879,,40.47031,,293.3333333333333
"1 GRAIL COURT, GLEN WAVERLEY",3.0,2.0,2,3150,212051321,House,22.99935,2.44003,0.53264,1.15035,,,3.33377,,510.0
"1 GREEN COURT, BURNSIDE HEIGHTS",3.0,2.0,2,3023,213041462,House,32.43354,,1.39604,,,,,,360.0
"1 GUINEY STREET, TONGALA",3.0,1.0,2,3621,216011407,House,211.78817,8.588209999999998,0.6102799999999999,14.84898,1.26126,15.28179,1.21588,,210.0
"1 HAMMENCE STREET, GLEN WAVERLEY",2.0,1.0,1,3150,212051321,House,26.04323,2.19621,0.5142,2.44047,,,3.08995,,375.0
"1 HARVEY COURT, ROXBURGH PARK",4.0,2.0,2,3064,210051544,House,22.13128,,1.5593,1.91224,1.59351,,,,365.0
"1 HEATHERMONT AVENUE, BELGRAVE",3.0,2.0,2,3160,211051274,House,45.97473,1.02995,0.53926,0.27714,0.2546899999999999,,0.42383,,420.0
"1 HENDY LANE, THE GURDIES",2.0,1.0,1,3984,205031093,House,97.35359,10.39338,10.47967,36.72049,7.96239,38.89197,16.45451,,220.0
"1 HIGH STREET, CHILTERN",3.0,2.0,2,3683,204031070,House,279.87009,5.8099,0.9214,,1.44744,,1.30416,,253.33333333333334
"1 HIGHFIELD ROAD, CHADSTONE",4.0,1.0,1,3148,212051319,House,19.21317,1.67999,1.9293,1.4183599999999998,,,,,375.0
"1 HOBBS COURT, TONGALA",3.0,2.0,2,3621,216011407,House,213.02566,9.83074,0.92982,15.97323,1.22019,16.406029999999998,0.80562,,370.0
"1 HOBSON STREET, NEWPORT",3.0,3.0,1,3015,213021344,House,10.28417,0.23935,1.97792,3.49904,1.57881,,1.18402,,630.0
"1 HOLMES COURT, WODONGA",3.0,1.0,3,3690,204031492,House,313.45956,0.04171,2.14952,2.22607,2.8136300000000003,3.65989,1.98899,,265.0
"1 HONOUR LANE, CAROLINE SPRINGS",3.0,2.0,1,3023,213041360,House,32.79612,,1.68951,3.22384,,,,,380.0
"1 HOOP COURT, WAURN PONDS",3.0,2.0,2,3216,203021487,House,85.76147,0.4735899999999999,2.52585,1.99837,1.83388,,,,355.0
"1 HOTCHIN STREET, KATAMATITE",2.0,1.0,0,3649,216021412,House,229.7788,0.1606999999999999,0.5157,,1.46957,,0.25994,,190.0
"1 HYANCINTH STREET, VIOLET TOWN",2.0,1.0,0,3669,204011055,House,175.36066,15.75589,0.39847,18.99551,0.49212,,0.49839,,240.0
"1 IRVING STREET, NIDDRIE",3.0,2.0,2,3042,210011230,House,11.63358,2.5425,1.3525699999999998,2.24758,,,,,300.0
"1 ISAAC SMITH CRESCENT, ENDEAVOUR HILLS",6.0,2.0,2,3802,212021454,House,34.63354,0.64632,0.14101,2.05236,,,,2.36212,450.0
"1 JAMIESON DRIVE, ECHUCA",3.0,1.0,2,3564,216011406,House,208.53881,1.27859,2.02251,0.69455,4.37525,2.90446,4.98095,,400.0
"1 KAMAROOKA DRIVE, WATTLE GLEN",3.0,1.0,3,3096,209031215,House,30.93892,1.41566,1.22283,1.61696,1.16247,,1.75767,,450.0
"1 KEITH CRESCENT, BROADMEADOWS",4.0,1.0,3,3047,210051242,House,15.30947,0.09001,0.7269500000000001,1.66675,1.74801,,2.54672,2.7476700000000003,330.0
"1 KENDALL DRIVE, NARRE WARREN",3.0,2.0,2,3805,212021455,House,41.37531,2.44149,0.40869,,,,,,370.0
"1 KENMARE STREET, WATSONIA",2.0,1.0,1,3087,209011204,Apartment,19.20183,0.17812,1.59018,2.24678,1.5663699999999998,,,,365.0
"1 KEOGH STREET, BURWOOD",3.0,1.0,2,3125,212051319,House,16.27554,1.09093,1.75169,2.28164,,,,,350.0
"1 LAING PLACE, MACLEOD",2.0,1.0,2,3085,209011203,House,18.24498,2.14276,2.6147600000000004,2.35367,2.2961,,,,310.0
"1 LAKE ROAD, DAYLESFORD",2.0,1.0,1,3460,201021011,Apartment,111.33885,1.15101,0.8764299999999999,2.76338,2.2077600000000004,2.06856,1.42162,,350.0
"1 LIUZZI DRIVE, TORQUAY",3.0,2.0,2,3228,203031053,House,103.1518,1.75231,0.34726,0.39897,,,1.3005,,430.0
"1 LOCKHART STREET, CAMBERWELL",4.0,2.0,2,3124,207011149,House,12.34011,0.68188,0.86953,1.83565,1.89225,,2.80701,,720.0
"1 LODDON AVENUE, RED CLIFFS",3.0,1.0,2,3496,215021399,House,526.95113,0.27888,0.39244,2.5052,1.14325,1.21989,1.53721,,190.0
"1 LONSDALE STREET, SOUTH GEELONG",4.0,1.0,1,3220,203021039,House,80.24252,0.51522,0.4172599999999999,1.27321,0.305,1.30175,1.83302,,320.0
"1 LYELL STREET, ST KILDA",2.0,1.0,0,3182,206051513,Apartment,7.341810000000001,0.68101,0.89544,0.98045,,,,,425.0
"1 MABILIA, KILCUNDA",3.0,2.0,2,3995,205031093,House,120.5003,5.7239,8.33532,12.86549,8.679950000000002,15.03698,7.96496,,320.0
"1 MACKAY ST, ROCHESTER",3.0,1.0,2,3561,216011409,House,181.72461,1.55222,0.33282,1.7169100000000002,0.4767699999999999,0.0690699999999999,0.39949,,280.0
"1 MACKAY STREET, ROCHESTER",3.0,1.0,2,3561,216011409,House,181.74269,1.65345,0.23159,1.81814,0.578,0.08714,0.50072,,280.0
"1 MAGNOLIA WAY, PAYNESVILLE",5.0,2.0,2,3880,205021086,House,292.72059,1.3263699999999998,1.3563,,,,,,390.0
"1 MAIN STREET, GEMBROOK",3.0,2.0,1,3783,212011289,House,68.27033999999999,0.6237699999999999,0.4855299999999999,10.00632,10.96581,,11.56553,,360.0
"1 MANLANGI COURT, MACEDON",4.0,2.0,1,3440,210021233,House,61.49197,0.56847,0.6595,4.11232,1.0538299999999998,,0.61676,,620.0
"1 MARY BRYANT COURT, MILL PARK",4.0,2.0,2,3082,209041220,House,22.667060000000003,,0.3706,2.5365100000000003,,,,,360.0
"1 MARY RD, WANDIN NORTH",3.0,2.0,2,3139,211051285,House,49.79489,,0.7367100000000001,,,,,,500.0
"1 MARY STREET, WARRAGUL",4.0,2.0,6,3820,205011079,House,104.48826,0.5791499999999999,0.8702000000000001,1.85709,1.2073,2.29302,0.70225,,340.0
"1 MASCOMA STREET, STRATHMORE",4.0,1.0,2,3041,210011231,House,10.74845,2.1611700000000003,0.71492,1.07443,,,,,500.0
"1 MASKREY STREET, TRARALGON",3.0,1.0,1,3844,205041493,House,165.63061,,0.76855,0.5154500000000001,2.28156,,3.527,,200.0
"1 MAURICE STREET, HERNE HILL",3.0,1.0,2,3218,203021040,House,75.92033,0.47291,1.32885,1.0958,,,,,330.0
"1 MEADOWS COURT, CHADSTONE",3.0,2.0,4,3148,212051319,House,18.54473,2.29349,2.12407,1.95715,,,,,400.0
"1 MILLEWA AVENUE, MALVERN EAST",3.0,2.0,2,3145,208041195,House,18.12912,0.86639,1.18831,0.7381,1.4931800000000002,,,1.05803,900.0
"1 MOONEY STREET, MEREDITH",3.0,1.0,3,3333,203011035,House,110.24759,14.40822,0.8104199999999999,,1.10827,,0.43477,,320.0
"1 MOULDER STREET, DIMBOOLA",2.0,1.0,1,3414,215011390,House,336.72878000000003,1.08915,1.6058,2.39747,1.21818,0.49775,1.09088,,180.0
"1 MURRAY STREET, MORNINGTON",3.0,2.0,2,3931,214021592,House,72.69796000000001,0.29997,0.55579,1.66146,,,0.86513,,440.0
"1 NARONG CRESCENT, KNOXFIELD",3.0,2.0,3,3180,211011254,House,36.72702,1.14213,1.49139,1.2557,,,,2.48166,420.0
"1 NEWELL COURT, CAMPBELLS CREEK",4.0,2.0,2,3451,202021027,House,133.53255,2.60893,1.1902,1.73743,5.40274,6.712350000000001,5.30335,,400.0
"1 NORHAM COURT, BERWICK",3.0,1.0,2,3806,212021553,House,46.83197,0.72021,1.07272,1.16188,,,,,340.0
"1 ORMOND STREET, SHELFORD",2.0,1.0,2,3329,203011035,House,113.81256,26.14702,0.89179,,14.67849,,14.06888,,240.0
"1 PEACE STREET, KANGAROO FLAT",3.0,1.0,1,3555,202011022,House,145.3228,0.91389,0.86651,1.14875,1.46658,,,,275.0
"1 PEEL STREET, NEWPORT",3.0,1.0,1,3015,213021344,House,11.01308,0.41307,1.6721700000000002,3.40881,1.27306,,0.87827,,530.0
"1 PEPPERMINT COURT, ALTONA MEADOWS",4.0,2.0,2,3028,213021342,House,23.68685,0.70005,1.0141,,,,,,450.0
"1 PHILIPPA COURT, INVERMAY",4.0,2.0,2,3352,201011482,House,120.29467,0.86462,2.0804,4.45507,4.30021,,,,400.0
"1 PICKWOOD RISE, RESEARCH",4.0,2.0,2,3095,209031214,House,28.218580000000003,9.04185,0.6889,1.41552,,,,,520.0
"1 PILITA STREET, FOREST HILL",3.0,2.0,2,3131,211041269,House,25.56634,,0.87091,0.6634500000000001,2.88463,,,1.41706,413.3333333333333
"1 POINSETTIA COURT, BUNDOORA",2.0,2.0,1,3083,209041217,House,17.32512,1.02795,0.5176499999999999,0.89203,,,,,320.0
"1 PRINCESS STREET, BUNYIP",4.0,2.0,2,3815,212011547,House,82.35539,0.53479,0.2898,9.00226,0.99131,0.47479,0.57178,,400.0
"1 RIMMER PLACE, DONCASTER EAST",3.0,2.0,2,3109,207021424,House,25.08472,2.54758,1.47531,,,,,,490.0
"1 ROSE STREET, PASCOE VALE",2.0,1.0,1,3044,210031538,Apartment,12.30829,0.43925,0.78547,0.5721799999999999,,,,,370.0
"1 ROSEHILL ROAD, ESSENDON WEST",4.0,1.0,2,3040,210011230,House,11.25418,0.85857,0.74227,0.60864,,,,,495.0
"1 ROWAN PL, BAYSWATER",3.0,2.0,1,3153,211011251,House,33.86324,1.27297,0.09451,0.62372,1.09486,,,0.76427,360.0
"1 ROWAN PLACE, BAYSWATER",3.0,2.0,1,3153,211011251,House,33.86324,1.27297,0.09451,0.62372,1.09486,,,0.76427,360.0
"1 RUBEN DRIVE, SYDENHAM",3.0,1.0,1,3037,213011339,House,28.15444,0.68772,1.37042,1.2708499999999998,3.91143,,,,320.0
"1 RYAN COURT, BERWICK",4.0,2.0,2,3806,212021293,House,47.34841,1.06157,1.00211,1.12901,2.25783,,1.71597,2.06701,600.0
"1 SADLER COURT, ALLANSFORD",2.0,1.0,1,3277,217041480,House,246.59973,1.00814,1.75419,13.554,1.08138,14.28268,1.64246,,280.0
"1 SAFFRON STREET, NEWTOWN",4.0,2.0,2,3220,203021046,House,79.51682000000001,0.66814,0.66853,1.14464,,,,,550.0
"1 SAM COURT, SHEPPARTON",4.0,2.0,2,3630,216031416,House,183.563,1.36672,2.00067,1.42174,,1.27617,,,385.0
"1 SANCTUARY CLOSE, HEALESVILLE",3.0,2.0,2,3777,211051276,House,66.91045,0.62367,1.40015,1.64694,1.67818,0.8882000000000001,1.57856,,385.0
"1 SANTA MONICA DRIVE, KEILOR LODGE",3.0,2.0,2,3038,213011340,House,22.72227,1.44789,2.34458,0.10232,3.3820300000000003,,,,370.0
"1 SCHOOL ROAD, STRANGWAYS",3.0,1.0,1,3461,202021028,House,143.72777,21.14223,6.36271,10.12722,0.44487,21.64348,7.492310000000001,,280.0
"1 SCOBIE COURT, EUREKA",3.0,1.0,2,3350,201011481,House,113.26848,0.4334599999999999,1.25078,1.89899,0.436,,,,270.0
"1 SELSEY STREET, SEAFORD",3.0,1.0,1,3198,214011375,House,51.692,0.20434,1.11592,2.27619,1.1378199999999998,,1.62351,,350.0
"1 SELWOOD PLACE, ALTONA MEADOWS",3.0,1.0,2,3028,213021342,House,24.92701,0.7661699999999999,1.32776,,,,,,350.0
