address,latitude_ori,longitude_ori,year,month,nbed,nbath,ncar,postcode,SA2_CODE,residence_type,dist_to_cbd_KM,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
"159 JUTLAND ROAD, INVERGORDON",-36.18549399,145.61698484,2019,10,3.0,1.0,1,3636,216021413,House,220.27427,4.87366,5.29648,29.6953,20.10354,25.71092,27.24826,,265.0
"159 PEEL STREET, NORTH MELBOURNE",-37.804296,144.95592,2019,12,2.0,1.0,0,3051,206041506,House,1.42653,0.21585,1.38066,0.97458,2.61874,,,,480.0
"159 SOLAR DRIVE, WHITTINGTON",-38.179408,144.399662,2019,11,3.0,1.0,2,3219,203021045,House,85.15087,0.4330299999999999,1.298,1.88851,,,,,330.0
"15A ALBERT ROAD, NORTH WARRANDYTE",-37.7289001,145.21043001,2019,9,2.0,1.0,1,3113,209031214,Apartment,33.67315,3.0309,6.20529,6.93191,,,,,350.0
"15A BLUE GUM DRIVE, STRATHDALE",-36.77938,144.319149,2019,1,3.0,2.0,1,3550,202011020,House,155.59957999999995,4.25759,2.54571,2.92789,,,,,330.0
"15A BUCKLEY STREET, SAFETY BEACH",-38.307749,145.000381,2019,4,4.0,3.0,2,3936,214021377,House,81.7151,1.0117,5.50731,8.25192,,,4.91425,,690.0
"15A BUCKLEY STREET, SAFETY BEACH",-38.307749,145.000381,2019,5,4.0,3.0,2,3936,214021377,House,81.7151,1.0117,5.50731,8.25192,,,4.91425,,670.0
"15A CHAPEL STREET, CAMPBELLS CREEK",-37.08825001,144.20665001,2019,10,2.0,1.0,2,3451,202021027,Apartment,132.08016,1.15654,0.67199,0.12476,3.95035,5.25995,3.85095,,375.0
"15A GARDENIA STREET, CROYDON SOUTH",-37.81696,145.270407,2019,5,4.0,2.0,2,3136,211031452,House,31.74346,2.30172,1.10907,,,,,,550.0
"15A LIBERTY PARADE, IVANHOE",-37.7587719,145.0307134,2019,4,3.0,2.0,2,3079,209011200,House,12.12134,0.69905,0.75493,,2.8205,2.41819,,,730.0
"15A MARTIN ROAD, GLEN IRIS",-37.84794,145.059715,2019,2,3.0,2.0,1,3146,207011150,House,11.49354,0.98563,0.60182,,2.56318,,,1.70953,800.0
"15A MARTIN ROAD, GLEN IRIS",-37.84794,145.059715,2019,5,3.0,2.0,1,3146,207011150,House,11.49354,0.98563,0.60182,,2.56318,,,1.70953,800.0
"15A MARTIN ROAD, GLEN IRIS",-37.84794,145.059715,2019,6,3.0,2.0,1,3146,207011150,House,11.49354,0.98563,0.60182,,2.56318,,,1.70953,800.0
"15A ST ANDREWS DRIVE, JAN JUC",-38.339909,144.306536,2019,11,3.0,2.0,2,3228,203031053,House,104.98292,1.28726,2.90006,3.3822,,,3.14677,2.22272,600.0
"15A WOOLNOUGHS ROAD, PORCUPINE RIDGE",-37.28843001,144.19834001,2019,12,2.0,1.0,0,3461,201021011,House,103.64389,7.0113900000000005,5.447970000000001,9.14134,8.25811,9.3287,9.20532,,370.0
"15B GIRDWOOD ROAD, BORONIA",-37.855452,145.289089,2019,5,3.0,1.0,2,3155,211011446,House,37.44666,2.25608,2.08792,0.95505,0.96795,1.7302,0.76132,0.97959,380.0
"15B GIRDWOOD ROAD, BORONIA",-37.855452,145.289089,2019,6,3.0,1.0,2,3155,211011446,House,37.44666,2.25608,2.08792,0.95505,0.96795,1.7302,0.76132,0.97959,380.0
"15B MAGPIE STREET, GOLDEN POINT",-37.5729295,143.8646872,2019,9,3.0,2.0,2,3451,201011483,House,115.02858,0.48412,0.74685,0.97265,,,,,380.0
"15G JOHN STREET, CLIFTON HILL",-37.789159,144.996056,2019,12,2.0,2.0,1,3068,206071145,House,5.56909,0.43177,0.93424,3.96532,0.10588,2.42611,,,515.0
"16 / 12 WOORIGOLEEN ROAD, TOORAK",-37.843062,145.017432,2019,1,2.0,2.0,1,3142,206061138,House,8.25468,1.01732,1.06043,1.3752,1.31874,,,,550.0
"16 ADAIR STREET, LINTON",-37.68258503,143.5624547,2019,1,3.0,1.0,2,3360,201031015,House,147.74329999999998,0.74271,0.19351,,0.92437,,0.94622,,350.0
"16 ADAIR STREET, LINTON",-37.68258503,143.5624547,2019,11,3.0,1.0,2,3360,201031015,House,147.74329999999998,0.74271,0.19351,,0.92437,,0.94622,,350.0
"16 ADAIR STREET, LINTON",-37.68258503,143.5624547,2019,12,3.0,1.0,2,3360,201031015,House,147.74329999999998,0.74271,0.19351,,0.92437,,0.94622,,350.0
"16 ALBANY WAY, CHARLEMONT",-38.2109001,144.36395001,2019,6,4.0,2.0,2,3217,203021485,House,90.175,2.01485,,4.47521,,,,,430.0
"16 ALBION ROAD, BOX HILL",-37.824689,145.12459,2019,1,3.0,2.0,2,3128,207031163,House,20.50657,1.3126,1.48909,0.93408,1.23942,1.71124,1.22312,1.21309,480.0
"16 ALLEN STREET, LAVERTON",-37.861634,144.766845,2019,11,3.0,1.0,2,3028,213051363,House,23.590580000000003,0.3357699999999999,0.5715,,1.01705,,0.6512899999999999,,320.0
"16 ANDERSON STREET, DIMBOOLA",-36.450774,142.022043,2019,1,3.0,1.0,1,3414,215011390,House,336.66194,1.2718,1.53897,2.33064,1.15135,0.22693,1.02405,,140.0
"16 ANDERSON STREET, DIMBOOLA",-36.450774,142.022043,2019,3,3.0,1.0,1,3414,215011390,House,336.66194,1.2718,1.53897,2.33064,1.15135,0.22693,1.02405,,140.0
"16 ANTONY DRIVE, MORNINGTON",-38.232221,145.060579,2019,4,4.0,2.0,2,3931,214021591,House,71.90432000000001,0.91207,2.58049,2.38024,1.82138,,,,850.0
"16 APOLLO ROAD, TAYLORS LAKES",-37.708246,144.799568,2019,12,3.0,2.0,1,3038,213011340,House,23.45443,0.16293,0.68323,0.53464,2.7925,,,,415.0
"16 ATKIN STREET, MELTON",-37.687786,144.581566,2019,5,3.0,1.0,2,3337,213041577,House,46.21715,0.8393999999999999,1.50021,,,,0.8022699999999999,,1300.0
"16 ATKIN STREET, MELTON",-37.687786,144.581566,2019,6,3.0,1.0,2,3337,213041577,House,46.21715,0.8393999999999999,1.50021,,,,0.8022699999999999,,1300.0
"16 ATKIN STREET, MELTON",-37.687786,144.581566,2019,7,3.0,1.0,2,3337,213041577,House,46.21715,0.8393999999999999,1.50021,,,,0.8022699999999999,,1300.0
"16 ATKIN STREET, MELTON",-37.687786,144.581566,2019,12,3.0,1.0,2,3337,213041577,House,46.21715,0.8393999999999999,1.50021,,,,0.8022699999999999,,1300.0
