,address,latitude,longitude,nbed,nbath,ncar,historical_prices,type,historical_dates,postcode
0,"12 ALFRED STREET, DONALD",-36.374507,142.991607,3,1,1,$180,House,November 2014,3480
0,"12 ALFRED STREET,, DONALD",-36.3745033002,142.9910244002,3,1,1,$260 per week,House,July 2021,3480
0,"12 ALFRED STREET,, DONALD",-36.3745033002,142.9910244002,3,1,1,$260 per week,House,July 2021,3480
0,"3, 9 CAMP STREET, DONALD",-36.37006001,142.97473001,2,1,2,$200 per week,Flat,July 2021,3480
0,"3, 9 CAMP STREET, DONALD",-36.37006001,142.97473001,2,1,2,$200 per week,Flat,July 2021,3480
0,"3, 9 CAMP STREET, DONALD",-36.37006001,142.97473001,2,1,2,$180 per week,Flat,May 2020,3480
0,"18 WOODS STREET, DONALD",-36.3691389,142.9806059,2,1,none,$200 per week,House,May 2021,3480
0,"18 WOODS STREET, DONALD",-36.3691389,142.9806059,2,1,none,$200 per week,House,May 2021,3480
0,"18 WOODS STREET, DONALD",-36.3691389,142.9806059,2,1,none,$200,House,May 2021,3480
0,"18 WOODS STREET, DONALD",-36.3691389,142.9806059,2,1,none,$200 per week,House,September 2020,3480
0,"18 WOODS STREET, DONALD",-36.3691389,142.9806059,2,1,none,$200 per week,House,August 2020,3480
0,"65 WOODS STREET, DONALD",-36.370599,142.983278,6,2,4,$300 per week,none,February 2021,3480
0,"65 WOODS STREET, DONALD",-36.370599,142.983278,6,2,4,$300 per week,none,February 2021,3480
0,"65 WOODS STREET, DONALD",-36.370599,142.983278,6,2,4,$300 per week,none,November 2019,3480
0,"65 WOODS STREET, DONALD",-36.370599,142.983278,6,2,4,$300,none,October 2019,3480
0,"23 NAPIER STREET, DONALD",-36.372556,142.991143,3,1,none,$185 per week,none,February 2021,3480
0,"23 NAPIER STREET, DONALD",-36.372556,142.991143,3,1,none,$185 per week,none,February 2021,3480
0,"23 NAPIER STREET, DONALD",-36.372556,142.991143,3,1,none,$185,none,April 2019,3480
0,"23 NAPIER STREET, DONALD",-36.372556,142.991143,3,1,none,$185 per week,none,March 2019,3480
0,"23 NAPIER STREET, DONALD",-36.372556,142.991143,3,1,none,$180 pw,none,May 2017,3480
0,"23 NAPIER STREET, DONALD",-36.372556,142.991143,3,1,none,$175,none,November 2015,3480
0,"23 NAPIER STREET, DONALD",-36.372556,142.991143,3,1,none,$170 per week,none,December 2013,3480
0,"23 NAPIER STREET, DONALD",-36.372556,142.991143,3,1,none,$170 per week,none,July 2013,3480
0,"5 WALKER STREET, DONALD",-36.3676910,142.9861130,3,1,none,$170,House,February 2021,3480
0,"5 WALKER STREET, DONALD",-36.3676910,142.9861130,3,1,none,$170,House,February 2021,3480
0,"5 WALKER STREET, DONALD",-36.3676910,142.9861130,3,1,none,$170 pw,House,February 2021,3480
0,"5 WALKER STREET, DONALD",-36.3676910,142.9861130,3,1,none,$150 pw,House,August 2016,3480
0,"5 WALKER STREET, DONALD",-36.3676910,142.9861130,3,1,none,$150 pw,House,July 2016,3480
0,"5 WALKER STREET, DONALD",-36.3676910,142.9861130,3,1,none,$150 pw,House,May 2016,3480
0,"5 WALKER STREET, DONALD",-36.3676910,142.9861130,3,1,none,$150 pw,House,April 2016,3480
0,"5 WALKER STREET, DONALD",-36.3676910,142.9861130,3,1,none,$150 per week,House,November 2011,3480
0,"11 CORACK ROAD, DONALD",-36.3599244,142.9901507,3,2,none,$245 per week,House,January 2021,3480
0,"11 CORACK ROAD, DONALD",-36.3599244,142.9901507,3,2,none,$245 per week,House,January 2021,3480
0,"11 CORACK ROAD, DONALD",-36.3599244,142.9901507,3,2,none,$245,House,January 2021,3480
0,"11 CORACK ROAD, DONALD",-36.3599244,142.9901507,3,2,none,$260 per week,House,February 2020,3480
0,"11 CORACK ROAD, DONALD",-36.3599244,142.9901507,3,2,none,$260,House,February 2020,3480
0,"2 /122 WOODS STREET,, DONALD",-36.3726961,142.9839358,2,1,1,$200 per week,Unit/apmt,November 2020,3480
0,"2 /122 WOODS STREET,, DONALD",-36.3726961,142.9839358,2,1,1,$200 per week,Unit/apmt,November 2020,3480
0,"2 /122 WOODS STREET,, DONALD",-36.3726961,142.9839358,2,1,1,$180,Unit/apmt,October 2018,3480
0,"2 /122 WOODS STREET,, DONALD",-36.3726961,142.9839358,2,1,1,$180,Unit/apmt,September 2018,3480
0,"2 /122 WOODS STREET, DONALD",-36.3679456002,142.9794956002,2,1,1,$200 per week,Unit/apmt,November 2020,3480
0,"2 /122 WOODS STREET, DONALD",-36.3679456002,142.9794956002,2,1,1,$200 per week,Unit/apmt,November 2020,3480
0,"2 /122 WOODS STREET, DONALD",-36.3679456002,142.9794956002,2,1,1,$190 pw,Unit/apmt,October 2019,3480
0,"2 /122 WOODS STREET, DONALD",-36.3679456002,142.9794956002,2,1,1,$190,Unit/apmt,September 2019,3480
0,"2, 9 CAMP STREET, DONALD",-36.37006001,142.97473001,1,1,1,$170 per week,Unit/apmt,September 2020,3480
0,"2, 9 CAMP STREET, DONALD",-36.37006001,142.97473001,1,1,1,$170 per week,Unit/apmt,September 2020,3480
0,"2/9 CAMP STREET, DONALD",-36.3701663,142.9746847,1,1,1,$170 per week,Unit/apmt,September 2020,3480
0,"2/9 CAMP STREET, DONALD",-36.3701663,142.9746847,1,1,1,$170 per week,Unit/apmt,September 2020,3480
0,"2/9 CAMP STREET, DONALD",-36.3701663,142.9746847,1,1,1,$170,Unit/apmt,September 2020,3480
0,"2/9 CAMP STREET, DONALD",-36.3701663,142.9746847,1,1,1,$160 per week,Unit/apmt,October 2018,3480
0,"2/9 CAMP STREET, DONALD",-36.3701663,142.9746847,1,1,1,$160 per week,Unit/apmt,September 2018,3480
0,"2/9 CAMP STREET, DONALD",-36.3701663,142.9746847,1,1,1,$180,Unit/apmt,April 2018,3480
0,"2/9 CAMP STREET, DONALD",-36.3701663,142.9746847,1,1,1,$180 pw,Unit/apmt,October 2017,3480
0,"2/9 CAMP STREET, DONALD",-36.3701663,142.9746847,1,1,1,$180 pw,Unit/apmt,June 2017,3480
0,"2/9 CAMP STREET, DONALD",-36.3701663,142.9746847,1,1,1,$180 pw,Unit/apmt,March 2017,3480
0,"2/9 CAMP STREET, DONALD",-36.3701663,142.9746847,1,1,1,$180 pw,Unit/apmt,February 2017,3480
0,"4223 SUNRAYSIA HIGHWAY, DONALD",-36.1917506002,142.8517656002,4,2,none,$190 per week,Acreage/semi-rural,April 2020,3480
0,"4223 SUNRAYSIA HIGHWAY, DONALD",-36.1917506002,142.8517656002,4,2,none,$190 per week,Acreage/semi-rural,April 2020,3480
0,"30 WALKER STREET, DONALD",-36.370058,142.987571,2,1,1,$195 per week,House,February 2020,3480
0,"30 WALKER STREET, DONALD",-36.370058,142.987571,2,1,1,$195 per week,House,February 2020,3480
0,"30 WALKER STREET, DONALD",-36.370058,142.987571,2,1,1,$195,House,January 2020,3480
0,"30 WALKER STREET, DONALD",-36.370058,142.987571,2,1,1,$170 pw,House,November 2016,3480
0,"30 WALKER STREET, DONALD",-36.370058,142.987571,2,1,1,$160 pw,House,January 2014,3480
0,"30 WALKER STREET, DONALD",-36.370058,142.987571,2,1,1,$160 per week,House,January 2014,3480
0,"30 WALKER STREET, DONALD",-36.370058,142.987571,2,1,1,$160 To Let,House,January 2014,3480
0,"30 WALKER STREET, DONALD",-36.370058,142.987571,2,1,1,$160 per week,House,June 2013,3480
0,"9 HAMMILL STREET, DONALD",-36.36798,142.981863,3,1,2,$250 per week,Rental_residential,January 2020,3480
0,"9 HAMMILL STREET, DONALD",-36.36798,142.981863,3,1,2,$250 per week,Rental_residential,February 2020,3480
0,"19 HAMMILL STREET, DONALD",-36.36748001,142.983001,3,1,1,$230 per week,House,December 2019,3480
0,"19 HAMMILL STREET, DONALD",-36.36748001,142.983001,3,1,1,$230 per week,House,December 2019,3480
0,"1 MEYER STREET, DONALD",-36.3678910,142.9848550,3,1,1,$220 per week,House,October 2019,3480
0,"1 MEYER STREET, DONALD",-36.3678910,142.9848550,3,1,1,$220 per week,House,October 2019,3480
0,"1 MEYER STREET, DONALD",-36.3678910,142.9848550,3,1,1,$200 per week,House,October 2018,3480
0,"1 MEYER STREET, DONALD",-36.3678910,142.9848550,3,1,1,$200,House,October 2018,3480
0,"1 MEYER STREET, DONALD",-36.3678910,142.9848550,3,1,1,$200 per week,House,September 2018,3480
0,"1 MEYER STREET, DONALD",-36.3678910,142.9848550,3,1,1,$180 per week,House,November 2012,3480
0,"1 MEYER STREET, DONALD",-36.3678910,142.9848550,3,1,1,$180 per week,House,August 2012,3480
0,"11 HOUSTON STREET;, DONALD",-36.3701525002,142.985177002,3,1,3,$220 per week,House,September 2019,3480
0,"11 HOUSTON STREET;, DONALD",-36.3701525002,142.985177002,3,1,3,$220 per week,House,September 2019,3480
0,"11 HOUSTON STREET;, DONALD",-36.3701525002,142.985177002,3,1,3,$220 per week,House,August 2019,3480
0,"28 WALKER STREET, DONALD",-36.36958564,142.98754793,3,1,4,$250 per week,House,September 2019,3480
0,"28 WALKER STREET, DONALD",-36.36958564,142.98754793,3,1,4,$250 per week,House,September 2019,3480
0,"28 WALKER STREET, DONALD",-36.36958564,142.98754793,3,1,4,$250,House,September 2019,3480
0,"28 WALKER STREET, DONALD",-36.36958564,142.98754793,3,1,4,$250 per week,House,August 2019,3480
0,"28 WALKER STREET, DONALD",-36.36958564,142.98754793,3,1,4,$250 per week,House,March 2019,3480
0,"28 WALKER STREET, DONALD",-36.36958564,142.98754793,3,1,4,$250 per week,House,February 2019,3480
0,"11 HOUSTON STREET, DONALD",-36.36871645,142.98394259,3,1,3,$220,Available Now,September 2019,3480
0,"11 HOUSTON STREET, DONALD",-36.36871645,142.98394259,3,1,3,$220,Available Now,September 2019,3480
0,"11 HOUSTON STREET, DONALD",-36.36871645,142.98394259,3,1,3,$220 per week,Available Now,July 2019,3480
0,"11 HOUSTON STREET, DONALD",-36.36871645,142.98394259,3,1,3,$220,Available Now,July 2019,3480
0,"11 HOUSTON STREET, DONALD",-36.36871645,142.98394259,3,1,3,$220 per week,Available Now,December 2018,3480
0,"11 HOUSTON STREET, DONALD",-36.36871645,142.98394259,3,1,3,$220,Available Now,December 2018,3480
0,"11 HOUSTON STREET, DONALD",-36.36871645,142.98394259,3,1,3,$220 pw,Available Now,September 2017,3480
0,"11 HOUSTON STREET, DONALD",-36.36871645,142.98394259,3,1,3,$220 pw,Available Now,August 2017,3480
0,"10 GRAY STREET, DONALD",-36.373148,142.989373,3,1,4,$220 per week,House,August 2019,3480
0,"10 GRAY STREET, DONALD",-36.373148,142.989373,3,1,4,$220 per week,House,August 2019,3480
0,"10 GRAY STREET, DONALD",-36.373148,142.989373,3,1,4,$220,House,August 2019,3480
0,"10 GRAY STREET, DONALD",-36.373148,142.989373,3,1,4,$180 pw,House,February 2015,3480
0,"19 SPROATS LANE, DONALD",-36.3640940,142.9781890,4,1,2,$220 per week,House,August 2019,3480
0,"19 SPROATS LANE, DONALD",-36.3640940,142.9781890,4,1,2,$220 per week,House,August 2019,3480
0,"19 SPROATS LANE, DONALD",-36.3640940,142.9781890,4,1,2,$220 per week,House,July 2019,3480
0,"12 WALKER STREET, DONALD",-36.3683830,142.9863010,3,2,2,$250 per week,House,March 2019,3480
0,"12 WALKER STREET, DONALD",-36.3683830,142.9863010,3,2,2,$250 per week,House,March 2019,3480
