,SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,STATE_CODE_2016,SINGLE_NAME,VIC_NAME,MULTIPLE_NAME,VALID_NAME
223,209041223,21223,THOMASTOWN,2,True,False,False,True
224,209041224,21224,WALLAN,2,True,False,False,True
225,209041225,21225,WHITTLESEA,2,True,False,False,True
226,209041430,21430,DOREEN,2,True,False,False,True
227,209041431,21431,EPPING EAST,2,False,False,True,False
228,209041432,21432,EPPING SOUTH,2,False,False,True,False
229,209041433,21433,EPPING WEST,2,False,False,True,False
230,209041434,21434,MERNDA,2,True,False,False,True
231,209041435,21435,SOUTH MORANG (NORTH),2,True,False,False,True
232,209041436,21436,SOUTH MORANG (SOUTH),2,True,False,False,True
233,209041437,21437,WOLLERT,2,True,False,False,True
234,210011226,21226,AIRPORT WEST,2,True,False,False,True
235,210011227,21227,ESSENDON AIRPORT,2,True,False,False,True
236,210011228,21228,KEILOR,2,True,False,False,True
237,210011229,21229,KEILOR EAST,2,True,False,False,True
238,210011230,21230,NIDDRIE ESSENDON WEST,2,False,False,True,False
239,210011231,21231,STRATHMORE,2,True,False,False,True
240,210021232,21232,GISBORNE,2,True,False,False,True
241,210021233,21233,MACEDON,2,True,False,False,True
242,210021234,21234,RIDDELLS CREEK,2,True,False,False,True
243,210021235,21235,ROMSEY,2,True,False,False,True
244,210031236,21236,COBURG NORTH,2,True,False,False,True
245,210031237,21237,FAWKNER,2,True,False,False,True
246,210031239,21239,PASCOE VALE,2,True,False,False,True
247,210031438,21438,GLENROY,2,True,False,False,True
248,210031439,21439,GOWANBRAE,2,True,False,False,True
249,210031440,21440,HADFIELD,2,True,False,False,True
250,210041240,21240,SUNBURY,2,True,False,False,True
251,210041241,21241,SUNBURY SOUTH,2,False,False,True,False
252,210051242,21242,BROADMEADOWS,2,True,False,False,True
253,210051243,21243,CAMPBELLFIELD COOLAROO,2,False,False,True,False
254,210051245,21245,GLADSTONE PARK WESTMEADOWS,2,False,False,True,False
255,210051246,21246,GREENVALE BULLA,2,False,False,True,False
256,210051247,21247,MEADOW HEIGHTS,2,True,False,False,True
257,210051248,21248,MELBOURNE AIRPORT,2,True,False,False,True
258,210051249,21249,ROXBURGH PARK SOMERTON,2,False,False,True,False
259,210051250,21250,TULLAMARINE,2,True,False,False,True
260,210051441,21441,CRAIGIEBURN CENTRAL,2,False,False,True,False
261,210051442,21442,CRAIGIEBURN NORTH,2,False,False,True,False
262,210051443,21443,CRAIGIEBURN SOUTH,2,False,False,True,False
263,210051444,21444,CRAIGIEBURN WEST,2,False,False,True,False
264,210051445,21445,MICKLEHAM YUROKE,2,False,False,True,False
265,211011251,21251,BAYSWATER,2,True,False,False,True
266,211011254,21254,KNOXFIELD SCORESBY,2,False,False,True,False
267,211011255,21255,LYSTERFIELD,2,True,False,False,True
268,211011256,21256,ROWVILLE CENTRAL,2,False,False,True,False
269,211011257,21257,ROWVILLE NORTH,2,False,False,True,False
270,211011258,21258,ROWVILLE SOUTH,2,False,False,True,False
271,211011259,21259,WANTIRNA,2,True,False,False,True
272,211011260,21260,WANTIRNA SOUTH,2,True,False,False,True
273,211011446,21446,BORONIA,2,True,False,False,True
274,211011447,21447,FERNTREE GULLY (NORTH),2,True,False,False,True
275,211011448,21448,FERNTREE GULLY (SOUTH) UPPER FERNTREE GULLY,2,False,False,True,False
276,211011449,21449,THE BASIN,2,True,False,False,True
277,211021261,21261,DONVALE PARK ORCHARDS,2,False,False,True,False
278,211021262,21262,WARRANDYTE WONGA PARK,2,False,False,True,False
279,211031263,21263,BAYSWATER NORTH,2,True,False,False,True
280,211031265,21265,CROYDON HILLS WARRANWOOD,2,False,False,True,False
281,211031266,21266,RINGWOOD,2,True,False,False,True
282,211031267,21267,RINGWOOD EAST,2,True,False,False,True
283,211031268,21268,RINGWOOD NORTH,2,True,False,False,True
284,211031450,21450,CROYDON EAST,2,False,False,True,False
285,211031451,21451,CROYDON WEST,2,False,False,True,False
286,211031452,21452,CROYDON SOUTH,2,True,False,False,True
287,211041269,21269,FOREST HILL,2,True,False,False,True
288,211041270,21270,MITCHAM,2,True,True,False,True
289,211041271,21271,NUNAWADING,2,True,False,False,True
290,211041272,21272,VERMONT,2,True,False,False,True
291,211041273,21273,VERMONT SOUTH,2,True,False,False,True
292,211051274,21274,BELGRAVE SELBY,2,False,False,True,False
293,211051275,21275,CHIRNSIDE PARK,2,True,False,False,True
294,211051276,21276,HEALESVILLE YARRA GLEN,2,False,False,True,False
295,211051277,21277,KILSYTH,2,True,False,False,True
296,211051278,21278,LILYDALE COLDSTREAM,2,False,False,True,False
297,211051279,21279,MONBULK SILVAN,2,False,False,True,False
298,211051280,21280,MONTROSE,2,True,False,False,True
299,211051281,21281,MOOROOLBARK,2,True,False,False,True
300,211051282,21282,MOUNT DANDENONG OLINDA,2,False,False,True,False
301,211051283,21283,MOUNT EVELYN,2,True,False,False,True
302,211051284,21284,UPWEY TECOMA,2,False,False,True,False
303,211051285,21285,WANDIN SEVILLE,2,False,False,True,False
304,211051286,21286,YARRA VALLEY,2,True,False,False,True
305,212011287,21287,BEACONSFIELD OFFICER,2,False,False,True,False
306,212011288,21288,BUNYIP GARFIELD,2,False,False,True,False
307,212011289,21289,EMERALD COCKATOO,2,False,False,True,False
308,212011290,21290,KOO WEE RUP,2,True,False,False,True
309,212011291,21291,PAKENHAM NORTH,2,False,False,True,False
310,212011292,21292,PAKENHAM SOUTH,2,False,False,True,False
311,212021293,21293,BERWICK NORTH,2,False,False,True,False
312,212021294,21294,BERWICK SOUTH,2,False,False,True,False
313,212021295,21295,DOVETON,2,True,False,False,True
314,212021297,21297,HALLAM,2,True,False,False,True
315,212021299,21299,NARRE WARREN NORTH,2,True,False,False,True
316,212021453,21453,ENDEAVOUR HILLS NORTH,2,False,False,True,False
317,212021454,21454,ENDEAVOUR HILLS SOUTH,2,False,False,True,False
318,212021455,21455,NARRE WARREN NORTH EAST,2,False,False,True,False
319,212021456,21456,NARRE WARREN SOUTH WEST,2,False,False,True,False
320,212031300,21300,CRANBOURNE,2,True,False,False,True
321,212031301,21301,CRANBOURNE EAST,2,True,False,False,True
322,212031302,21302,CRANBOURNE NORTH,2,True,False,False,True
323,212031303,21303,CRANBOURNE SOUTH,2,True,False,False,True
324,212031304,21304,CRANBOURNE WEST,2,True,False,False,True
325,212031305,21305,HAMPTON PARK LYNBROOK,2,False,False,True,False
326,212031306,21306,LYNBROOK LYNDHURST,2,False,False,True,False
327,212031308,21308,PEARCEDALE TOORADIN,2,False,False,True,False
328,212031457,21457,NARRE WARREN SOUTH (EAST),2,True,False,False,True
329,212031458,21458,NARRE WARREN SOUTH (WEST),2,True,False,False,True
330,212041309,21309,CLARINDA OAKLEIGH SOUTH,2,False,False,True,False
331,212041310,21310,CLAYTON SOUTH,2,True,False,False,True
332,212041311,21311,DANDENONG,2,True,False,False,True
333,212041312,21312,DANDENONG NORTH,2,True,False,False,True
334,212041313,21313,DINGLEY VILLAGE,2,True,False,False,True
335,212041314,21314,KEYSBOROUGH,2,True,False,False,True
336,212041316,21316,NOBLE PARK NORTH,2,True,False,False,True
337,212041317,21317,SPRINGVALE,2,True,False,False,True
338,212041318,21318,SPRINGVALE SOUTH,2,True,False,False,True
339,212041459,21459,NOBLE PARK EAST,2,False,False,True,False
340,212041460,21460,NOBLE PARK WEST,2,False,False,True,False
341,212051319,21319,ASHWOOD CHADSTONE,2,False,False,True,False
342,212051320,21320,CLAYTON,2,True,False,False,True
343,212051321,21321,GLEN WAVERLEY EAST,2,False,False,True,False
344,212051322,21322,GLEN WAVERLEY WEST,2,False,False,True,False
345,212051323,21323,MOUNT WAVERLEY NORTH,2,False,False,True,False
346,212051324,21324,MOUNT WAVERLEY SOUTH,2,False,False,True,False
347,212051325,21325,MULGRAVE,2,True,False,False,True
348,212051326,21326,OAKLEIGH HUNTINGDALE,2,False,False,True,False
349,212051327,21327,WHEELERS HILL,2,True,False,False,True
350,213011328,21328,ARDEER ALBION,2,False,False,True,False
351,213011329,21329,CAIRNLEA,2,True,False,False,True
352,213011330,21330,DEER PARK DERRIMUT,2,False,False,True,False
353,213011331,21331,DELAHEY,2,True,False,False,True
354,213011332,21332,KEILOR DOWNS,2,True,False,False,True
355,213011333,21333,KINGS PARK,2,True,True,False,True
356,213011334,21334,ST ALBANS NORTH,2,False,False,True,False
357,213011335,21335,ST ALBANS SOUTH,2,False,False,True,False
358,213011336,21336,SUNSHINE,2,True,False,False,True
359,213011337,21337,SUNSHINE NORTH,2,True,False,False,True
360,213011338,21338,SUNSHINE WEST,2,True,False,False,True
361,213011339,21339,SYDENHAM,2,True,False,False,True
362,213011340,21340,TAYLORS LAKES,2,True,False,False,True
363,213021341,21341,ALTONA,2,True,False,False,True
364,213021342,21342,ALTONA MEADOWS,2,True,False,False,True
365,213021343,21343,ALTONA NORTH,2,True,False,False,True
366,213021344,21344,NEWPORT,2,True,False,False,True
367,213021345,21345,SEABROOK,2,True,False,False,True
368,213021346,21346,WILLIAMSTOWN,2,True,False,False,True
369,213031347,21347,BRAYBROOK,2,True,False,False,True
370,213031348,21348,FOOTSCRAY,2,True,False,False,True
371,213031349,21349,MARIBYRNONG,2,True,False,False,True
372,213031350,21350,SEDDON KINGSVILLE,2,False,False,True,False
373,213031351,21351,WEST FOOTSCRAY TOTTENHAM,2,False,False,True,False
374,213031352,21352,YARRAVILLE,2,True,False,False,True
375,213041353,21353,BACCHUS MARSH,2,True,False,False,True
376,213041355,21355,HILLSIDE,2,True,False,False,True
377,213041356,21356,MELTON,2,True,False,False,True
378,213041357,21357,MELTON SOUTH,2,True,False,False,True
379,213041358,21358,MELTON WEST,2,True,False,False,True
380,213041359,21359,ROCKBANK MOUNT COTTRELL,2,False,False,True,False
381,213041360,21360,TAYLORS HILL,2,True,False,False,True
382,213041461,21461,BURNSIDE,2,True,False,False,True
383,213041462,21462,BURNSIDE HEIGHTS,2,True,False,False,True
384,213041463,21463,CAROLINE SPRINGS,2,True,False,False,True
385,213051361,21361,HOPPERS CROSSING NORTH,2,False,False,True,False
386,213051362,21362,HOPPERS CROSSING SOUTH,2,False,False,True,False
387,213051363,21363,LAVERTON,2,True,False,False,True
388,213051365,21365,TARNEIT,2,True,False,False,True
389,213051366,21366,TRUGANINA,2,True,False,False,True
390,213051368,21368,WERRIBEE SOUTH,2,False,False,True,False
391,213051369,21369,WYNDHAM VALE,2,True,False,False,True
392,213051464,21464,POINT COOK EAST,2,False,False,True,False
393,213051465,21465,POINT COOK NORTH,2,False,False,True,False
394,213051466,21466,POINT COOK SOUTH,2,False,False,True,False
395,213051467,21467,WERRIBEE EAST,2,False,False,True,False
396,213051468,21468,WERRIBEE WEST,2,False,False,True,False
397,214011370,21370,CARRUM DOWNS,2,True,False,False,True
398,214011371,21371,FRANKSTON,2,True,False,False,True
399,214011372,21372,FRANKSTON NORTH,2,True,False,False,True
400,214011373,21373,FRANKSTON SOUTH,2,True,False,False,True
401,214011374,21374,LANGWARRIN,2,True,False,False,True
402,214011375,21375,SEAFORD,2,True,True,False,True
403,214011376,21376,SKYE SANDHURST,2,False,False,True,False
404,214021377,21377,DROMANA,2,True,False,False,True
405,214021378,21378,FLINDERS,2,True,False,False,True
406,214021379,21379,HASTINGS SOMERS,2,False,False,True,False
407,214021380,21380,MORNINGTON,2,True,False,False,True
408,214021381,21381,MOUNT ELIZA,2,True,False,False,True
409,214021382,21382,MOUNT MARTHA,2,True,False,False,True
410,214021383,21383,POINT NEPEAN,2,True,False,False,True
411,214021384,21384,ROSEBUD MCCRAE,2,False,False,True,False
412,214021385,21385,SOMERVILLE,2,True,False,False,True
413,215011386,21386,ARARAT,2,True,False,False,True
414,215011387,21387,ARARAT REGION,2,True,False,False,True
415,215011388,21388,HORSHAM,2,True,False,False,True
416,215011389,21389,HORSHAM REGION,2,True,False,False,True
417,215011390,21390,NHILL REGION,2,True,False,False,True
418,215011391,21391,ST ARNAUD,2,True,False,False,True
419,215011392,21392,STAWELL,2,True,False,False,True
420,215011393,21393,WEST WIMMERA,2,True,False,False,True
421,215011394,21394,YARRIAMBIACK,2,True,False,False,True
422,215021395,21395,IRYMPLE,2,True,False,False,True
423,215021396,21396,MERBEIN,2,True,False,False,True
424,215021398,21398,MILDURA REGION,2,True,False,False,True
425,215021399,21399,RED CLIFFS,2,True,False,False,True
426,215021469,21469,MILDURA NORTH,2,False,False,True,False
427,215021470,21470,MILDURA SOUTH,2,False,False,True,False
428,215031400,21400,BULOKE,2,True,False,False,True
429,215031401,21401,GANNAWARRA,2,True,False,False,True
430,215031402,21402,KERANG,2,True,False,False,True
431,215031403,21403,ROBINVALE,2,True,False,False,True
432,215031404,21404,SWAN HILL,2,True,False,False,True
433,215031405,21405,SWAN HILL REGION,2,True,False,False,True
434,216011406,21406,ECHUCA,2,True,False,False,True
435,216011407,21407,KYABRAM,2,True,False,False,True
436,216011408,21408,LOCKINGTON GUNBOWER,2,False,False,True,False
437,216011409,21409,ROCHESTER,2,True,False,False,True
438,216011410,21410,RUSHWORTH,2,True,False,False,True
439,216021411,21411,COBRAM,2,True,False,False,True
440,216021412,21412,MOIRA,2,True,False,False,True
441,216021413,21413,NUMURKAH,2,True,False,False,True
442,216021414,21414,YARRAWONGA,2,True,False,False,True
443,216031415,21415,MOOROOPNA,2,True,False,False,True
444,216031416,21416,SHEPPARTON NORTH,2,False,False,True,False
445,216031417,21417,SHEPPARTON SOUTH,2,False,False,True,False
446,216031418,21418,SHEPPARTON REGION EAST,2,False,False,True,False
447,216031419,21419,SHEPPARTON REGION WEST,2,False,False,True,False
448,217011420,21420,GLENELG,2,True,True,False,True
449,217011421,21421,HAMILTON,2,True,True,False,True
450,217011422,21422,PORTLAND,2,True,False,False,True
451,217011423,21423,SOUTHERN GRAMPIANS,2,True,False,False,True
452,217031471,21471,CAMPERDOWN,2,True,False,False,True
453,217031472,21472,COLAC,2,True,False,False,True
