,Unnamed: 0,bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price,distance_to_city,weekly_rent
912,912,3.0,2.0,2.0,,14 Jura Street Truganina VIC 3029,-37.7615808,144.6908886,$400,25.0743,400.0
913,913,3.0,2.0,2.0,,54/27 Turva Ave Tarneit VIC 3029,-37.8377588,144.6733295,$395 PW/ $1716 PCM,25.897,395.0
914,914,4.0,2.0,2.0,,27 Rainier Drive Truganina VIC 3029,-37.7490291,144.6782462,$430,26.5251,430.0
915,915,4.0,2.0,2.0,,62 Stanhope Road Tarneit VIC 3029,-37.8562944,144.6548749,$470 per week,27.7513,470.0
916,916,4.0,2.0,2.0,,12 Pantanal Road Tarneit VIC 3029,-37.8332338,144.6550677,$500 Per Week Only,27.4625,500.0
917,917,3.0,2.0,2.0,,2 Solar Court Tarneit VIC 3029,-37.8401543,144.691338,$430 per week,24.3447,430.0
918,918,4.0,2.0,,,10 Nyman Circuit Tarneit VIC 3029,-37.8367204,144.64926609999995,$480,27.9971,480.0
919,919,3.0,2.0,2.0,,9 Camelot Drive Tarneit VIC 3029,-37.8405597,144.6767165,$420,25.6283,420.0
920,920,4.0,2.0,2.0,,36 Neroli Crescent Truganina VIC 3029,-37.8411999,144.72964069999998,$500 per Week,21.0107,500.0
921,921,3.0,2.0,2.0,,17 Alfred Park Drive Tarneit VIC 3029,-37.8400357,144.6990572,$425,23.6682,425.0
922,922,4.0,2.0,1.0,,8 Rugby Crescent Truganina VIC 3029,-37.8456471,144.7453872,$430,19.7079,430.0
923,923,3.0,2.0,1.0,,46 Kathleen Crescent Hoppers Crossing VIC 3029,-37.8725528,144.66698459999995,$380 Per Week,27.0444,380.0
924,924,3.0,2.0,2.0,,20 Welford Street Tarneit VIC 3029,-37.8382653,144.6873715,$425 per week,24.671999999999997,425.0
925,925,3.0,2.0,2.0,,11 Mallina Glen Tarneit VIC 3029,-37.843996,144.6767594,$420 per week,25.6642,420.0
926,926,4.0,2.0,2.0,,12 Akkersley Drive Truganina VIC 3029,-37.84634430000001,144.7328584,$450,20.8082,450.0
