,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type
5113,"2/46 PENDER STREET, THORNBURY",-37.754153,145.005813,3.0,2.0,1,$400_pw,none,May 2008,3071,2008,5,THORNBURY,400,Other
5114,"2/184 ROSSMOYNE STREET, THORNBURY",-37.758541,145.0122,1.0,1.0,1,$300_pw,none,October 2008,3071,2008,10,THORNBURY,300,Other
5115,"1/34 ETHEL STREET, THORNBURY",-37.753648,144.999714,2.0,1.0,2,$300_pw,none,March 2008,3071,2008,3,THORNBURY,300,Other
5116,"9/19 NORMANBY AVENUE, THORNBURY",-37.759474,144.998564,2.0,1.0,1,$200_Weekly,Rental_residential,February 2008,3071,2008,2,THORNBURY,200,Other
5117,"1325 GOULBURN VALLEY HIGHWAY, THORNTON",-37.254477,145.794706,3.0,1.0,2,$185_Weekly,House,September 2008,3712,2008,9,THORNTON,185,House
5118,"3 / 38-32 EURIMBLA STREET, THORNTON",-32.781503,151.644744,2.0,1.0,1,$275_pw,Townhouse,May 2008,3712,2008,5,THORNTON,275,House
5119,"14 / 28-32 EURIMBLA STREET, THORNTON",-32.781503,151.644744,2.0,1.0,1,$250_pw,Townhouse,April 2008,3712,2008,4,THORNTON,250,House
5120,"63 WALSHS ROAD, THORPDALE SOUTH",-38.335814,146.178215,3.0,1.0,2,$200,House,May 2008,3824,2008,5,SOUTH,200,House
5121,"15 ROBINSON STREET, THORPDALE",-38.28832,146.178129,3.0,2.0,2,$170,House,September 2008,3835,2008,9,THORPDALE,170,House
5122,"76 MCLACHLANS ROAD, TINAMBA",-37.926309,146.842835,4.0,3.0,1,$300,House,February 2008,3859,2008,2,TINAMBA,300,House
5123,"76 MCLACHLANS ROAD, TINAMBA",-37.926309,146.842835,4.0,3.0,1,$300_pw,House,January 2008,3859,2008,1,TINAMBA,300,House
5124,"LOT 3 MAFFRA-TRARALGON ROAD, TINAMBA",-37.991139,146.886137,3.0,1.0,0,$230_Weekly,House,February 2008,3859,2008,2,TINAMBA,230,House
5125,"219 MAHAIKAH-TOLMIE ROAD, TOLMIE",-36.926549,146.254035,3.0,1.0,0,$195_pw,none,January 2008,3723,2008,1,TOLMIE,195,Other
5126,"2/3 DAVIS COURT, TONGALA",-36.24938583374,144.948196411133,2.0,1.0,1,$130,Unit,July 2008,3621,2008,7,TONGALA,130,Apartment
5127,"1360 TOOLAMBA ROAD, TOOLAMBA",-36.5119741,145.3094783,3.0,1.0,4,$265_pw,House,September 2008,3614,2008,9,TOOLAMBA,265,House
5128,"1540 CRAVEN ROAD, TOOLAMBA",-36.508885,145.280308,3.0,1.0,1,$165_pw,none,July 2008,3614,2008,7,TOOLAMBA,165,Other
5129,"1540 CRAVEN ROAD, TOOLAMBA",-36.508885,145.280308,3.0,1.0,1,$170_pw,none,May 2008,3614,2008,5,TOOLAMBA,170,Other
5130,"1358 MYERS CREEK ROAD, TOOLANGI",-37.547447,145.486082,3.0,1.0,5,$350_per_week,House,May 2008,3777,2008,5,TOOLANGI,350,House
5131,"1349 MYERS CREEK ROAD, TOOLANGI",-37.547745,145.485842,4.0,2.0,0,$360,House,July 2008,3777,2008,7,TOOLANGI,360,House
5132,"1227B HOLDEN ROAD, TOOLERN VALE",-37.640921,144.655177,4.0,2.0,4,$480_pw,House,November 2008,3337,2008,11,VALE,480,House
5133,"1227B HOLNDEN ROAD, TOOLERN VALE",-37.640921,144.655177,4.0,2.0,4,$480_pw,none,October 2008,3337,2008,10,VALE,480,Other
5134,"1335-1395 DIGGERS REST-COIMADAI ROAD, TOOLERN VALE",-37.6086584,144.5914069,3.0,1.0,2,$180_per_week,House,May 2008,3337,2008,5,VALE,180,House
5135,"42 STANLEY STREET, TOORA",-38.66426658,146.32399892,3.0,1.0,0,$160,Rental,June 2008,3962,2008,6,TOORA,160,Other
5138,"24/746 ORRONG ROAD, TOORAK",-37.83813095,145.01443481,2.0,1.0,1,$380,none,July 2008,3142,2008,7,TOORAK,380,Other
5139,"11A CANTERBURY ROAD, TOORAK",-37.847998,145.009242,3.0,2.0,0,$550,none,December 2008,3142,2008,12,TOORAK,550,Other
5140,"11A CANTERBURY ROAD, TOORAK",-37.847998,145.009242,3.0,2.0,0,$550,none,November 2008,3142,2008,11,TOORAK,550,Other
5141,"3/789 MALVERN ROAD, TOORAK",-37.850133,145.019913,1.0,1.0,1,$240,none,February 2008,3142,2008,2,TOORAK,240,Other
5142,"2/693 MALVERN ROAD, TOORAK",-37.84885406,145.01031494,2.0,1.0,1,$395_pw,Available Now,November 2008,3142,2008,11,TOORAK,395,Other
5143,"17/36 GRANGE ROAD, TOORAK",-37.837323,145.011642,1.0,1.0,1,$330_pw,none,August 2008,3142,2008,8,TOORAK,330,Other
5144,"8/2A WASHINGTON STREET, TOORAK",-37.837975,145.005955,1.0,1.0,1,$290,Rental_residential,February 2008,3142,2008,2,TOORAK,290,Other
5145,"26/637 ORRONG ROAD, TOORAK",-37.847404,145.012474,2.0,1.0,1,$390_per_week,Rental_residential,September 2008,3142,2008,9,TOORAK,390,Other
5146,"9 LAMBERT ROAD, TOORAK",-37.84692,145.01018,3.0,1.0,1,$585_per_week,Available Now,August 2008,3142,2008,8,TOORAK,585,Other
5147,"46 BRUCE STREET, TOORAK",-37.837563,145.010363,3.0,1.0,1,$580_pw,Available Now,April 2008,3142,2008,4,TOORAK,580,Other
5148,"46 BRUCE STREET, TOORAK",-37.837563,145.010363,3.0,1.0,1,$580,Available Now,March 2008,3142,2008,3,TOORAK,580,Other
5149,"31/637 ORRONG ROAD, TOORAK",-37.84742737,145.01268005,2.0,1.0,1,$550_pw,Rental_residential,September 2008,3142,2008,9,TOORAK,550,Other
5150,"3/599 MALVERN ROAD, TOORAK",-37.8483651,145.006197,2.0,1.0,1,$74,Rental_residential,May 2008,3142,2008,5,TOORAK,74,Other
5154,"7/29 MAY ROAD, TOORAK",-37.847311,145.005255,1.0,1.0,1,$340,House,May 2008,3142,2008,5,TOORAK,340,House
5155,"2/1A WASHINGTON STREET, TOORAK",-37.837975,145.005955,2.0,1.0,1,$350_pw,none,September 2008,3142,2008,9,TOORAK,350,Other
5156,"34/530 TOORAK ROAD, TOORAK",-37.84236989,145.01840699,1.0,1.0,1,$370_pw,none,August 2008,3142,2008,8,TOORAK,370,Other
5157,"34/530 TOORAK ROAD, TOORAK",-37.84236989,145.01840699,1.0,1.0,1,$380_pw,none,August 2008,3142,2008,8,TOORAK,380,Other
5158,"73/145 CANTERBURY ROAD, TOORAK",-37.841999,145.010504,1.0,1.0,1,$220_pw,none,November 2008,3142,2008,11,TOORAK,220,Other
5160,"3 / 740 ORRONG ROAD, TOORAK",-37.838724,145.014525,2.0,1.0,1,$450_pw,none,November 2008,3142,2008,11,TOORAK,450,Other
5161,"7/256 WILLIAMS ROAD, TOORAK",-37.842636,145.004488,2.0,1.0,1,$400_pw,Rental_residential,April 2008,3142,2008,4,TOORAK,400,Other
5162,"6 ASHE GROVE, TOORAK",-37.845458,145.005083,3.0,2.0,2,$750_per_week,Available Now,December 2008,3142,2008,12,TOORAK,750,Other
5163,"18 / 145 CANTERBURY ROAD, TOORAK",-37.847365,145.009679,1.0,1.0,0,$190_pw,none,June 2008,3142,2008,6,TOORAK,190,Other
5164,"12/50 ROSS STREET, TOORAK",-37.8435,145.009704,2.0,2.0,1,$550,Rental_residential,November 2008,3142,2008,11,TOORAK,550,Other
5165,"12/50 ROSS STREET, TOORAK",-37.8435,145.009704,2.0,2.0,1,$515_pw,Rental_residential,March 2008,3142,2008,3,TOORAK,515,Other
5166,"3/693 MALVERN ROAD, TOORAK",-37.848854,145.01031,2.0,1.0,1,$340_pw,none,March 2008,3142,2008,3,TOORAK,340,Other
5167,"4/488 TOORAK ROAD, TOORAK",-37.841514,145.011132,2.0,1.0,0,$295_per_week,Rental_residential,June 2008,3142,2008,6,TOORAK,295,Other
5168,"4/488 TOORAK ROAD, TOORAK",-37.841514,145.011132,2.0,1.0,0,$295_per_week,Rental_residential,May 2008,3142,2008,5,TOORAK,295,Other
5169,"16/256 WILLIAMS ROAD, TOORAK",-37.842636,145.004488,2.0,1.0,1,$360_pw,Rental_residential,August 2008,3142,2008,8,TOORAK,360,Other
5170,"14/21 BRUCE STREET, TOORAK",-37.837021,145.007805,1.0,1.0,0,$265_pw,Rental_residential,July 2008,3142,2008,7,TOORAK,265,Other
5171,"2A/587 TOORAK ROAD, TOORAK",-37.841884,145.017043,2.0,1.0,1,$375_pw,none,July 2008,3142,2008,7,TOORAK,375,Other
5172,"16/14 SPRINGFIELD AVENUE, TOORAK",-37.844962,145.010926,1.0,1.0,2,$230_pw,Rental_residential,March 2008,3142,2008,3,TOORAK,230,Other
5173,"18/693 MALVERN ROAD, TOORAK",-37.848854,145.01031,2.0,1.0,1,$340_per_week,Available Now,August 2008,3142,2008,8,TOORAK,340,Other
5174,"18/693 MALVERN ROAD, TOORAK",-37.848854,145.01031,2.0,1.0,1,$340_per_week,Available Now,July 2008,3142,2008,7,TOORAK,340,Other
5175,"18/693 MALVERN ROAD, TOORAK",-37.848854,145.01031,2.0,1.0,1,$370_pw,Available Now,June 2008,3142,2008,6,TOORAK,370,Other
5176,"61 FAIRBAIRN ROAD, TOORAK",-37.844717,145.00866,3.0,2.0,1,$510,House,March 2008,3142,2008,3,TOORAK,510,House
5177,"61 FAIRBAIRN ROAD, TOORAK",-37.844717,145.00866,3.0,2.0,1,$475,House,January 2008,3142,2008,1,TOORAK,475,House
