facility,latitude,longitude,year,facility_type
Rubicon Outdoor Centre - Thornton Campus,-37.2950000143261,145.821389981798,2020,secondary_school
ALTONA COLLEGE,-37.861649993761,144.816949987888,2020,secondary_school
KYNETON HIGH SCHOOL,-37.2513300009215,144.458169984226,2020,secondary_school
Elevation Secondary College,-37.5983500011218,144.890519972487,2020,secondary_school
Homestead Senior Secondary College,-37.9139999958336,144.768900007624,2020,secondary_school
Footscray High School Barkly Street Campus,-37.7990899986667,144.894890001092,2020,secondary_school
Footscray High School Kinnear Street Campus,-37.7910599995577,144.894019989111,2020,secondary_school
Greater Shepparton Secondary College Mooroopna Campus,-36.3817700082267,145.351809971287,2020,secondary_school
Greater Shepparton Secondary College McGuire Campus,-36.3989399862809,145.4081499792,2020,secondary_school
Greater Shepparton Secondary College Wanganui Park Campus,-36.3570299938721,145.391899989357,2020,secondary_school
Greater Otway Applied Learning School,-38.681949986797,143.382959993836,2020,secondary_school
