"3/218 Warrigal Road, Oakleigh South",OAKLEIGH SOUTH,3167,Kingston City Council - Greater Area,Townhouse,2.0,1.0,2,395,-37.91114,145.0855
"42 O'Grady Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,House,3.0,1.0,0,975,-37.7868538,144.999
"5/158 Kangaroo Road, Hughesdale",HUGHESDALE,3166,Monash City - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400,-37.9005661,145.081085
"305/63 Rouse Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,650,-37.8440552,144.942368
"505/25 Nott Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,395,-37.8418922,144.9375
"22 Union Street, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,House,3.0,2.0,2,HE ,-37.8538132,144.984955
"115/18 Station Street, Sandringham",SANDRINGHAM,3191,Bayside - Greater Area,ApartmentUnitFlat,1.0,1.0,1,320,-37.9489746,145.004272
"4/48-50 Ardyne Street, Murrumbeena",MURRUMBEENA,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,3.0,2.0,2,560,-37.89523,145.06871
"12/45 Marine Parade, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,2,790,-37.87445,144.97702
"1/2 Middlesex Road, Surrey Hills",SURREY HILLS,3127,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,460,-37.8256264,145.089828
"1/34 Wynnstay Road, Prahran",PRAHRAN,3181,Stonnington - Greater Area,ApartmentUnitFlat,1.0,1.0,1,290,-37.8530426,145.0108
"206/75 Wellington Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,470,-37.80639,144.9859
"54 O'Grady Street, Albert Park",ALBERT PARK,3206,Port Philip City Council - Greater Area,House,3.0,2.0,1,"1,3",-37.84281,144.953278
"7/47 Pakington Street, Kew",KEW,3101,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,380,-37.80126,145.034714
"2807/81 Abeckett Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,680,-37.809227,144.96138
"28/32 Adrian Street, Chadstone",CHADSTONE,3148,Monash City - Greater Area,House,4.0,2.0,2,650,-37.88743,145.107132
"28b Hornby Street, Beaumaris",BEAUMARIS,3193,Bayside - Greater Area,House,5.0,2.0,4,"1,1",-37.9802933,145.027649
"4/16 Manor Street, Brighton",BRIGHTON,3186,Bayside - Greater Area,ApartmentUnitFlat,3.0,2.0,1,620,-37.91657,144.9898
"5/116 Dodds Street, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,3.0,1.0,1,675,-37.82927,144.966766
"19/16-18 Poplar Street, Box Hill",BOX HILL,3128,Whitehorse City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,230,-37.8150864,145.116165
"8/45 Ruskin Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400,-37.8766441,144.98259
"2A Edgar Street, Brighton",BRIGHTON,3186,Bayside - Greater Area,House,2.0,1.0,1,760,-37.91148,145.00647
"10/26 Lillimur Road, Ormond",ORMOND,3204,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,415,-37.9018822,145.041824
"49 Laity Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,2.0,1.0,0,600,-37.8133125,145.002731
"16 Homewood Lane, Highton",HIGHTON,3216,Geelong & District - Greater Area,House,3.0,2.0,2,540,-38.1895981,144.322083
"1903/61-63 Haig Street, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,420,-37.8276672,144.9567
"24/746 Orrong Road, Toorak",TOORAK,3142,Stonnington - Greater Area,ApartmentUnitFlat,2.0,1.0,1,480,-37.8382,145.014648
"90 Sutherland Rd, Armadale",ARMADALE,3143,Stonnington - Greater Area,House,3.0,2.0,1,930,-37.85593,145.017761
"213/102-118 Camberwell Rd, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,2,520,-37.8279839,145.052231
"103/51 Ormond Esplanade, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,550,-37.8860931,144.983078
"12/22 The Esplanade, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,435,-37.86624,144.975784
"504/466 Smith Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,430,-37.79469,144.985321
"8 Gillies St, Hampton",HAMPTON,3188,Bayside - Greater Area,House,3.0,1.0,2,800,-37.94063,145.006989
"9/7 Alfred Square, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,375,-37.86474,144.974579
"25 Holroyd Avenue, St Kilda East",ST KILDA EAST,3183,Glen Eira Council - Greater Area,House,5.0,2.0,4,"1,6",-37.8644447,145.007034
"51/378-390 St Georges Road, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,450,-37.7784843,144.988251
"17/170 McKinnon Rd, Mckinnon",MCKINNON,3204,Glen Eira Council - Greater Area,Townhouse,3.0,2.0,2,700,-37.911335,145.03923
"112/55 Camberwell Road, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,650,-37.82587,145.050644
"603/611 Sydney Road, Brunswick",BRUNSWICK,3056,Moreland City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,420,-37.7626076,144.9626
"94 Helen Street, Northcote",NORTHCOTE,3070,Darebin City Council - Greater Area,House,3.0,1.0,1,720,-37.77007,144.997665
"20 Lord Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,Townhouse,2.0,2.0,2,790,-37.8207321,145.004776
"Level 35, 3501/7 Riverside Quay, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,850,-37.8213348,144.964691
"2/21 Hopkins Street, Mckinnon",MCKINNON,3204,Glen Eira Council - Greater Area,ApartmentUnitFlat,3.0,2.0,1,650,-37.91047,145.026871
"1/21 Hopkins Street, Mckinnon",MCKINNON,3204,Glen Eira Council - Greater Area,ApartmentUnitFlat,3.0,2.0,2,700,-37.91054,145.02681
"4/6 Koormiel Lane, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,285,-37.788208,144.9899
"120 Glen Huntly Road, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,Townhouse,4.0,4.0,2,"1,9",-37.8831978,144.989426
"305/380 Bay Street, Brighton",BRIGHTON,3186,Bayside - Greater Area,ApartmentUnitFlat,1.0,1.0,1,450,-37.90595,145.0048
"13/114 Mason Street, Newport",NEWPORT,3015,Hobsons Bay City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,420,-37.84096,144.8739
"11 Shaftesbury Ave, Malvern",MALVERN,3144,Stonnington - Greater Area,House,4.0,2.0,2,"1,1",-37.8544731,145.038116
"26a Bonny Street, Bentleigh East",BENTLEIGH EAST,3165,Glen Eira Council - Greater Area,House,4.0,3.0,2,"1,3",-37.9319458,145.060654
"37 Award Crescent, Truganina",TRUGANINA,3029,Melton City - Greater Area,House,3.0,2.0,4,420,-37.84844,144.715912
"93 Kirkwood Avenue, Seaford",SEAFORD,3198,Frankston Council - Greater Area,House,3.0,1.0,3,550,-38.1246719,145.130661
"605/51 Thislethwaite Street, South Melbourne",SOUTH MELBOURNE,3205,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,600,-37.83136,144.952255
"55 Durrant Street, Brighton",BRIGHTON,3186,Bayside - Greater Area,House,4.0,2.0,2,130,-37.9109573,145.005615
"312/416 Gore Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,2,595,-37.7968063,144.984024
"24 Gardiner Parade, Glen Iris",GLEN IRIS,3146,Boroondara City Council - Greater Area,House,5.0,2.0,2,155,-37.8542252,145.064438
"3/24 Auburn Grove, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,425,-37.82588,145.0474
"1/7 Tiernan Street, Preston",PRESTON,3072,Darebin City Council - Greater Area,Townhouse,2.0,2.0,1,560,-37.75122,145.016937
"31 Buckingham St, Footscray",FOOTSCRAY,3011,Maribyrnong City Council - Greater Area,House,2.0,1.0,0,480,-37.80129,144.890121
"39 Jervois Street, St Kilda East",ST KILDA EAST,3183,Glen Eira Council - Greater Area,Townhouse,3.0,3.0,1,"1,1",-37.86531,144.9951
"214/181 St Kilda Road, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,390,-37.8608437,144.984
"11/51 Stockade Ave, Coburg",COBURG,3058,Darebin City Council - Greater Area,Townhouse,5.0,4.0,1,670,-37.73937,144.968887
"1A Erowal Street, Beaumaris",BEAUMARIS,3193,Bayside - Greater Area,Townhouse,4.0,2.0,2,130,-37.9711151,145.036636
"4 Waratah Avenue, Beaumaris",BEAUMARIS,3193,Bayside - Greater Area,House,3.0,1.0,3,600,-37.978363,145.03067
"33 Deakin Street, Bentleigh East",BENTLEIGH EAST,3165,Glen Eira Council - Greater Area,House,3.0,2.0,2,875,-37.9139328,145.065552
"3111/45 Clarke Street, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,585,-37.8269,144.959534
"2/39 Walpole Street, Kew",KEW,3101,Boroondara City Council - Greater Area,Townhouse,3.0,1.0,1,525,-37.80371,145.0315
"1/28 Seymour Grove, Camberwell",CAMBERWELL,3124,Boroondara City Council - Greater Area,ApartmentUnitFlat,3.0,1.0,2,650,-37.835392,145.059113
"1/12 Toward Street, Murrumbeena",MURRUMBEENA,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,350,-37.89253,145.070053
"5003/464-466 Collins Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,550,-37.8175545,144.958633
"2/9 Dickens Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,440,-37.871788,144.987564
