Suburb_Name,sa2_2021,Growth_Rate
Laverton,213051363,0.07869260133390757
Bendigo Surrounds - North,202031032,0.07770576414439902
Northcote - West,206021500,0.07754960495818626
Wyndham Vale - North,213051589,0.07751570861043536
Cranbourne West,212031304,0.07731726108611028
Braybrook,213031347,0.07729956348016659
Preston - East,209021428,0.07710937525690117
Hawthorn - North,207011519,0.07639297746167228
Melton,213041577,0.07586250765663133
Tarneit (West) - Mount Cottrell,213051582,0.07582217635573313
Whittlesea,209041225,0.07549216403126155
Towong,204031072,0.07450167390917194
Romsey,210021235,0.07448256580832258
Caulfield - North,208021177,0.07395641573183417
Melton South - Weir Views,213041578,0.07373535464460401
Bacchus Marsh Surrounds,201021009,0.07327585890859285
Upper Yarra Valley,204011061,0.07307903148312318
Bunyip - Garfield,212011547,0.07302046306652418
Ivanhoe,209011200,0.07277315486151927
Morwell,205041096,0.07265071016389725
Maryborough (Vic.),201031016,0.0723333126810783
Preston - West,209021429,0.07203751720993998
Meadow Heights,210051247,0.07148660941548479
Moyne - East,217041477,0.07068252586598478
Caulfield - South,208021178,0.07063839396694083
Carrum Downs,214011370,0.07058455069724741
Pakenham - North East,212011549,0.07053279588416023
Pakenham - North West,212011550,0.07004401208059728
Delahey,213011331,0.06989032121032339
Kurunjang - Toolern Vale,213041576,0.06984571926781125
Epping - East,209041431,0.06931010517169414
Euroa,204011055,0.06840725507350781
Mooroopna,216031415,0.06815524471725841
Narre Warren South - West,212031458,0.06815128680223811
Sunbury - South,210041540,0.06770994190437576
Werribee - South,213051368,0.06722060698089054
Box Hill,207031163,0.0670438939663905
Creswick - Clunes,201021010,0.06681728967543521
Wyndham Vale - South,213051590,0.06642598869212483
Essendon - East,206031502,0.06603228401159736
Docklands,206041118,0.06580287168429019
Plenty - Yarrambat,209031213,0.0657598713289412
Heidelberg West,209011199,0.06572311275675309
Williamstown,213021346,0.0650485972700364
Pakenham - South East,212011551,0.06473034905496215
Diggers Rest,210041539,0.06466315529505595
Sydenham,213011339,0.06401559960428356
Fitzroy North,206071143,0.063986639632338
Sebastopol - Redan,201011484,0.06383181025815032
Horsham Surrounds,215011389,0.06376769072355853
Seddon - Kingsville,213031350,0.06375920370567738
Craigieburn - South,210051443,0.06365167520304478
Wendouree - Miners Rest,201011008,0.06363611998412773
Narre Warren - South West,212021456,0.06363092094434454
Melbourne CBD - West,206041505,0.06325364801719097
Corangamite - South,217031475,0.06323538014236814
Braeside,208031184,0.06314035228375088
South Melbourne,206051512,0.06291563660383173
Fraser Rise - Plumpton,213041574,0.06288076135337509
Brunswick West,206011107,0.06277002108926512
Boronia,211011446,0.06231883740457651
Kensington (Vic.),206041121,0.06219650358734322
Riddells Creek,210021234,0.06187731669926484
Essendon (West) - Aberfeldie,206031501,0.06160553788077564
Lysterfield,211011255,0.061455778066835734
Alphington - Fairfield,206021110,0.061406207622708764
Hillside,213041575,0.06055339148380508
Yarrawonga,216021414,0.06049242531712219
Coburg - East,206011497,0.06038911412453981
Warrnambool - South,217041480,0.06028071262100113
Sunbury,210041240,0.06027838463563763
Hadfield,210031440,0.06026859907158801
Murrumbeena,208021181,0.05996452298184459
Lalor - West,209041530,0.05987632103667741
Blackburn South,207031162,0.05987539039304638
