street_adress,suburb,postcode,area,property_type,bedrooms,bathrooms,carspaces,price,time,latitude,longitude
"120 Nott Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,House,2.0,1.0,0,595,2022-08-30T13:48:02,-37.8386536,144.940765
"61/108-124 Union Street, Brunswick",BRUNSWICK,3056,Moreland City Council - Greater Area,ApartmentUnitFlat,3.0,1.0,1,600,2022-08-30T13:46:57,-37.77323,144.953888
"62 Sims Street, Sandringham",SANDRINGHAM,3191,Bayside - Greater Area,House,3.0,1.0,2,790,2022-08-30T13:46:07,-37.954,145.012543
"104/427 Hampton Street, Hampton",HAMPTON,3188,Bayside - Greater Area,ApartmentUnitFlat,2.0,1.0,1,500,2022-08-30T13:43:07,-37.934597,145.002716
"33 Landcox Street, Brighton East",BRIGHTON EAST,3187,Bayside - Greater Area,House,4.0,3.0,2,"1,1",2022-08-30T13:38:22,-37.9050446,145.014481
"24 Orrong Crescent, Caulfield North",CAULFIELD NORTH,3161,Glen Eira Council - Greater Area,House,4.0,3.0,2,950,2022-08-30T13:34:35,-37.86658,145.016586
"105/20 Station Street, Highett",HIGHETT,3190,Bayside - Greater Area,ApartmentUnitFlat,2.0,2.0,1,550,2022-08-30T13:33:22,-37.9501038,145.043716
"100 Union Street, Brunswick",BRUNSWICK,3056,Moreland City Council - Greater Area,House,3.0,2.0,2,920,2022-08-30T13:30:46,-37.7732735,144.954666
"1/51 Browns Rd, Bentleigh East",BENTLEIGH EAST,3165,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,520,2022-08-30T13:29:31,-37.92128,145.056076
"5401/464 Collins Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,3.0,3.0,2,250,2022-08-30T13:28:24,-37.8175621,144.958588
"2/47 Briggs Street, Mount Waverley",MOUNT WAVERLEY,3149,Monash City - Greater Area,Townhouse,5.0,3.0,2,850,2022-08-30T13:23:49,-37.896347,145.112625
"8 Claremont Crescent, Canterbury",CANTERBURY,3126,Boroondara City Council - Greater Area,House,3.0,2.0,2,700,2022-08-30T13:13:10,-37.82884,145.080582
"2/90 Toorak Road West, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,360,2022-08-30T13:07:40,-37.8376846,144.9814
"2/61 Little Oxford Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,550,2022-08-30T13:06:18,-37.8046227,144.983887
"405/39 Queen Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,450,2022-08-30T13:01:47,-37.8178864,144.961731
"2/17 Sarton Road, Clayton",CLAYTON,3168,Monash City - Greater Area,ApartmentUnitFlat,5.0,3.0,2,595,2022-08-30T13:01:25,-37.9186974,145.143875
"1/453 Kooyong Rd, Elsternwick",ELSTERNWICK,3185,Glen Eira Council - Greater Area,ApartmentUnitFlat,3.0,2.0,2,600,2022-08-30T12:56:39,-37.89479,145.013123
"45 Mullingar Drive, Alfredton",ALFREDTON,3350,Ballarat - Greater Area,House,4.0,2.0,2,480,2022-08-30T12:56:23,-37.56632,143.800323
"904/50 Claremont Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,510,2022-08-30T12:54:13,-37.8364449,144.994354
"15/21 Irving Avenue, Prahran",PRAHRAN,3181,Stonnington - Greater Area,ApartmentUnitFlat,2.0,1.0,1,440,2022-08-30T12:52:39,-37.8575554,145.006729
"113/350 St Kilda Road, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,3.0,2,150,2022-08-30T12:34:34,-37.8311424,144.970856
"4/29 Marine Parade, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,465,2022-08-30T12:24:40,-37.8717842,144.976654
"4/151 Canterbury Road, Toorak",TOORAK,3142,Stonnington - Greater Area,ApartmentUnitFlat,2.0,2.0,1,650,2022-08-30T12:23:34,-37.8418236,145.010468
"2/4 Ralston Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,425,2022-08-30T12:16:48,-37.8404121,144.9867
"511/8 Garden Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,400,2022-08-30T12:13:15,-37.8430443,144.995575
"6/28 Ardyne Street, Murrumbeena",MURRUMBEENA,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,250,2022-08-30T12:12:53,-37.8933144,145.068649
"11. Plym Street, Bentleigh",BENTLEIGH,3204,Glen Eira Council - Greater Area,House,4.0,2.0,2,550,2022-08-30T12:06:51,-37.93164,145.036133
"4/67 Walsh Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,3.0,1.0,1,120,2022-08-30T12:04:22,-37.8362656,144.984955
"24 Montalto Avenue, Toorak",TOORAK,3142,Stonnington - Greater Area,House,4.0,3.0,3,250,2022-08-30T12:00:35,-37.84391,145.012543
"2/29 Mitford Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,360,2022-08-30T11:54:45,-37.8726463,144.981766
"3 Ajana Street, Balwyn North",BALWYN NORTH,3104,Boroondara City Council - Greater Area,House,4.0,2.0,2,"1,1",2022-08-30T11:50:12,-37.8027344,145.098251
"2/16 Liddiard Street, Hawthorn",HAWTHORN,3122,Boroondara City Council - Greater Area,Townhouse,3.0,2.0,2,825,2022-08-30T11:46:19,-37.8193,145.037613
"8/14 Maroona Road, Carnegie",CARNEGIE,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,480,2022-08-30T11:46:00,-37.88898,145.04747
"16F/54 La Scala Avenue, Maribyrnong",MARIBYRNONG,3032,Maribyrnong City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1, 41,2022-08-30T11:45:59,-37.78097,144.8939
"10/18 Gerald Street, Murrumbeena",MURRUMBEENA,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,310,2022-08-30T11:39:12,-37.895462,145.069885
"10/K7 High Street, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350,2022-08-30T11:38:35,-37.8506851,144.983292
"1/29 The Avenue, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,2,560,2022-08-30T11:37:47,-37.855,144.9977
"29/70 Church Street, Hawthorn",HAWTHORN,3122,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,470,2022-08-30T11:37:10,-37.8153038,145.021027
"503/9 Dryburgh Street, West Melbourne",WEST MELBOURNE,3003,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,500,2022-08-30T11:35:32,-37.8066177,144.942413
"9/2 Marne Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,560,2022-08-30T11:21:00,-37.8378372,144.983948
"3/79 Barkly Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400,2022-08-30T11:18:57,-37.86256,144.981812
"6 Rolls Street, Coburg",COBURG,3058,Darebin City Council - Greater Area,House,3.0,2.0,2,600,2022-08-30T11:07:58,-37.7502632,144.96843
"105/801 Centre Road, Bentleigh East",BENTLEIGH EAST,3165,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,440,2022-08-30T11:03:59,-37.9210663,145.0596
"7/138 New Street, Brighton",BRIGHTON,3186,Bayside - Greater Area,ApartmentUnitFlat,1.0,1.0,0,390,2022-08-30T10:42:53,-37.9180641,144.993073
"9/106 Addison Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,530,2022-08-30T10:39:53,-37.8810539,144.979584
"9 Brunning Street, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,House,2.0,1.0,1,625,2022-08-30T10:33:24,-37.87309,144.991241
"4/2 Selwyn Avenue, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,265,2022-08-30T10:33:19,-37.8844452,144.9849
"3/4 Orrong Road, Elsternwick",ELSTERNWICK,3185,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,430,2022-08-30T10:28:23,-37.8900833,145.005447
"4/867-883 Drummond Street, Carlton North",CARLTON NORTH,3054,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,500,2022-08-30T10:28:08,-37.78394,144.971024
"6/54 Hill Street, Bentleigh East",BENTLEIGH EAST,3165,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,375,2022-08-30T10:21:08,-37.92235,145.061188
"625/118 Franklin Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,3.0,2.0,0,530,2022-08-30T10:15:45,-37.8082047,144.958908
"614/5 Olive York Way, Brunswick West",BRUNSWICK WEST,3055,Moreland City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,912,2022-08-30T10:13:39,-37.7587357,144.939041
"53 Duke Street, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,House,2.0,1.0,0,520,2022-08-30T10:10:30,-37.8540077,144.995636
"304/350 Victoria Street, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,495,2022-08-30T09:44:53,-37.80552,144.954727
"2/1 Palm Court, St Kilda East",ST KILDA EAST,3183,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,375,2022-08-30T08:58:31,-37.8605728,144.998154
"201/1193 Nepean Hwy, Highett",HIGHETT,3190,Bayside - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400,2022-08-30T08:24:51,-37.9542923,145.050171
"503/8 Bowen Crescent, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,3.0,2.0,1,00,2022-08-30T00:06:00,-37.83542,144.97258
"94 Coppin Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,2.0,1.0,1,650,2022-08-29T22:59:03,-37.8211174,145.00322
"27/16-20 Milton Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,Townhouse,3.0,1.0,1,675,2022-08-29T22:50:31,-37.8740463,144.988724
"508/7 Balcombe Rd, Mentone",MENTONE,3194,Kingston City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,350,2022-08-29T19:20:22,-37.9821548,145.070328
"702/594 St Kilda Road, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,380,2022-08-29T18:34:25,-37.8496933,144.979645
"531/1 Shamrock Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,550,2022-08-29T17:52:45,-37.8103561,145.007736
"1/4 Cabena Crescent, Chadstone",CHADSTONE,3148,Monash City - Greater Area,ApartmentUnitFlat,2.0,1.0,1,350,2022-08-29T17:39:00,-37.8897171,145.094528
"1206/118 Russell Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,550,2022-08-29T17:38:39,-37.8135872,144.968719
"22/123 Millswyn Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,400,2022-08-29T17:34:44,-37.83443,144.980423
"57 Baker Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,3.0,1.0,1,650,2022-08-29T17:15:17,-37.8117676,145.00325
"1/42 Grandview Grove, Prahran",PRAHRAN,3181,Stonnington - Greater Area,ApartmentUnitFlat,3.0,2.0,0,800,2022-08-29T16:56:21,-37.8495255,145.008392
"4 Nareeb Court, Toorak",TOORAK,3142,Stonnington - Greater Area,House,5.0,3.0,3,"1,2",2022-08-29T16:51:40,-37.8486938,145.022583
"4/45 Edgar Street, Glen Iris",GLEN IRIS,3146,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,520,2022-08-29T16:45:17,-37.8542137,145.044876
"1411/120 A Beckett St, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,0,680,2022-08-29T16:32:47,-37.8093071,144.959732
"3/4 Windsor Avenue, Oakleigh South",OAKLEIGH SOUTH,3167,Kingston City Council - Greater Area,Townhouse,3.0,3.0,1,580,2022-08-29T16:15:45,-37.9128,145.098862
"3/12 Thea Avenue, Balwyn North",BALWYN NORTH,3104,Boroondara City Council - Greater Area,Townhouse,3.0,2.0,2,640,2022-08-29T16:12:20,-37.7977028,145.098969
"647 Hawthorn Road, Brighton East",BRIGHTON EAST,3187,Bayside - Greater Area,House,4.0,2.0,1,990,2022-08-29T16:09:56,-37.903656,145.019089
"329 Alma Road, Caulfield North",CAULFIELD NORTH,3161,Glen Eira Council - Greater Area,House,4.0,2.0,4,790,2022-08-29T16:09:39,-37.86487,145.016891
"748 Warrigal Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,House,3.0,1.0,4,470,2022-08-29T16:06:55,-37.886734,145.089111
"505/296 Flinders Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,360,2022-08-29T16:03:28,-37.81804,144.964325
"107/358 Moreland Road, Brunswick West",BRUNSWICK WEST,3055,Moreland City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,450,2022-08-29T15:50:49,-37.7538719,144.949478
"2/74 Hawthorn Rd, Caulfield North",CAULFIELD NORTH,3161,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,570,2022-08-29T15:18:01,-37.87074,145.024948
"2/6 Elaroo St, Chadstone",CHADSTONE,3148,Monash City - Greater Area,House,4.0,3.0,2,680,2022-08-29T15:17:07,-37.87961,145.096741
"203/538 Glen Huntly Road, Elsternwick",ELSTERNWICK,3185,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,530,2022-08-29T15:16:40,-37.8859444,145.012024
"29 Loudon Road, Burwood",BURWOOD,3125,Monash City - Greater Area,House,2.0,1.0,0,525,2022-08-29T15:14:34,-37.8480225,145.099274
"3/97 New Street, South Kingsville",SOUTH KINGSVILLE,3015,Hobsons Bay City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,340,2022-08-29T15:14:22,-37.8323936,144.866714
"34/97 Brickworks Drive, Brunswick",BRUNSWICK,3056,Moreland City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,450,2022-08-29T15:01:37,-37.7695236,144.9528
"28 Monash Ave, Olinda",OLINDA,3788,Yarra Ranges Shire - Greater Area,House,3.0,1.0,0,495,2022-08-29T14:56:45,-37.8530846,145.363983
"808/2 Claremont Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,600,2022-08-29T14:52:40,-37.8387833,144.993729
"403/118 Cairnlea Drive, Cairnlea",CAIRNLEA,3023,Brimbank City Council - Greater Area,House,2.0,2.0,1,390,2022-08-29T14:48:34,-37.7574234,144.791077
"532/631 Victoria Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,650,2022-08-29T14:36:40,-37.8111572,145.008911
"1/4 Skipton Court, Wodonga",WODONGA,3690,Wodonga - Greater Area,ApartmentUnitFlat,2.0,1.0,1,330,2022-08-29T14:34:44,-36.12886,146.9075
"1201/55 Queens Road, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,2,"1,1",2022-08-29T14:31:51,-37.84789,144.978287
"5/9 Lillimur Rd, Ormond",ORMOND,3204,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,360,2022-08-29T14:26:10,-37.90274,145.040924
"3/58 Rankins road, Kensington",KENSINGTON,3031,Melbourne City Council - Greater Area,House,1.0,1.0,0,375,2022-08-29T14:24:13,-37.7905769,144.931351
"105/39 Appleton Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,430,2022-08-29T14:21:21,-37.8150558,145.011139
"2 Narrung Road, Mount Eliza",MOUNT ELIZA,3930,Mornington Peninsula & District - Greater Area,House,4.0,2.0,3,680,2022-08-29T14:12:30,-38.18668,145.078934
"5/419 Waverley Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,ApartmentUnitFlat,2.0,2.0,1,495,2022-08-29T14:05:22,-37.8781357,145.067368
"909/528 Swanston Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,345,2022-08-29T13:56:23,-37.80422,144.963608
"802/3 Young Street, Box Hill",BOX HILL,3128,Whitehorse City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,450,2022-08-29T13:54:57,-37.81748,145.116455
"406/89 Atherton Road, Oakleigh",OAKLEIGH,3166,Monash City - Greater Area,ApartmentUnitFlat,2.0,2.0,1,530,2022-08-29T13:50:29,-37.8991928,145.09433
"73 The Crescent, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,Townhouse,3.0,2.0,2,100,2022-08-29T13:44:27,-37.83843,144.928085
"67 Little Charles Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,House,2.0,2.0,1,700,2022-08-29T13:44:02,-37.8066063,144.995728
"4 Allaware Avenue, Croydon",CROYDON,3136,Maroondah City - Greater Area,House,3.0,1.0,2,500,2022-08-29T13:24:45,-37.8032074,145.29985
"38 Kauri Grove, Glen Waverley",GLEN WAVERLEY,3150,Monash City - Greater Area,House,3.0,2.0,1,520,2022-08-29T13:24:36,-37.89368,145.157
"31A Tweed St, Highett",HIGHETT,3190,Bayside - Greater Area,House,3.0,2.0,2,750,2022-08-29T13:23:37,-37.944355,145.029984
"14/13 Churchill Avenue, Chadstone",CHADSTONE,3148,Monash City - Greater Area,ApartmentUnitFlat,2.0,1.0,1,350,2022-08-29T13:19:23,-37.88813,145.107117
"12/59 Westbank Terrace, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,Townhouse,2.0,1.0,1,500,2022-08-29T13:15:16,-37.82272,145.0133
"39 Belmont Avenue, Upwey",UPWEY,3158,Yarra Ranges Shire - Greater Area,House,4.0,2.0,2,530,2022-08-29T13:07:50,-37.904377,145.325089
"12/2A Brenbeal Street, Balwyn",BALWYN,3103,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400,2022-08-29T13:06:30,-37.812767,145.087051
"175 Richardson Street, Middle Park",MIDDLE PARK,3206,Port Philip City Council - Greater Area,House,3.0,1.0,0,890,2022-08-29T13:05:52,-37.8484459,144.960312
"184 Centre Dandenong Road, Dingley Village",DINGLEY VILLAGE,3172,Kingston City Council - Greater Area,House,2.0,1.0,4,475,2022-08-29T12:53:25,-37.9787941,145.125443
"G04/12 Major Street, Highett",HIGHETT,3190,Bayside - Greater Area,ApartmentUnitFlat,2.0,2.0,1,480,2022-08-29T12:48:04,-37.94731,145.0401
"2/474 Glenferrie Road, Hawthorn",HAWTHORN,3122,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,520,2022-08-29T12:46:21,-37.833828,145.0338
"12A Bevan Street, Ormond",ORMOND,3204,Glen Eira Council - Greater Area,House,4.0,2.0,3,900,2022-08-29T12:43:51,-37.90551,145.026932
"114 Evans Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,House,4.0,2.0,0,"1,2",2022-08-29T12:41:22,-37.8334846,144.9418
"6/61 Princess Street, Kew",KEW,3101,Boroondara City Council - Greater Area,ApartmentUnitFlat,3.0,2.0,2,600,2022-08-29T12:40:55,-37.8032951,145.029083
"8 Walker Street, Newport",NEWPORT,3015,Hobsons Bay City Council - Greater Area,House,4.0,1.0,1,610,2022-08-29T12:29:07,-37.8419724,144.882248
"52-54 Tinning Street, Brunswick",BRUNSWICK,3056,Moreland City Council - Greater Area,House,7.0,3.0,0,"1,4",2022-08-29T12:26:57,-37.75897,144.959183
"2903/151 City Road, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,520,2022-08-29T12:25:22,-37.8236656,144.963165
"92 Wilson Street, Wodonga",WODONGA,3690,Wodonga - Greater Area,House,3.0,1.0,0,390,2022-08-29T12:24:13,-36.12957,146.876068
"206/96 Ormond Road, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,425,2022-08-29T12:22:05,-37.8855057,144.987457
"5/310 Beach Road, Black Rock",BLACK ROCK,3193,Bayside - Greater Area,ApartmentUnitFlat,2.0,1.0,1,480,2022-08-29T12:14:57,-37.9768944,145.016891
